STE_NAME16	Age	NeedsAssistance	Sex	persons
New South Wales	0-4		F	14391
New South Wales	0-4		M	15085
New South Wales	0-4	0	F	210018
New South Wales	0-4	0	M	220324
New South Wales	0-4	1	F	1866
New South Wales	0-4	1	M	3449
New South Wales	5-14		F	24705
New South Wales	5-14		M	25703
New South Wales	5-14	0	F	414418
New South Wales	5-14	0	M	427462
New South Wales	5-14	1	F	8985
New South Wales	5-14	1	M	19925
New South Wales	15-19		F	12187
New South Wales	15-19		M	13410
New South Wales	15-19	0	F	201878
New South Wales	15-19	0	M	209384
New South Wales	15-19	1	F	4254
New South Wales	15-19	1	M	7311
New South Wales	20-24		F	16558
New South Wales	20-24		M	18919
New South Wales	20-24	0	F	221052
New South Wales	20-24	0	M	224202
New South Wales	20-24	1	F	3578
New South Wales	20-24	1	M	5371
New South Wales	25-34		F	38949
New South Wales	25-34		M	43993
New South Wales	25-34	0	F	494511
New South Wales	25-34	0	M	473885
New South Wales	25-34	1	F	7501
New South Wales	25-34	1	M	8679
New South Wales	35-44		F	32753
New South Wales	35-44		M	37475
New South Wales	35-44	0	F	464992
New South Wales	35-44	0	M	446039
New South Wales	35-44	1	F	10877
New South Wales	35-44	1	M	10749
New South Wales	45-54		F	31723
New South Wales	45-54		M	34829
New South Wales	45-54	0	F	448952
New South Wales	45-54	0	M	426664
New South Wales	45-54	1	F	18855
New South Wales	45-54	1	M	16960
New South Wales	55-64		F	30135
New South Wales	55-64		M	31020
New South Wales	55-64	0	F	398738
New South Wales	55-64	0	M	376911
New South Wales	55-64	1	F	27832
New South Wales	55-64	1	M	25130
New South Wales	65-74		F	24876
New South Wales	65-74		M	24515
New South Wales	65-74	0	F	289840
New South Wales	65-74	0	M	274666
New South Wales	65-74	1	F	31840
New South Wales	65-74	1	M	31286
New South Wales	75-84		F	16786
New South Wales	75-84		M	13970
New South Wales	75-84	0	F	138994
New South Wales	75-84	0	M	125463
New South Wales	75-84	1	F	46421
New South Wales	75-84	1	M	31483
New South Wales	85+		F	11310
New South Wales	85+		M	6174
New South Wales	85+	0	F	39622
New South Wales	85+	0	M	30702
New South Wales	85+	1	F	54822
