STE_NAME16	medianTotalPersonalIncome
New South Wales	34528
Victoria	33488
Queensland	34320
South Australia	31200
Western Australia	37648
Tasmania	29796
Northern Territory	45292
Australian Capital Territory	51896
Other Territories	37024
