STE_NAME16	AgeStudent	Sex	students
New South Wales	0-4	F	53724
New South Wales	0-4	M	56450
New South Wales	5-14	F	411742
New South Wales	5-14	M	433868
New South Wales	15-19	F	171262
New South Wales	15-19	M	172994
New South Wales	20-24	F	104480
New South Wales	20-24	M	98028
New South Wales	25+	F	173609
New South Wales	25+	M	113810
Victoria	0-4	F	35521
Victoria	0-4	M	36991
Victoria	5-14	F	316591
Victoria	5-14	M	332215
Victoria	15-19	F	142763
Victoria	15-19	M	142431
Victoria	20-24	F	95383
Victoria	20-24	M	89985
Victoria	25+	F	134336
Victoria	25+	M	89833
Queensland	0-4	F	24439
Queensland	0-4	M	25836
Queensland	5-14	F	273953
Queensland	5-14	M	288405
Queensland	15-19	F	103765
Queensland	15-19	M	100458
Queensland	20-24	F	54847
Queensland	20-24	M	44046
Queensland	25+	F	106296
Queensland	25+	M	60980
South Australia	0-4	F	8494
South Australia	0-4	M	8747
South Australia	5-14	F	87966
South Australia	5-14	M	92575
South Australia	15-19	F	38726
South Australia	15-19	M	38532
South Australia	20-24	F	22519
South Australia	20-24	M	19595
South Australia	25+	F	37468
South Australia	25+	M	23894
Western Australia	0-4	F	15598
Western Australia	0-4	M	16256
Western Australia	5-14	F	140024
Western Australia	5-14	M	147521
Western Australia	15-19	F	55039
Western Australia	15-19	M	55133
Western Australia	20-24	F	27351
Western Australia	20-24	M	25888
Western Australia	25+	F	52920
Western Australia	25+	M	33605
Tasmania	0-4	F	2188
Tasmania	0-4	M	2251
Tasmania	5-14	F	27389
Tasmania	5-14	M	28913
Tasmania	15-19	F	11066
Tasmania	15-19	M	11254
Tasmania	20-24	F	4631
Tasmania	20-24	M	4300
Tasmania	25+	F	10401
Tasmania	25+	M	6248
Northern Territory	0-4	F	1701
Northern Territory	0-4	M	1655
Northern Territory	5-14	F	13266
Northern Territory	5-14	M	14060
Northern Territory	15-19	F	3651
Northern Territory	15-19	M	3925
Northern Territory	20-24	F	1427
Northern Territory	20-24	M	1101
Northern Territory	25+	F	5997
Northern Territory	25+	M	3241
Australian Capital Territory	0-4	F	2304
Australian Capital Territory	0-4	M	2429
Australian Capital Territory	5-14	F	21815
Australian Capital Territory	5-14	M	23152
Australian Capital Territory	15-19	F	9982
Australian Capital Territory	15-19	M	9896
Australian Capital Territory	20-24	F	8276
Australian Capital Territory	20-24	M	7922
Australian Capital Territory	25+	F	12756
Australian Capital Territory	25+	M	9995
Other Territories	0-4	F	34
Other Territories	0-4	M	36
Other Territories	5-14	F	223
Other Territories	5-14	M	242
Other Territories	15-19	F	64
Other Territories	15-19	M	63
Other Territories	20-24	F	10
Other Territories	20-24	M	10
Other Territories	25+	F	54
Other Territories	25+	M	35
