STE_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
New South Wales			13530
New South Wales		1946	664
New South Wales		1955	8104
New South Wales		1965	13548
New South Wales		1975	43059
New South Wales		1985	37282
New South Wales		1995	55663
New South Wales		2005	65275
New South Wales		2010	54683
New South Wales		2011	9831
New South Wales		2012	12198
New South Wales		2013	15887
New South Wales		2014	17754
New South Wales		2015	20086
New South Wales		2016	14171
New South Wales	CAN		423
New South Wales	CAN	1946	35
New South Wales	CAN	1955	115
New South Wales	CAN	1965	488
New South Wales	CAN	1975	1576
New South Wales	CAN	1985	1432
New South Wales	CAN	1995	1664
New South Wales	CAN	2005	2685
New South Wales	CAN	2010	1879
New South Wales	CAN	2011	450
New South Wales	CAN	2012	446
New South Wales	CAN	2013	494
New South Wales	CAN	2014	565
New South Wales	CAN	2015	611
New South Wales	CAN	2016	420
New South Wales	CHN		10071
New South Wales	CHN	1946	204
New South Wales	CHN	1955	976
New South Wales	CHN	1965	2149
New South Wales	CHN	1975	1702
New South Wales	CHN	1985	6284
New South Wales	CHN	1995	38093
New South Wales	CHN	2005	55150
New South Wales	CHN	2010	46433
New South Wales	CHN	2011	8754
New South Wales	CHN	2012	10210
New South Wales	CHN	2013	11766
New South Wales	CHN	2014	15130
New South Wales	CHN	2015	17467
New South Wales	CHN	2016	10118
New South Wales	DEU		1087
New South Wales	DEU	1946	191
New South Wales	DEU	1955	7605
New South Wales	DEU	1965	5266
New South Wales	DEU	1975	3184
New South Wales	DEU	1985	2292
New South Wales	DEU	1995	1923
New South Wales	DEU	2005	3033
New South Wales	DEU	2010	2127
New South Wales	DEU	2011	433
New South Wales	DEU	2012	477
New South Wales	DEU	2013	439
New South Wales	DEU	2014	525
New South Wales	DEU	2015	560
New South Wales	DEU	2016	394
New South Wales	EGY		689
New South Wales	EGY	1946	18
New South Wales	EGY	1955	1221
New South Wales	EGY	1965	2304
New South Wales	EGY	1975	3828
New South Wales	EGY	1985	1191
New South Wales	EGY	1995	3654
New South Wales	EGY	2005	2323
New South Wales	EGY	2010	1946
New South Wales	EGY	2011	360
New South Wales	EGY	2012	473
New South Wales	EGY	2013	610
New South Wales	EGY	2014	397
New South Wales	EGY	2015	453
New South Wales	EGY	2016	258
New South Wales	FJI		1052
New South Wales	FJI	1946	65
New South Wales	FJI	1955	130
New South Wales	FJI	1965	411
New South Wales	FJI	1975	1200
New South Wales	FJI	1985	3661
New South Wales	FJI	1995	11211
New South Wales	FJI	2005	9096
New South Wales	FJI	2010	3720
New South Wales	FJI	2011	680
New South Wales	FJI	2012	621
New South Wales	FJI	2013	664
New South Wales	FJI	2014	623
New South Wales	FJI	2015	450
New South Wales	FJI	2016	290
New South Wales	GBR		9154
New South Wales	GBR	1946	1615
New South Wales	GBR	1955	18022
New South Wales	GBR	1965	39374
New South Wales	GBR	1975	61684
New South Wales	GBR	1985	27848
New South Wales	GBR	1995	24941
New South Wales	GBR	2005	33374
New South Wales	GBR	2010	24686
New South Wales	GBR	2011	5677
New South Wales	GBR	2012	5896
New South Wales	GBR	2013	5792
New South Wales	GBR	2014	5096
New South Wales	GBR	2015	5138
New South Wales	GBR	2016	2590
New South Wales	GRC		1354
New South Wales	GRC	1946	105
New South Wales	GRC	1955	2824
New South Wales	GRC	1965	12595
New South Wales	GRC	1975	8472
New South Wales	GRC	1985	1215
New South Wales	GRC	1995	727
New South Wales	GRC	2005	567
New South Wales	GRC	2010	281
New South Wales	GRC	2011	184
New South Wales	GRC	2012	385
New South Wales	GRC	2013	263
