STE_NAME16	AustCitizen	persons
New South Wales	0	1294109
New South Wales	1	6186119
Victoria	0	1088493
Victoria	1	4838131
Queensland	0	811863
Queensland	1	3891330
South Australia	0	241150
South Australia	1	1435503
Western Australia	0	519734
Western Australia	1	1954676
Tasmania	0	56110
Tasmania	1	453855
Northern Territory	0	48866
Northern Territory	1	179967
Australian Capital Territory	0	61448
Australian Capital Territory	1	335949
Other Territories	0	1282
Other Territories	1	3305
