STE_NAME16	Age	IncomeTotPersonal.max	Sex	adults
New South Wales	15-19		F	19126
New South Wales	15-19		M	21813
New South Wales	15-19	0	F	95424
New South Wales	15-19	0	M	109473
New South Wales	15-19	7875	F	51928
New South Wales	15-19	7875	M	41865
New South Wales	15-19	15750	F	23031
New South Wales	15-19	15750	M	18444
New South Wales	15-19	21000	F	9541
New South Wales	15-19	21000	M	9018
New South Wales	15-19	26250	F	7222
New South Wales	15-19	26250	M	10497
New South Wales	15-19	34125	F	5884
New South Wales	15-19	34125	M	9213
New South Wales	15-19	42000	F	3355
New South Wales	15-19	42000	M	5040
New South Wales	15-19	52500	F	1606
New South Wales	15-19	52500	M	2600
New South Wales	15-19	65625	F	576
New South Wales	15-19	65625	M	1151
New South Wales	15-19	78750	F	169
New South Wales	15-19	78750	M	385
New South Wales	15-19	91875	F	90
New South Wales	15-19	91875	M	184
New South Wales	15-19	105000	F	59
New South Wales	15-19	105000	M	90
New South Wales	15-19	157500	F	76
New South Wales	15-19	157500	M	87
New South Wales	15-19	Inf	F	224
New South Wales	15-19	Inf	M	241
New South Wales	20-24		F	18948
New South Wales	20-24		M	21685
New South Wales	20-24	0	F	32797
New South Wales	20-24	0	M	33797
New South Wales	20-24	7875	F	16390
New South Wales	20-24	7875	M	14976
New South Wales	20-24	15750	F	28295
New South Wales	20-24	15750	M	25465
New South Wales	20-24	21000	F	20982
New South Wales	20-24	21000	M	17374
New South Wales	20-24	26250	F	21547
New South Wales	20-24	26250	M	18935
New South Wales	20-24	34125	F	26247
New South Wales	20-24	34125	M	24033
New South Wales	20-24	42000	F	26587
New South Wales	20-24	42000	M	27515
New South Wales	20-24	52500	F	23106
New South Wales	20-24	52500	M	26711
New South Wales	20-24	65625	F	16429
New South Wales	20-24	65625	M	20070
New South Wales	20-24	78750	F	6349
New South Wales	20-24	78750	M	9340
New South Wales	20-24	91875	F	2023
New South Wales	20-24	91875	M	4420
New South Wales	20-24	105000	F	602
New South Wales	20-24	105000	M	1878
New South Wales	20-24	157500	F	481
New South Wales	20-24	157500	M	1514
New South Wales	20-24	Inf	F	411
New South Wales	20-24	Inf	M	779
New South Wales	25-34		F	42136
New South Wales	25-34		M	48201
New South Wales	25-34	0	F	53643
New South Wales	25-34	0	M	25398
New South Wales	25-34	7875	F	14381
New South Wales	25-34	7875	M	5674
New South Wales	25-34	15750	F	30674
New South Wales	25-34	15750	M	19864
New South Wales	25-34	21000	F	28659
New South Wales	25-34	21000	M	17339
New South Wales	25-34	26250	F	32701
New South Wales	25-34	26250	M	20677
New South Wales	25-34	34125	F	46536
New South Wales	25-34	34125	M	26629
New South Wales	25-34	42000	F	50935
New South Wales	25-34	42000	M	41764
New South Wales	25-34	52500	F	56094
New South Wales	25-34	52500	M	61986
New South Wales	25-34	65625	F	60714
New South Wales	25-34	65625	M	73023
New South Wales	25-34	78750	F	44811
New South Wales	25-34	78750	M	53495
New South Wales	25-34	91875	F	33527
New South Wales	25-34	91875	M	44394
New South Wales	25-34	105000	F	18558
New South Wales	25-34	105000	M	29445
New South Wales	25-34	157500	F	21559
New South Wales	25-34	157500	M	42982
New South Wales	25-34	Inf	F	6038
New South Wales	25-34	Inf	M	15687
New South Wales	35-44		F	34906
New South Wales	35-44		M	40406
New South Wales	35-44	0	F	46531
New South Wales	35-44	0	M	14472
New South Wales	35-44	7875	F	16661
New South Wales	35-44	7875	M	4202
New South Wales	35-44	15750	F	30305
New South Wales	35-44	15750	M	15614
