STE_NAME16	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
Victoria	1	1	1	21600	22104
Victoria	1	1	1	24000	36804
Victoria	1	1	1	26400	14806
Victoria	1	1	1	28800	12738
Victoria	1	1	1	31200	20770
Victoria	1	1	1	36000	29473
Victoria	1	1	1	48000	11695
Victoria	1	1	1	60000	10844
Queensland		1	1	0	227
Queensland		1	1	1800	43
Queensland		1	1	3600	107
Queensland		1	1	5400	86
Queensland		1	1	7200	185
Queensland		1	1	9600	227
Queensland		1	1	12000	270
Queensland		1	1	14400	364
Queensland		1	1	16800	332
Queensland		1	1	19200	382
Queensland		1	1	21600	277
Queensland		1	1	24000	422
Queensland		1	1	26400	143
Queensland		1	1	28800	109
Queensland		1	1	31200	255
Queensland		1	1	36000	233
Queensland		1	1	48000	68
Queensland		1	1	60000	64
Queensland	0	1	0	0	1112
Queensland	0	1	0	1800	385
Queensland	0	1	0	3600	882
Queensland	0	1	0	5400	722
Queensland	0	1	0	7200	1443
Queensland	0	1	0	9600	1978
Queensland	0	1	0	12000	2207
Queensland	0	1	0	14400	2707
Queensland	0	1	0	16800	2347
Queensland	0	1	0	19200	2440
Queensland	0	1	0	21600	1416
Queensland	0	1	0	24000	2078
Queensland	0	1	0	26400	689
Queensland	0	1	0	28800	480
Queensland	0	1	0	31200	1073
Queensland	0	1	0	36000	1115
Queensland	0	1	0	48000	345
Queensland	0	1	0	60000	248
Queensland	0	1	1	0	749
Queensland	0	1	1	1800	199
Queensland	0	1	1	3600	537
Queensland	0	1	1	5400	538
Queensland	0	1	1	7200	1118
Queensland	0	1	1	9600	1633
Queensland	0	1	1	12000	2152
Queensland	0	1	1	14400	2898
Queensland	0	1	1	16800	2795
Queensland	0	1	1	19200	3099
Queensland	0	1	1	21600	1989
Queensland	0	1	1	24000	2616
Queensland	0	1	1	26400	1017
Queensland	0	1	1	28800	629
Queensland	0	1	1	31200	1420
Queensland	0	1	1	36000	1398
Queensland	0	1	1	48000	387
Queensland	0	1	1	60000	348
Queensland	1	0	0	0	7001
Queensland	1	0	0	1800	2054
Queensland	1	0	0	3600	3903
Queensland	1	0	0	5400	3246
Queensland	1	0	0	7200	5667
