LGA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
LGA10050,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,5,34,34,25,0,0,0,0,0,101,0,3,0,12,10,16,34,23,12,100,0,19,19,58,54,56,33,17,0,263,0,0,0,0,0,0,3,4,0,10,0,3,0,5,0,0,0,0,0,10,0,0,0,5,6,0,0,0,0,9,3,11,16,68,34,30,13,0,0,182,0,0,0,4,0,3,3,0,7,16,0,0,0,7,8,18,12,16,11,78,0,0,0,3,3,3,0,0,0,11,0,3,5,20,19,9,7,0,4,66,0,0,0,3,0,0,3,5,3,14,3,3,9,29,6,3,0,0,0,57,0,0,0,0,0,0,0,0,0,6,0,0,6,31,10,6,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,20,3,14,3,0,0,52
LGA10130,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,23,63,0,0,0,0,0,89,0,0,0,6,5,11,13,5,3,33,0,11,27,29,32,29,14,6,0,143,0,0,0,3,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,9,0,0,0,11,7,4,0,0,0,22,0,4,20,53,10,17,0,0,0,101,0,0,0,3,0,3,0,0,0,3,0,3,3,7,10,8,14,3,3,50,0,8,0,4,0,4,0,3,0,17,0,3,12,14,9,4,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,5,3,16,3,4,0,0,0,37,0,0,4,23,0,0,0,0,0,33,0,0,3,12,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,21,9,15,9,5,0,74
LGA10250,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,12,18,21,11,12,86,0,22,21,89,57,70,54,24,6,337,0,0,0,0,3,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,10,0,0,0,39,0,8,3,35,11,23,12,3,0,86,0,0,0,4,0,0,3,0,3,11,0,0,5,18,14,12,22,13,3,83,3,0,0,7,5,3,0,0,0,21,0,7,9,25,27,13,19,10,3,115,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,3,0,0,8,0,0,0,3,0,0,0,0,0,3,0,3,0,25,11,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,19,17,18,10,3,0,84
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA10470,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,6,3,20,0,0,0,0,0,23,0,0,0,3,6,10,20,9,6,60,0,5,21,61,45,35,24,7,8,201,0,0,0,0,0,3,7,0,0,14,0,0,0,9,3,0,0,0,0,14,0,0,0,0,11,3,0,0,0,14,3,9,4,41,23,16,0,3,0,95,0,0,0,0,0,3,0,0,0,11,3,0,3,3,21,16,21,11,4,79,0,0,0,6,4,3,0,3,0,14,0,3,11,20,9,3,7,0,0,54,0,0,0,0,0,0,3,0,0,6,0,3,3,11,6,0,5,0,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,19,7,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,14,3,4,6,0,0,41
LGA10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,21,37,26,11,106,0,8,3,31,50,66,25,5,0,186,0,0,0,0,0,3,5,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,0,11,0,3,0,24,23,29,4,3,0,93,0,0,0,4,0,4,0,3,0,12,0,0,0,3,10,12,29,18,5,74,0,0,0,3,0,4,0,0,0,5,0,0,0,7,3,15,8,5,4,42,0,0,0,0,0,4,0,3,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,26,11,8,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,5,22,16,4,0,73
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,14,10,0,33,0,0,3,19,14,24,14,8,0,84,0,0,0,0,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,3,8,6,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,4,9,3,3,25,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,3,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,10,3,0,28
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,9,0,0,20,0,3,5,8,7,10,4,0,0,39,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,15,8,10,0,3,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,11,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA10750,0,9,10,80,63,97,61,35,19,371,0,15,34,159,100,62,40,13,5,420,0,47,96,464,42,38,3,4,0,697,0,0,8,15,16,35,77,58,21,238,82,498,807,1523,523,361,133,34,11,3977,0,0,0,13,24,10,37,15,9,103,52,241,233,972,243,122,47,21,0,1927,0,0,6,22,27,11,8,4,0,82,64,501,1043,4447,2535,2160,928,240,161,12082,0,0,11,95,61,114,84,61,100,522,3,11,11,43,81,98,108,62,33,453,4,33,36,67,42,46,26,12,4,275,3,68,111,318,176,141,68,32,5,931,0,0,4,37,48,56,51,51,16,257,24,101,174,989,408,320,173,77,32,2303,8,3,10,88,14,32,8,0,4,165,3,23,40,229,80,45,15,3,0,442,0,0,0,21,15,28,26,10,0,104,7,9,43,202,205,102,77,25,0,671,8,72,73,138,50,28,21,3,0,394
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,13,0,0,0,8,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
