LGA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
LGA10050,21282,..,..,..,..,21282,..,28,0,25,0,25,..,43,8,46,0,46,..,13,0,13,0,13,..,27,8,34,0,34,..,40,27,68,0,68,..,0,0,4,0,4,..,70,36,105,0,105,..,17,3,22,0,22,..,28,0,28,0,28,..,17,0,17,0,17,..,53,5,56,4,64,..,66,7,73,0,70,..,49,0,49,0,49,..,66,4,77,0,77,..,118,19,139,5,146,..,24,3,29,0,29,..,19,3,21,0,21,..,192,124,318,0,317,..,471,153,625,5,636,..,46,4,45,0,45,..,10,0,13,0,13,..,9,4,10,0,10,..,4,0,4,0,4,..,0,0,0,0,0,..,19,0,19,0,19,..,10,0,14,0,14,..,15,3,15,0,15,..,0,0,0,0,0,..,22,0,22,0,22,..,27,0,24,0,24,..,4,0,4,0,4,..,40,3,43,0,46,..,13
LGA10130,12024,..,..,..,..,12024,..,11,0,11,0,11,..,133,30,166,0,166,..,9,0,14,0,14,..,24,5,30,0,30,..,93,56,147,3,150,..,11,8,25,0,25,..,126,66,198,3,201,..,0,0,0,0,0,..,7,0,7,0,7,..,32,0,27,0,28,..,49,0,50,0,50,..,21,0,24,0,24,..,27,0,35,0,35,..,25,0,25,0,25,..,28,0,28,0,28,..,13,3,16,0,16,..,20,0,20,0,20,..,77,5,77,0,80,..,191,9,204,0,203,..,7,0,9,0,9,..,8,0,8,0,8,..,9,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,27,0,27,0,27,..,8,0,8,0,8,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,3,16,..,16,0,16,0,16,..,22,0,22,0,18,..,13
LGA10250,17944,..,..,..,..,17944,..,28,0,25,0,25,..,8,3,12,0,12,..,7,0,7,0,7,..,19,8,24,0,24,..,24,7,32,0,31,..,0,0,0,0,0,..,40,15,53,0,54,..,7,0,7,0,7,..,34,0,34,4,32,..,44,0,49,0,47,..,56,0,65,0,65,..,17,0,17,0,21,..,0,0,0,0,0,..,21,0,21,0,21,..,23,4,28,0,32,..,4,0,4,0,4,..,0,0,0,0,0,..,10,0,10,0,10,..,57,4,65,0,62,..,63,0,67,0,67,..,27,3,30,3,32,..,6,0,11,0,11,..,0,0,0,0,0,..,4,0,4,0,4,..,6,0,7,0,7,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,8,..,3
LGA10300,984,..,..,..,..,984,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,4,0,4,..,0,0,0,0,0,..,3,3,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,33,0,36,0,36,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA10470,17597,..,..,..,..,17597,..,21,0,21,0,21,..,58,8,65,0,65,..,14,0,18,0,18,..,24,12,42,0,42,..,43,11,49,0,54,..,6,0,9,0,9,..,75,28,99,0,104,..,7,3,15,0,15,..,18,0,18,0,18,..,23,3,25,4,28,..,22,3,24,0,24,..,10,0,10,0,10,..,22,0,26,0,26,..,36,0,37,0,37,..,28,5,32,0,32,..,10,0,10,0,9,..,17,0,17,0,17,..,33,0,33,0,33,..,137,10,147,0,147,..,21,4,25,0,25,..,8,5,16,0,14,..,11,6,14,0,14,..,3,0,3,0,3,..,9,0,9,0,9,..,9,3,10,0,10,..,9,0,9,0,9,..,3,0,3,0,3,..,3,0,3,0,3,..,11,0,9,0,9,..,18,0,18,0,22,..,3,0,3,0,3,..,23,0,23,0,23,..,4
LGA10550,14594,..,..,..,..,14594,..,7,0,7,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,7,6,10,0,10,..,9,5,14,0,14,..,0,0,0,0,0,..,21,9,31,0,31,..,9,0,9,0,9,..,30,0,30,0,30,..,22,3,24,0,24,..,70,0,74,0,74,..,13,0,14,0,20,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,15,0,11,..,38,3,43,0,43,..,8,0,8,0,8,..,3,3,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,10,0,10,0,10,..,7,0,7,0,7,..,0,0,0,0,0,..,7,0,12,0,12,..,0,0,0,0,0,..,9,0,9,0,9,..,0
LGA10600,5548,..,..,..,..,5548,..,6,0,6,0,6,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,18,0,15,0,15,..,9,0,13,0,13,..,25,0,25,3,28,..,4,0,4,3,4,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,7,0,7,..,6,0,6,0,6,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0
LGA10650,3685,..,..,..,..,3685,..,4,0,4,0,4,..,8,0,8,0,8,..,3,0,3,0,3,..,9,3,12,0,12,..,4,5,6,0,6,..,0,0,0,0,0,..,11,8,19,0,19,..,0,0,0,0,0,..,3,0,3,0,5,..,6,0,6,0,6,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,12,0,12,..,19,0,19,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,5,0,5,..,8
LGA10750,90618,..,..,..,..,90618,..,159,0,160,0,165,..,4423,646,5071,34,5104,..,12,0,13,0,18,..,1210,481,1690,12,1701,..,1536,689,2228,15,2242,..,120,36,149,0,149,..,2859,1204,4062,29,4090,..,637,84,724,3,730,..,94,0,97,0,94,..,330,9,340,9,347,..,233,13,248,4,248,..,808,120,930,15,941,..,1645,86,1727,7,1734,..,6290,247,6537,64,6603,..,5946,528,6477,53,6531,..,1004,45,1049,3,1054,..,2596,221,2819,31,2850,..,3660,303,3968,43,4010,..,21151,1423,22575,207,22786,..,808,102,917,11,925,..,74,9,82,0,82,..,608,283,889,4,894,..,111,13,119,0,120,..,1034,102,1136,16,1147,..,773,170,937,12,949,..,413,60,468,7,480,..,238,27,266,4,272,..,1598,197,1793,31,1831,..,384,82,459,8,466,..,2832,67,2896,18,2914,..,672,72,744,4,746,..,5821,173,5995,64,6059,..,270
LGA10800,2562,..,..,..,..,2562,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,11,3,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,11,3,13,0,13,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0
