LGA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
LGA26260,0,0,0,0,0,114,0,6,0,0,0,0,0,0,5,127,36,0,0,0,0,3,0,0,0,3,39,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,3,0,0,0,3,50,573,74,97,10,19,16,13,7,8,30,847,82,28,52,5,27,31,16,19,21,19,291,5,3,4,3,3,3,0,4,3,0,31,0,0,0,0,0,0,0,0,0,0,0,89,30,55,10,30,31,16,25,21,14,320,8,0,0,0,0,0,0,0,0,3,10,668,103,151,22,42,49,36,32,28,54,1181
LGA26350,0,0,0,0,3,2003,30,27,3,8,0,0,6,0,51,2124,349,0,4,0,0,0,0,0,0,26,381,289,0,0,0,0,3,0,0,0,8,304,246,6,3,0,3,0,3,0,0,4,264,9,0,0,0,0,0,0,0,0,0,9,548,7,3,0,5,3,3,0,0,7,570,4,3,0,0,0,0,0,0,0,0,4,902,8,9,0,6,3,3,0,0,31,961,7110,1239,1714,577,586,656,657,792,465,404,14190,4851,1418,2531,591,834,1000,1411,1623,929,396,15585,1475,121,202,55,87,87,194,274,173,159,2822,50,7,10,0,7,4,6,8,3,4,101,6377,1542,2742,651,927,1084,1612,1908,1104,558,18507,17,6,3,0,3,0,0,0,0,11,37,13500,2781,4455,1221,1511,1744,2272,2697,1567,968,32732
LGA26430,0,0,0,0,0,104,0,0,0,0,0,0,0,0,4,115,28,0,0,0,0,0,0,0,0,3,32,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,3,39,537,29,36,10,4,7,6,9,13,31,680,96,17,42,11,6,12,9,8,6,11,207,14,4,0,0,0,0,0,3,4,3,31,0,0,0,0,0,0,0,0,0,0,8,111,19,44,11,9,10,9,7,13,15,246,0,0,0,0,0,0,0,0,0,0,3,652,46,80,18,15,24,14,16,20,46,924
LGA26490,0,0,0,0,3,254,0,3,0,0,0,0,0,0,17,278,58,0,4,0,0,0,0,0,0,11,72,23,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,94,0,4,0,0,0,0,0,0,15,105,1693,222,322,60,51,74,59,46,14,102,2640,290,54,133,24,21,31,21,39,14,26,640,22,3,0,0,0,0,5,3,0,10,49,7,0,0,0,0,0,0,0,0,3,8,321,60,136,24,24,31,26,41,14,37,704,3,0,0,0,0,0,0,0,0,0,6,2014,288,460,80,78,101,82,85,21,137,3353
LGA26610,0,0,0,0,3,140,0,0,0,0,0,0,0,0,7,153,14,0,0,0,0,0,0,0,0,3,21,12,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,3,19,3,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,3,34,3,0,0,0,0,0,0,0,0,0,3,52,0,0,0,0,0,0,0,0,9,58,385,52,52,17,12,19,13,11,5,42,607,364,136,306,57,69,75,75,60,46,47,1230,129,35,82,27,52,30,30,35,35,51,516,6,0,3,0,0,0,0,0,3,7,21,501,172,392,87,120,108,105,98,81,102,1775,6,0,0,0,0,0,0,0,0,4,14,891,227,439,104,129,124,119,115,89,152,2394
LGA26670,0,0,0,0,0,59,5,0,0,0,0,0,0,0,3,70,8,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,289,28,14,3,0,4,9,3,0,19,370,43,4,19,0,18,3,3,4,0,3,104,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,50,4,17,0,18,3,3,4,0,7,108,0,0,0,0,0,0,0,0,0,0,3,340,33,36,4,14,10,13,3,0,19,485
LGA26700,0,0,0,5,8,279,3,0,0,0,0,0,0,0,17,301,74,0,0,0,0,0,0,0,0,0,75,37,0,0,0,0,0,0,0,0,0,37,23,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0,0,0,0,0,0,64,10,0,0,0,0,0,0,0,0,0,16,147,0,0,0,0,0,0,0,0,5,156,1150,88,78,17,7,6,15,28,7,39,1427,345,65,141,23,18,17,22,16,6,20,677,89,3,6,0,3,0,4,3,4,17,134,3,0,0,0,0,5,0,0,0,0,9,442,72,147,27,21,18,21,23,11,40,824,23,0,0,0,0,0,0,0,0,8,37,1612,158,224,40,32,28,36,43,18,88,2282
LGA26730,0,0,0,3,3,169,5,0,0,0,0,0,0,0,7,182,53,0,0,0,0,0,0,0,0,9,63,17,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,10,80,1045,154,154,59,44,22,27,35,12,64,1619,179,119,223,24,34,22,45,48,57,23,779,11,13,19,3,8,4,43,80,78,54,319,3,0,3,0,0,0,0,0,3,0,12,191,138,246,29,45,29,82,129,134,84,1109,5,3,0,0,0,0,0,0,0,3,12,1239,293,398,93,87,56,111,163,146,146,2733
LGA26810,0,0,0,0,5,419,10,3,0,0,0,0,0,0,15,452,95,4,0,0,0,0,0,0,0,12,113,38,0,0,0,0,0,0,0,0,0,42,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,51,3,0,0,0,0,0,0,0,0,0,3,146,3,3,0,0,0,0,0,0,11,162,2263,156,241,47,43,48,37,39,20,142,3044,443,72,223,39,42,46,41,76,24,37,1035,41,7,12,4,10,14,17,19,7,24,163,8,0,3,0,0,0,0,0,0,3,13,494,78,242,41,52,53,57,98,27,64,1210,14,0,0,0,0,0,0,0,0,288,303,2767,233,485,90,99,104,95,141,54,491,4554
LGA26890,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10,140,9,15,0,3,3,0,0,0,0,171,29,7,7,0,3,7,3,0,0,0,55,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,29,7,8,0,3,7,3,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,173,18,19,3,7,13,3,0,0,7,235
