LGA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
LGA10850,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,4,0,3,0,0,0,0,0,0,0,0,0,19,0,3,0,17,18,8,12,7,0,8,0,0,0,0,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10900,3,3,3,0,0,0,13,283,0,36,56,42,8,5,0,8,0,0,0,0,0,0,12,174,0,3,4,9,10,28,22,17,3,0,0,6,0,0,7,106,0,0,0,0,12,15,18,14,0,5,0,0,13,9,5,93,0,0,4,13,6,9,10,3,0,0,4,0,0,0,0,51,0,0,9,36,35,37,14,7,3,3,0,0,4,8,4,158,0,34,25,16,5,3,3,0,0,0,0,0,0,0,0,87,0,113,105,42,39,14,18,7,5,3,3,3,0,0,6,359,7,18,56,159,322,237,188,61,12,8,0,4,10,0,38,1121,0,0,0,9,3,3,3,0,0,0,0,0,0,0,3,26,0,0,0,12,45,72,37,38,0,4,7,19,7,9,3,258,0,8,10,22,69,42,19,3,0,0,0,0,0,0,0,179,0,0,3,9,8,4,17,3,0,3,0,0,3,5,0,67
LGA10950,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,3,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11100,63,46,25,31,21,13,15,463,3,42,129,72,27,14,8,14,3,5,8,12,7,0,16,352,0,0,0,7,9,29,38,23,5,9,10,6,3,0,3,147,0,0,0,0,9,40,59,36,7,7,3,8,13,4,8,200,0,3,8,86,33,22,13,7,0,0,0,0,3,0,3,174,0,0,7,18,48,105,80,63,12,19,22,28,19,20,16,454,0,72,59,32,14,0,0,0,0,0,0,0,0,0,11,191,0,11,3,3,6,9,8,7,0,0,0,0,0,0,0,54,0,0,9,71,154,158,197,112,23,26,35,19,20,17,37,878,0,0,3,3,7,26,25,19,5,13,9,12,11,8,6,150,0,0,0,47,119,300,178,179,31,36,37,56,35,16,43,1080,0,3,3,4,44,28,16,17,0,3,7,3,14,0,7,143,0,0,3,11,9,14,36,18,6,7,0,6,6,3,0,133
LGA11150,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,0,0,0,0,0,0,12,3,12,9,3,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,11,13,8,16,8,3,3,3,4,0,0,3,72,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,12,17,11,13,6,23,15,4,7,4,9,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11300,11,6,6,9,3,0,4,168,0,174,412,277,22,12,16,12,3,10,16,16,12,3,53,1023,0,0,0,4,6,12,28,11,3,4,3,8,11,3,7,102,0,0,0,8,100,191,282,218,51,60,87,60,79,39,75,1238,0,15,62,196,92,92,50,20,7,3,6,0,12,0,33,589,0,0,6,13,43,56,44,36,11,9,17,22,23,17,30,312,0,10,21,3,3,0,0,0,0,0,0,0,0,0,5,43,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,15,0,4,8,21,52,64,93,33,19,14,9,10,12,4,13,358,0,0,0,3,5,3,20,16,7,3,8,3,16,10,0,87,0,0,3,9,61,89,71,57,21,13,28,33,37,21,7,438,0,9,7,9,28,12,14,3,0,5,0,6,9,0,8,113,0,0,0,6,6,31,15,19,3,9,0,9,5,6,0,115
LGA11350,0,0,0,0,0,3,5,76,0,14,21,8,3,10,16,16,7,8,5,11,4,3,11,135,0,4,0,0,5,21,34,26,0,4,10,5,14,7,8,142,0,0,0,0,3,0,3,3,0,0,0,0,0,5,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,6,3,5,0,3,0,0,0,0,0,0,0,27,0,5,7,0,0,4,3,0,0,0,0,0,0,0,0,17,0,30,33,9,18,9,23,3,0,4,0,0,0,3,6,150,4,4,36,89,174,110,128,76,9,21,9,19,12,17,47,752,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,5,5,14,3,0,4,0,4,3,0,7,57,0,0,3,0,8,4,3,0,3,0,0,3,0,0,5,31,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,15
LGA11400,0,0,0,0,0,0,0,13,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,3,0,0,0,3,0,0,0,0,0,0,0,3,16,0,0,9,15,21,26,21,8,0,3,3,0,0,3,11,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,11,0,3,0,0,3,0,3,36,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
