LGA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
LGA10050,0,0,0,13,0,0,3,0,0,22,0,0,0,0,3,3,3,0,0,17,0,3,3,10,0,3,0,0,0,17,0,26,34,168,72,50,60,48,15,463,109,152,223,475,224,281,224,233,105,2034,1594,3117,3447,6533,3329,3327,2573,1659,841,26411,0,0,6,4,0,0,0,0,0,9,3023,5651,5909,10041,5219,5088,3672,2044,940,41590,3,10,3,66,4,0,0,0,0,81,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,9,0,0,0,16,14,7,3,0,0,48,0,0,0,0,6,0,4,0,0,15,3,8,10,63,19,11,4,4,0,116,0,0,0,0,4,7,13,17,3,48,0,3,0,8,0,3,3,0,0,22,6,32,41,126,195,208,217,128,64,1012,0,0,3,15,6,11,3,0,0,41,0,0,0,4,6,0,0,0,0,19,0,0,3,16,19,45,97,48,20,248
LGA10130,0,4,4,18,0,0,0,0,0,30,0,5,0,4,4,0,3,0,4,15,0,0,3,5,0,3,0,0,0,16,14,47,40,115,27,22,19,13,3,297,53,92,241,263,177,155,127,104,43,1250,825,1833,2725,3402,1889,1840,1400,893,426,15220,0,0,0,0,0,0,0,0,0,0,1507,3216,4374,4764,2832,2831,2131,1235,517,23396,0,6,3,34,5,4,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,9,6,8,3,0,54,0,0,0,3,5,0,0,0,0,9,3,7,145,98,25,0,4,0,0,277,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,19,35,66,90,114,148,77,15,566,0,0,4,9,11,6,0,3,0,33,0,3,0,16,3,4,0,0,0,29,0,3,13,13,22,22,17,7,8,103
LGA10250,0,0,0,11,0,0,0,0,0,15,0,0,0,3,5,6,4,12,0,29,0,0,0,3,10,4,3,0,0,21,3,9,10,59,38,29,31,18,11,206,70,135,108,308,234,263,220,179,152,1660,997,2294,1925,4308,3060,3398,2805,1773,1104,21658,0,0,0,0,0,0,0,0,0,0,1918,4375,3529,6609,4515,5144,4200,2403,1296,33984,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,3,3,5,28,15,11,20,7,0,91,0,0,0,11,7,3,8,3,0,30,0,5,6,23,15,4,4,4,0,62,0,0,0,0,3,0,0,6,0,12,0,0,0,0,0,3,3,0,0,5,14,55,35,194,256,230,325,215,93,1421,0,0,0,17,8,13,8,3,3,44,0,3,3,25,4,8,3,0,3,44,0,0,3,21,13,17,44,25,6,141
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,12,3,21,13,29,12,23,7,12,4,131,71,162,111,262,132,186,86,76,22,1115,0,0,0,0,0,0,0,0,0,0,137,298,221,403,241,293,157,93,23,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,18,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA10470,0,0,0,13,6,0,0,0,0,24,0,0,0,0,6,4,0,3,0,11,0,0,3,3,7,6,0,0,0,13,0,6,18,37,23,18,15,8,8,132,52,129,274,313,198,220,194,158,122,1670,1209,2691,3000,4833,2665,2517,1951,1137,600,20605,0,3,0,9,0,0,0,0,0,9,2393,5147,5284,8423,4246,4030,2908,1489,616,34538,0,3,3,22,0,3,0,0,0,37,0,0,0,0,0,0,3,0,0,9,0,0,0,6,0,0,0,0,0,10,0,4,3,17,13,4,7,3,0,58,0,0,0,3,3,0,3,0,0,12,0,5,17,53,17,14,9,0,0,121,0,0,0,3,3,6,5,3,0,21,0,0,7,11,0,0,3,0,0,19,0,17,48,102,124,162,202,109,37,802,0,3,4,12,12,12,6,0,0,49,0,0,0,5,7,3,4,0,0,27,0,0,0,13,13,12,39,15,4,99
LGA10550,0,0,0,8,3,0,0,0,0,12,0,0,0,0,0,4,9,3,0,14,0,0,0,0,0,0,0,0,0,7,0,3,0,36,35,36,48,27,4,187,39,124,107,263,242,282,227,151,93,1520,718,1844,1451,2953,2450,3174,2504,1298,621,17001,0,0,0,0,0,0,0,0,0,0,1373,3469,2693,4617,3632,4709,3570,1710,668,26446,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,3,19,7,8,10,3,0,54,0,0,0,0,3,6,3,0,0,12,0,4,0,13,10,0,0,5,0,37,0,0,0,0,0,0,6,6,0,16,0,0,0,3,0,4,3,0,3,14,3,19,18,79,188,364,464,223,86,1437,0,0,0,3,3,0,0,0,0,16,0,0,0,8,10,3,3,7,0,25,0,6,0,14,33,48,83,40,16,238
LGA10600,0,0,0,3,0,0,0,0,0,3,0,0,0,0,6,8,3,0,3,18,0,0,0,0,3,5,0,0,0,7,0,0,0,18,10,14,20,9,3,90,16,52,25,92,77,90,86,50,31,522,304,801,521,1184,1002,1161,857,477,233,6548,0,0,0,0,0,0,0,0,0,0,571,1433,1007,1854,1400,1721,1241,670,268,10173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,4,3,3,28,0,0,0,6,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,18,16,54,110,117,146,73,30,568,0,0,0,3,0,4,0,0,0,8,0,3,0,6,3,4,9,0,0,26,0,3,0,6,7,30,31,10,6,91
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,7,6,6,7,6,0,32,18,38,36,87,59,79,74,44,27,465,219,482,355,820,490,664,662,360,182,4236,0,0,0,0,0,0,0,0,0,0,414,855,650,1265,751,1052,1065,557,248,6866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,6,0,3,0,4,19,29,54,43,14,168,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,18,4,7,39
LGA10750,0,4,27,218,109,138,36,14,7,559,0,0,0,14,14,19,12,7,0,58,0,7,35,74,29,15,3,0,0,165,94,426,918,2624,1439,1133,707,399,232,7972,628,1161,1084,2712,1211,1078,830,491,203,9394,13245,24010,22285,52554,21208,17289,11152,5348,2303,169390,8,70,391,1118,337,271,111,29,8,2342,24438,40312,30721,43921,17193,12728,8033,3564,1248,182150,34,161,150,1495,322,209,52,7,0,2427,3,3,27,144,109,110,67,37,5,506,0,0,8,70,25,20,13,3,0,141,0,32,63,115,50,26,15,4,3,294,3,4,16,182,148,125,142,38,18,668,27,114,335,1898,840,822,363,186,67,4658,0,4,18,121,177,199,262,196,58,1025,18,164,149,477,283,367,316,132,51,1955,28,235,167,920,1066,1104,1044,548,171,5287,17,179,558,3009,1499,1070,532,184,35,7080,6,6,6,43,37,30,24,8,4,167,0,15,55,103,93,96,340,155,95,952
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,14,12,41,31,66,48,50,43,49,46,393,184,441,291,629,355,405,300,242,135,2988,0,0,0,0,0,0,0,0,0,0,323,768,517,1049,562,697,500,337,140,4890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,12,22,19,10,7,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6
