LGA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
LGA10050,..,129,12,145,0,148,..,83,9,91,0,91,..,138,11,146,0,143,..,226,39,264,7,271,..,61,4,68,0,68,..,28,13,39,0,39,..,348,267,620,4,626,..,884,338,1222,15,1232,..,93,11,106,0,104,..,20,3,24,0,24,..,23,6,24,0,24,..,5,0,5,0,5,..,3,0,3,0,3,..,26,6,29,0,29,..,18,3,27,0,27,..,30,4,29,0,29,..,0,0,0,0,0,..,42,4,49,0,49,..,83,0,89,0,89,..,13,0,13,0,13,..,114,3,120,0,118,..,20,0,20,0,20,..,233,4,236,0,237,..,64,5,71,0,71,..,36,0,36,0,34,..,54,11,66,0,66,..,0,0,0,0,3,..,19,13,33,5,36,..,489,118,609,11,616,..,2767,638,3402,42,3446,..,124,14,134,3374,3505,44120,2893,646,3539,3413,51076
LGA10130,..,37,5,37,0,37,..,53,5,66,0,66,..,46,0,46,0,46,..,48,0,48,0,48,..,41,3,44,0,44,..,25,0,25,0,25,..,169,9,181,0,182,..,381,17,404,0,401,..,24,0,22,0,22,..,34,3,42,0,40,..,12,3,18,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,44,5,43,0,43,..,10,0,14,0,14,..,18,0,18,0,18,..,0,0,0,0,0,..,9,0,9,0,9,..,45,0,45,4,45,..,27,0,29,0,29,..,66,3,62,3,66,..,18,0,18,0,18,..,155,4,154,8,160,..,61,7,67,0,67,..,19,0,19,0,19,..,40,5,41,0,41,..,3,0,3,0,3,..,46,19,67,0,67,..,351,50,401,8,407,..,1982,324,2307,25,2333,..,81,4,87,2098,2183,24937,2064,327,2397,2120,29449
LGA10250,..,30,0,30,0,33,..,3,0,3,0,3,..,27,0,27,0,27,..,44,3,52,0,48,..,6,0,6,0,6,..,0,0,0,0,0,..,23,0,23,0,23,..,106,3,111,0,115,..,134,4,140,3,143,..,62,3,65,4,71,..,14,5,17,0,17,..,0,0,0,0,0,..,10,0,10,0,10,..,14,3,16,0,16,..,12,0,12,0,12,..,8,0,8,0,8,..,3,0,3,0,3,..,8,0,9,0,9,..,18,0,19,0,19,..,14,0,16,0,21,..,22,0,22,0,28,..,7,0,7,0,7,..,69,0,73,0,74,..,89,10,100,8,104,..,13,0,13,0,13,..,56,5,60,0,60,..,17,0,17,0,17,..,30,5,38,0,38,..,264,26,291,13,303,..,1424,116,1543,35,1578,..,97,3,98,2896,2992,37214,1523,118,1642,2931,41790
LGA10300,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,66,6,69,0,69,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,6,3,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,22,3,31,0,30,..,128,22,147,3,154,..,5,0,5,236,239,1902,130,22,150,232,2287
LGA10470,..,21,0,21,0,21,..,39,3,45,0,45,..,54,0,58,0,58,..,54,12,63,0,63,..,19,0,19,0,22,..,21,0,21,0,26,..,61,0,65,0,65,..,255,17,277,0,278,..,48,11,51,0,56,..,31,3,38,0,38,..,14,5,18,0,18,..,3,0,3,0,3,..,8,0,8,0,8,..,25,3,31,0,31,..,10,0,10,0,10,..,17,0,20,0,20,..,4,0,4,0,4,..,19,3,23,0,23,..,45,0,45,0,45,..,5,0,5,0,5,..,60,0,65,0,61,..,11,0,11,0,11,..,118,0,119,4,127,..,49,3,54,0,56,..,24,4,29,0,29,..,34,14,47,0,47,..,4,0,4,0,4,..,41,14,53,0,53,..,265,55,319,5,321,..,1463,210,1676,24,1695,..,89,0,87,3619,3706,35906,1548,210,1763,3634,41300
LGA10550,..,24,0,31,0,32,..,5,0,5,0,5,..,9,0,9,3,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,21,0,26,3,22,..,60,5,65,0,65,..,19,0,17,0,17,..,5,3,14,0,14,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,4,0,4,..,28,0,28,0,25,..,18,0,18,0,18,..,7,0,7,0,7,..,7,0,7,0,7,..,34,0,32,0,32,..,7,0,8,0,8,..,43,0,43,3,43,..,7,0,7,0,7,..,90,3,95,3,94,..,42,0,39,0,40,..,3,0,3,0,3,..,47,9,50,7,59,..,0,0,0,0,0,..,19,0,19,0,19,..,137,16,158,3,165,..,905,82,983,22,1003,..,95,4,102,2380,2481,29765,999,85,1090,2399,33253
LGA10600,..,4,0,11,3,9,..,0,0,0,0,0,..,0,0,0,0,0,..,9,3,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,15,3,13,0,13,..,20,0,20,0,20,..,13,0,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,15,0,15,0,15,..,9,0,9,0,9,..,0,0,0,0,0,..,22,0,22,0,22,..,40,4,43,0,43,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,68,11,81,5,84,..,375,19,397,8,403,..,26,0,26,792,814,11446,399,19,418,802,12668
LGA10650,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,4,0,4,..,3,0,7,0,7,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,18,4,20,0,20,..,20,0,20,0,20,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,3,0,3,0,3,..,10,4,11,0,11,..,12,0,15,0,15,..,30,5,38,0,38,..,12,0,8,0,8,..,10,0,10,0,10,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,53,9,62,0,62,..,234,24,255,7,260,..,13,0,13,810,822,7377,248,26,275,813,8462
LGA10750,..,1696,271,1971,22,1993,..,3123,251,3377,23,3393,..,12657,678,13331,129,13460,..,10691,1241,11934,89,12026,..,1990,107,2090,5,2102,..,4874,585,5453,68,5520,..,7042,758,7795,76,7875,..,40368,3614,43983,388,44377,..,1689,224,1912,13,1920,..,166,22,188,0,188,..,1170,657,1825,20,1842,..,229,40,265,3,266,..,2126,220,2348,23,2368,..,1506,387,1891,21,1914,..,899,183,1080,14,1088,..,552,77,622,15,639,..,3364,349,3708,74,3790,..,768,167,935,7,942,..,6258,165,6422,53,6474,..,1417,184,1597,5,1605,..,12972,448,13417,136,13555,..,580,25,601,6,609,..,21225,820,22044,200,22242,..,2526,444,2973,21,2993,..,4397,540,4937,25,4965,..,399,117,515,4,524,..,1870,515,2388,29,2413,..,891,302,1189,20,1211,..,16436,3381,19817,433,20247,..,119905,16902,136811,1491,138302,..,1039,262,1301,16441,17737,180926,120941,17165,138106,17937,336962
LGA10800,..,0,0,0,0,0,..,3,4,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,4,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,15,0,15,0,15,..,0,0,0,0,0,..,12,0,12,0,13,..,3,0,3,0,3,..,6,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,28,3,34,4,40,..,109,14,130,3,130,..,8,0,8,704,709,5108,123,14,137,704,5955
