ASGS_Structure,Census_Code_2016,Census_Name_2016
AUS,36,AUSTRALIA
STE,1,New South Wales
STE,2,Victoria
STE,3,Queensland
STE,4,South Australia
STE,5,Western Australia
STE,6,Tasmania
STE,7,Northern Territory
STE,8,Australian Capital Territory
STE,9,Other Territories
SA4,101,Capital Region
SA4,102,Central Coast
SA4,103,Central West
SA4,104,Coffs Harbour - Grafton
SA4,105,Far West and Orana
SA4,106,Hunter Valley exc Newcastle
SA4,107,Illawarra
SA4,108,Mid North Coast
SA4,109,Murray
SA4,110,New England and North West
SA4,111,Newcastle and Lake Macquarie
SA4,112,Richmond - Tweed
SA4,113,Riverina
SA4,114,Southern Highlands and Shoalhaven
SA4,115,Sydney - Baulkham Hills and Hawkesbury
SA4,116,Sydney - Blacktown
SA4,117,Sydney - City and Inner South
SA4,118,Sydney - Eastern Suburbs
SA4,119,Sydney - Inner South West
SA4,120,Sydney - Inner West
SA4,121,Sydney - North Sydney and Hornsby
SA4,122,Sydney - Northern Beaches
SA4,123,Sydney - Outer South West
SA4,124,Sydney - Outer West and Blue Mountains
SA4,125,Sydney - Parramatta
SA4,126,Sydney - Ryde
SA4,127,Sydney - South West
SA4,128,Sydney - Sutherland
SA4,197,Migratory - Offshore - Shipping (NSW)
SA4,199,No usual address (NSW)
SA4,201,Ballarat
SA4,202,Bendigo
SA4,203,Geelong
SA4,204,Hume
SA4,205,Latrobe - Gippsland
SA4,206,Melbourne - Inner
SA4,207,Melbourne - Inner East
SA4,208,Melbourne - Inner South
SA4,209,Melbourne - North East
SA4,210,Melbourne - North West
SA4,211,Melbourne - Outer East
SA4,212,Melbourne - South East
SA4,213,Melbourne - West
SA4,214,Mornington Peninsula
SA4,215,North West
SA4,216,Shepparton
SA4,217,Warrnambool and South West
SA4,297,Migratory - Offshore - Shipping (Vic.)
SA4,299,No usual address (Vic.)
SA4,301,Brisbane - East
SA4,302,Brisbane - North
SA4,303,Brisbane - South
SA4,304,Brisbane - West
SA4,305,Brisbane Inner City
SA4,306,Cairns
SA4,307,Darling Downs - Maranoa
SA4,308,Central Queensland
SA4,309,Gold Coast
SA4,310,Ipswich
SA4,311,Logan - Beaudesert
SA4,312,Mackay - Isaac - Whitsunday
SA4,313,Moreton Bay - North
SA4,314,Moreton Bay - South
SA4,315,Queensland - Outback
SA4,316,Sunshine Coast
SA4,317,Toowoomba
SA4,318,Townsville
SA4,319,Wide Bay
SA4,397,Migratory - Offshore - Shipping (Qld)
SA4,399,No usual address (Qld)
SA4,401,Adelaide - Central and Hills
SA4,402,Adelaide - North
SA4,403,Adelaide - South
SA4,404,Adelaide - West
SA4,405,Barossa - Yorke - Mid North
SA4,406,South Australia - Outback
SA4,407,South Australia - South East
SA4,497,Migratory - Offshore - Shipping (SA)
SA4,499,No usual address (SA)
SA4,501,Bunbury
SA4,502,Mandurah
SA4,503,Perth - Inner
SA4,504,Perth - North East
SA4,505,Perth - North West
SA4,506,Perth - South East
SA4,507,Perth - South West
SA4,509,Western Australia - Wheat Belt
SA4,510,Western Australia - Outback (North)
SA4,511,Western Australia - Outback (South)
