SA3_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
10102,4289,6377,1489,112,12265,2541,271,15085,319,255,169,14,763,779,42,1581,285,224,153,23,680,503,54,1238,601,479,323,38,1447,1278,99,2821,129,110,83,6,326,585,38,945,85,73,32,5,193,272,23,490,182,126,61,12,373,513,42,933,0,7,0,0,7,4,0,8,396,310,171,19,902,1376,104,2374,4,0,0,0,9,10,0,14,10,3,3,0,11,17,0,32,9,14,0,0,25,5,0,26,4,6,5,0,15,11,0,30,25,22,13,0,59,40,0,100,18,21,3,5,44,33,5,81,5334,7208,1993,174,14716,5265,475,20459
10103,1969,1721,603,41,4335,1652,159,6145,37,20,13,0,67,90,8,172,37,18,17,0,68,86,17,177,79,37,26,0,141,177,26,342,48,18,20,3,90,199,44,332,13,3,3,0,17,25,7,50,3,4,0,0,5,20,5,27,0,0,0,0,0,0,0,4,63,25,25,3,114,245,53,414,7,0,0,0,5,13,0,19,8,11,0,0,24,23,3,55,3,4,0,0,4,11,0,12,8,5,3,0,14,13,0,25,25,20,6,0,46,63,6,111,63,43,15,0,121,110,11,240,2191,1843,674,49,4762,2242,254,7259
10104,9021,5369,2428,159,16979,5917,549,23444,401,78,117,13,602,939,44,1585,276,68,110,10,459,454,25,944,674,140,227,19,1066,1394,72,2530,237,86,140,9,473,877,53,1409,21,10,0,0,31,45,3,77,13,0,0,0,13,14,0,29,0,3,0,0,4,7,0,11,269,94,143,9,515,940,57,1516,38,7,10,0,54,130,5,194,77,12,6,0,99,171,4,276,7,10,5,0,24,36,3,57,19,16,7,0,38,25,0,65,145,36,37,0,215,355,12,585,89,37,24,3,148,82,8,234,10204,5678,2855,195,18925,8689,698,28317
10105,3600,3402,1357,111,8472,2943,256,11671,131,65,75,9,281,492,21,796,16,14,21,0,60,64,9,134,150,79,99,9,337,561,31,921,33,21,21,3,76,206,14,288,4,3,3,0,11,55,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,20,28,3,90,261,15,361,8,4,0,0,8,30,0,40,3,4,0,0,14,21,0,31,3,5,4,4,15,3,0,27,9,5,3,0,18,24,0,43,25,24,9,3,60,81,0,138,19,22,4,0,50,28,0,77,3833,3552,1494,127,9002,3872,306,13180
10106,3810,3891,1219,110,9030,2727,260,12015,96,34,42,3,177,325,25,524,3,0,3,0,3,10,0,20,95,33,45,3,177,335,26,540,46,15,28,4,93,227,14,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,15,28,4,91,227,14,330,5,0,0,0,10,18,0,27,8,3,0,0,10,5,0,17,11,3,0,0,12,10,0,24,13,11,3,0,28,6,0,35,42,17,7,0,64,44,0,102,23,23,9,0,56,46,0,106,4015,3988,1304,117,9422,3378,302,13102
10201,12952,17596,5758,427,36735,9221,1312,47268,1531,392,593,59,2570,2985,125,5677,819,524,537,29,1908,1375,149,3436,2349,917,1129,84,4481,4360,274,9110,843,336,390,37,1601,1998,174,3770,290,114,113,15,535,474,69,1073,267,123,103,11,506,370,59,937,3,3,8,0,16,30,0,45,1405,580,615,66,2653,2872,300,5827,12,6,8,0,23,58,4,81,75,37,56,7,168,249,25,438,0,0,0,0,0,4,0,8,38,43,33,3,117,38,7,163,120,88,93,10,308,354,33,690,62,40,26,3,134,153,7,297,16883,19214,7616,594,44306,16969,1922,63202
10202,13130,15836,7068,504,36534,9846,1415,47797,829,280,473,40,1625,1965,112,3702,451,326,442,20,1236,873,103,2213,1280,609,914,60,2864,2837,215,5913,406,135,283,20,849,1358,78,2287,74,37,71,3,191,223,30,442,189,64,89,7,344,298,23,668,6,4,0,0,8,14,0,27,680,234,449,30,1398,1899,129,3429,47,9,21,0,82,166,17,258,17,11,18,0,39,68,3,112,5,8,4,0,18,4,0,22,17,14,14,0,39,23,4,69,83,38,57,4,179,254,24,455,46,29,19,6,100,151,6,249,15219,16748,8505,602,41071,14989,1782,57847
10301,4018,4590,1676,107,10389,3049,470,13904,197,92,145,13,451,603,81,1141,36,22,59,4,125,174,25,327,240,115,206,19,574,782,112,1468,77,42,45,10,174,385,52,612,0,0,0,0,4,14,0,19,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,79,39,44,10,182,402,52,632,6,3,5,0,15,6,0,17,0,4,0,0,8,4,0,7,3,0,0,0,3,3,0,8,6,3,0,0,11,11,0,18,12,14,9,0,29,20,0,51,33,18,15,0,69,140,4,222,4380,4775,1950,139,11249,4394,636,16280
10302,5833,5075,2194,205,13298,5143,367,18811,105,34,38,0,182,296,10,496,3,0,0,0,7,19,0,28,111,34,40,0,189,318,16,518,85,24,39,7,162,615,22,795,0,0,3,0,3,21,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,84,29,43,7,167,632,20,816,11,3,3,0,20,41,0,55,3,3,3,0,7,11,0,24,8,0,4,0,12,7,0,24,23,19,16,3,52,42,3,99,45,27,20,3,93,99,3,199,66,54,23,7,153,81,4,235,6136,5218,2320,219,13900,6268,411,20578
10303,4506,4290,1749,135,10681,4187,385,15247,103,48,83,6,247,496,30,777,18,9,16,0,40,58,3,103,119,56,97,7,285,560,39,879,52,29,29,4,112,219,6,338,0,0,0,0,0,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,25,33,4,116,247,6,365,8,3,5,0,14,63,3,75,5,9,4,0,12,31,0,49,6,8,0,0,9,5,0,15,106,93,40,7,239,91,9,344,117,103,43,7,276,189,12,481,46,35,3,0,87,55,3,150,4843,4517,1932,157,11444,5238,442,17128
10304,5320,6183,2185,148,13845,4078,464,18380,206,90,125,5,423,777,55,1253,22,20,18,4,67,123,13,200,226,108,143,9,489,898,72,1452,75,20,45,9,146,424,17,588,4,4,0,0,6,27,3,39,6,0,0,0,6,8,0,16,0,3,0,0,3,3,0,6,88,25,45,9,160,466,24,652,0,0,0,0,4,24,0,31,0,0,0,0,0,6,0,11,3,6,0,0,5,0,0,10,14,10,3,0,22,14,0,36,13,14,6,0,35,53,0,84,24,27,8,0,52,126,5,182,5666,6361,2385,163,14581,5616,558,20755
10401,5777,4097,2054,167,12089,4059,506,16660,145,34,55,4,239,453,17,710,71,35,71,3,189,176,22,383,219,72,127,4,424,629,38,1088,128,39,101,10,278,547,30,855,18,4,8,3,28,41,5,77,0,0,0,0,3,8,0,10,0,0,0,0,0,3,0,3,149,43,108,8,311,598,37,947,74,13,13,0,94,168,6,272,51,4,7,0,65,103,9,175,15,17,14,0,40,41,0,86,20,11,7,0,31,26,3,65,162,37,30,4,232,340,22,594,52,22,16,0,93,48,3,145,6362,4270,2338,190,13158,5680,613,19441
