SA3_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
10102,21,14,58,63,132,338,440,342,172,1586,6,3,9,12,12,26,29,57,22,182,209,262,650,613,703,621,519,304,130,4012,1506,3282,7788,8045,9176,7168,4425,1910,693,43993
10103,5,12,15,25,48,141,215,152,104,718,0,3,3,0,6,11,26,16,7,61,88,123,277,248,331,250,255,215,119,1905,509,1040,2162,2322,2906,2774,2193,1117,448,15465
10104,19,14,81,143,249,588,927,766,409,3195,3,4,9,12,12,24,27,35,16,138,242,218,433,542,831,1159,1253,1055,660,6392,1541,2462,5103,6528,9334,12962,11695,5921,2384,57933
10105,13,14,41,66,137,294,504,396,179,1641,0,3,12,13,22,28,25,25,5,141,164,213,495,471,504,448,549,431,315,3602,1009,1883,4001,4121,4926,4913,4081,2234,892,28058
10106,10,8,45,67,127,268,385,340,206,1457,0,6,8,11,14,28,26,19,5,112,157,122,220,306,423,457,484,363,243,2775,924,1681,3269,4385,5150,4903,4148,2054,837,27346
10201,36,39,112,164,402,856,1229,1037,871,4756,3,14,29,29,59,56,63,72,31,363,463,527,1012,1151,1407,1493,1681,1689,1413,10834,4290,8897,17710,20587,23043,22425,19191,11134,5688,132953
10202,47,75,215,269,528,1272,1623,1391,881,6299,3,17,20,31,47,95,121,74,34,440,476,572,1020,1111,1430,1550,2000,1998,1425,11576,4625,9241,17547,18771,20570,19923,17373,10541,4579,123168
10301,10,23,45,61,130,287,425,348,209,1540,0,0,11,11,14,24,27,14,7,117,298,551,713,587,582,536,576,386,220,4450,1535,3463,5654,5431,5988,5716,4634,2305,1008,35736
10302,14,24,64,101,242,640,854,746,470,3166,0,3,7,9,19,35,45,25,11,156,329,278,506,593,774,870,935,790,349,5416,1573,2791,5431,5800,7109,7635,6542,4095,1751,42729
10303,10,23,70,75,213,474,678,480,269,2291,0,0,4,5,4,16,33,26,13,110,246,281,681,665,803,794,923,554,196,5150,1235,2285,5023,5224,6473,6446,5778,2963,1050,36474
