SA3_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
10102,218,266,482,4422,5002,9425,0,0,0,229,233,466,85,74,161,7463,7928,15389,13,15,27,758,698,1456,57,72,129,56,31,88,147,176,326,17,9,24,103,107,210,195,242,442,564,624,1184,51,58,116,35,39,75,660,827,1487,663,687,1350,19,23,42,15536,16845,32380,360,323,679,342,303,640,22,18,39,7,12,16,230,198,431,71,113,177,303,321,620,8879,7599,16478,108,80,189,43,54,93,9033,7733,16767,3031,2697,5725,28828,28501,57331
10103,70,110,184,1917,2026,3947,0,0,0,182,154,337,0,0,0,2298,2258,4557,3,3,7,73,68,137,25,48,66,3,11,14,71,74,146,4,3,5,16,14,26,50,47,96,257,266,519,20,19,47,10,16,32,258,287,542,132,168,300,3,5,7,5332,5459,10792,8,9,14,40,31,65,11,8,14,3,3,8,0,3,6,25,36,63,28,45,73,3128,2630,5756,38,36,71,13,27,36,3170,2690,5863,1355,1006,2361,10013,9354,19366
10104,243,422,665,7238,8423,15657,0,0,0,339,365,708,0,3,3,6742,7214,13960,12,21,30,158,133,296,187,280,465,51,57,104,127,164,287,9,7,10,81,97,176,145,177,324,1000,1141,2145,92,101,190,71,102,173,1046,1442,2494,583,701,1285,32,35,63,17905,20461,38371,65,59,126,41,33,70,22,35,54,15,23,33,10,10,19,99,155,253,123,186,308,12246,11046,23292,128,96,227,77,104,183,12456,11247,23700,3764,3591,7348,34606,36029,70638
10105,102,143,243,4450,4851,9308,0,0,0,181,201,381,64,61,127,5000,5288,10289,0,3,8,121,93,212,30,50,86,21,35,52,38,44,84,7,4,15,31,29,60,56,71,127,423,394,817,40,56,100,39,53,98,732,780,1509,250,251,502,17,16,38,11512,12300,23810,66,57,117,60,56,112,7,5,13,0,0,0,25,25,49,41,48,86,67,67,133,3836,3310,7151,49,45,99,21,34,52,3907,3386,7293,2274,1556,3828,17989,17572,35559
10106,56,94,153,4156,4545,8697,0,0,0,190,198,389,51,53,109,5284,5602,10887,0,4,4,60,74,137,34,44,79,4,3,6,77,96,172,0,0,0,35,38,74,77,71,148,482,527,1005,49,64,112,37,36,73,757,864,1620,306,322,625,7,16,25,11603,12560,24162,27,17,41,161,170,329,8,14,24,0,3,3,10,4,13,56,46,104,67,58,124,4110,3744,7855,41,31,76,12,32,41,4162,3805,7972,1601,1539,3135,17678,18257,35942
10201,758,1171,1926,16080,19193,35270,3,5,11,1378,1555,2932,84,108,197,18649,21191,39839,136,182,325,598,596,1193,266,354,624,159,192,343,214,266,480,67,57,124,914,999,1913,858,1092,1953,2088,2425,4516,163,227,388,392,446,834,2542,3331,5879,1871,2182,4052,105,120,222,46568,54522,101092,359,350,710,299,276,579,103,144,247,20,13,32,77,61,136,167,263,431,258,336,596,25998,22924,48926,301,246,545,145,222,365,26452,23396,49840,7083,6985,14067,81880,87173,169053
10202,517,740,1254,17726,20815,38543,9,8,13,1221,1471,2692,22,23,44,19278,21886,41160,45,61,105,478,476,952,308,421,731,207,210,424,127,152,276,46,35,79,550,619,1167,694,828,1518,1916,2231,4146,218,289,507,267,309,578,2031,2603,4631,1394,1597,2990,66,74,137,46602,54087,100688,219,228,447,247,207,459,48,58,110,28,17,49,58,48,108,180,263,441,269,329,597,22313,19328,41643,215,135,350,94,155,246,22626,19614,42239,6355,6537,12893,76884,81803,158683
10301,140,192,331,4126,4750,8871,0,0,0,263,300,565,92,81,166,6958,7575,14532,16,28,44,95,86,179,69,61,134,33,32,67,54,59,112,8,7,14,75,74,157,134,154,285,892,961,1856,53,60,114,49,63,112,811,945,1753,339,380,714,12,14,24,14071,15631,29699,107,95,207,109,82,194,6,8,14,6,10,18,35,33,67,49,55,106,97,100,200,5572,4778,10347,64,48,112,25,35,54,5663,4851,10517,3253,2185,5436,23445,23152,46594
10302,103,101,204,6794,7314,14108,0,0,0,407,427,834,186,196,385,7702,8067,15769,3,7,6,45,55,99,86,124,206,40,38,78,123,140,258,14,17,36,69,76,145,252,284,541,1344,1417,2759,76,117,194,37,46,82,1591,1713,3302,535,633,1172,18,16,28,19338,20672,40005,55,49,105,34,24,59,7,3,5,16,7,23,17,14,25,28,46,72,58,66,122,4849,4042,8892,23,23,48,16,15,30,4894,4083,8973,2980,2883,5863,27462,27879,55336
10303,110,175,285,5548,5868,11416,0,0,0,273,286,551,77,72,146,5571,5864,11439,6,4,12,78,65,141,86,132,212,31,37,66,26,45,77,7,3,15,70,71,142,157,184,341,876,967,1846,63,72,133,36,46,77,998,1164,2162,330,394,720,9,9,23,14236,15289,29517,58,42,100,32,35,73,7,10,18,0,3,4,16,20,35,43,75,113,58,92,151,5666,4677,10338,50,28,77,25,29,58,5740,4741,10475,3289,2708,5996,23530,23085,46612
