SA3_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
10102,833,6317,7741,2958,1958,19803,651,20459
10103,351,2347,2573,1015,557,6849,402,7259
10104,1328,10925,10355,3100,1281,26990,1328,28317
10105,863,4216,4605,1827,1097,12611,564,13180
10106,533,3696,4893,2144,1288,12560,546,13102
10201,4743,23289,22195,7006,3697,60928,2273,63202
10202,3645,21022,20221,6700,3722,55306,2536,57847
10301,988,5253,5923,2231,1260,15656,627,16280
10302,1262,6775,7246,2682,1569,19542,1043,20578
10303,1153,5566,6049,2227,1252,16245,881,17128
10304,1197,6730,7813,2661,1431,19835,928,20755
10401,1118,7441,6830,2170,1006,18569,873,19441
10402,1876,12137,11702,3435,1662,30806,1367,32171
10501,892,2894,2658,1030,552,8023,558,8581
10502,792,3189,2438,723,361,7506,483,7995
10503,1572,8116,8790,3294,1751,23525,1142,24663
10601,1380,9368,11518,4376,2577,29224,1201,30417
10602,1312,8164,10595,3494,1863,25432,825,26258
10603,1074,9295,9709,3217,1829,25125,1165,26292
10604,642,3522,4094,1441,724,10418,505,10929
10701,2299,9027,9173,3329,1791,25621,1165,26788
10702,0,0,0,0,0,5,0,5
10703,1571,9874,12068,4211,2540,30258,1069,31327
10704,4450,17299,16351,4923,2459,45486,1692,47170
10801,779,5549,4177,1247,497,12248,675,12919
10802,1141,7065,6214,2011,975,17407,942,18344
10803,22,81,24,0,3,126,8,132
10804,1847,12076,10972,3190,1462,29550,1319,30864
10805,1240,7851,7503,2387,1137,20118,955,21079
10901,1638,8355,8366,2648,1265,22267,868,23140
10902,303,1273,1703,612,364,4252,254,4502
10903,812,5547,5948,1960,1041,15313,889,16202
11001,871,4667,4636,1598,907,12681,532,13211
11002,947,5102,4925,1855,1075,13908,728,14635
11003,620,2713,3110,1209,719,8371,546,8915
11004,1728,9802,10750,3772,2060,28110,1438,29544
11101,2902,15019,17413,5566,2803,43707,1440,45146
11102,1244,8845,10202,3765,2097,26153,993,27146
11103,5724,23787,22446,6317,2791,61067,2142,63212
11201,1443,10956,11269,3171,1478,28314,1274,29589
11202,1641,9684,9304,3034,1494,25150,1121,26275
11203,2104,13777,12293,3577,1758,33512,1574,35089
11301,900,5020,6080,2279,1354,15637,839,16474
11302,269,1755,2000,745,386,5147,255,5403
11303,1947,11307,12391,4248,2312,32204,1435,33640
11401,1873,14747,13572,4090,2088,36377,1747,38127
11402,638,5965,6787,2372,1374,17139,630,17770
11501,1246,11309,20204,7166,4010,43935,782,44721
11502,176,1488,2778,1545,1681,7660,209,7867
11503,100,1380,3023,1510,1433,7446,208,7649
11504,132,1731,4334,1818,1337,9347,231,9577
11601,3645,14914,15035,5072,2483,41146,1636,42788
11602,632,6997,12621,3929,1955,26134,638,26768
11603,2878,11195,11056,3912,1906,30945,1417,32360
11701,2505,7001,4690,1119,453,15770,655,16424
11702,3865,9994,4567,933,348,19705,749,20447
11703,34048,38167,10082,1265,521,84083,3715,87796
11801,8049,21860,13071,2681,1059,46717,1735,48449
11802,9074,21468,13505,3077,1277,48405,1967,50373
11901,4976,17626,17791,6341,3440,50176,1973,52154
11902,5197,17147,12241,3880,2030,40487,1762,42240
11903,5355,16469,13214,3979,2044,41059,1356,42420
11904,6243,20671,13582,3652,1765,45912,1680,47593
12001,3020,13426,10435,2439,1132,30448,802,31246
12002,2847,10650,6120,984,325,20931,588,21515
12003,8998,23132,13097,3357,1605,50189,2008,52190
12101,5156,18382,12376,2712,1013,39641,965,40605
12102,2164,10997,9670,2649,1303,26791,606,27397
12103,1530,12308,16874,4989,2153,37851,717,38566
12104,6014,20865,9870,1798,682,39231,923,40152
12201,1660,6755,5107,1203,442,15171,395,15559
12202,739,5718,8952,2948,1582,19934,623,20562
12203,3359,18359,19952,5697,2951,50321,1494,51814
12301,468,4446,8762,3371,2025,19066,429,19497
12302,3819,17892,17365,6067,3421,48562,1762,50325
