SA3_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
10102,0,25,..,348,77,422,3,420,..,18,0,18,0,18,..,16,0,15,0,19,..,57,7,58,0,64,..,31,3,31,0,36,..,30,0,30,0,30,..,116,19,131,0,128,..,75,0,75,0,75,..,35,5,44,0,41,..,133,3,140,0,140,..,18,0,25,0,25,..,265,12,278,0,279,..,88,8,99,3,101,..,31,0,31,0,31,..,45,8,55,0,58,..,8,0,10,0,10,..,37,17,58,0,58,..,417,76,494,22,512,..,3008,432,3442,52,3488,..,59,6,65,1944,2005,23001,3062,442,3505,1994,28501,46344,..,..,..,..,46344,..,44,3,52,0,52,..,108,20,130,0,132,..,15,0,15,0,15,..,88,27,111,3,119,..,205,50,252,3,254,..,8,3,16,0,16,..,298,82,380,6,390,..,217,26,239,3,240,..,63,0,65,0,65,..,130,4,134,0,139,..,177,3,177,4,180
10103,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,15,0,15,..,12,0,13,0,13,..,0,0,0,0,0,..,5,3,10,0,10,..,0,0,0,0,0,..,11,0,15,0,15,..,9,0,9,0,9,..,0,0,0,0,0,..,24,0,21,0,21,..,8,0,8,0,8,..,0,0,0,0,0,..,16,6,25,0,25,..,10,0,9,0,9,..,5,3,10,0,10,..,82,12,87,0,91,..,474,64,535,9,548,..,23,3,30,742,770,8040,497,64,560,752,9354,16558,..,..,..,..,16558,..,12,0,17,0,17,..,38,0,38,0,38,..,0,0,0,0,0,..,21,8,34,0,33,..,39,36,73,3,76,..,7,0,10,0,10,..,68,46,119,4,118,..,11,0,9,0,14,..,41,0,39,0,39,..,38,0,38,0,40,..,169,4,179,4,178
10104,0,8,..,6,0,6,0,6,..,14,0,14,0,14,..,3,3,3,0,3,..,29,0,29,0,30,..,17,3,15,0,15,..,8,0,8,0,8,..,13,3,11,0,11,..,44,0,44,0,44,..,13,4,19,0,19,..,54,0,54,3,58,..,16,0,15,0,15,..,125,3,131,3,131,..,55,6,53,0,56,..,3,0,5,0,5,..,38,7,45,4,51,..,6,0,6,0,6,..,28,5,32,0,37,..,194,19,205,5,215,..,1172,101,1273,30,1299,..,123,7,129,2517,2639,32086,1290,110,1398,2544,36029,62958,..,..,..,..,62958,..,41,0,41,0,41,..,30,6,34,0,39,..,33,4,38,0,38,..,41,13,59,0,59,..,52,13,67,0,72,..,9,0,9,0,9,..,101,33,134,0,137,..,95,14,113,3,120,..,123,0,126,6,132,..,117,5,122,3,129,..,318,16,331,3,338
10105,0,26,..,5,0,5,0,5,..,15,0,15,0,15,..,7,3,8,0,8,..,10,0,8,0,8,..,13,0,13,0,13,..,3,0,3,0,3,..,0,0,3,0,3,..,35,0,36,0,36,..,8,0,11,0,11,..,29,0,29,0,29,..,3,0,3,0,3,..,73,0,79,0,79,..,25,3,27,0,27,..,0,0,0,0,0,..,29,3,27,0,32,..,8,0,8,0,8,..,3,0,3,0,3,..,115,35,147,5,156,..,611,114,728,15,741,..,56,5,65,1128,1190,15630,673,125,796,1145,17572,31104,..,..,..,..,31104,..,21,0,21,0,16,..,59,12,74,0,73,..,0,0,0,0,3,..,35,22,51,0,51,..,64,20,77,4,87,..,3,0,3,0,3,..,99,37,138,4,142,..,14,3,13,4,19,..,31,0,31,0,31,..,37,4,37,0,37,..,77,0,76,6,81
10106,0,3,..,6,3,7,0,7,..,7,0,7,0,7,..,3,0,3,0,3,..,7,0,7,0,7,..,9,0,9,0,9,..,0,0,0,0,0,..,11,0,17,0,13,..,13,0,13,0,11,..,11,0,11,0,9,..,17,0,17,0,17,..,4,0,4,0,3,..,43,0,43,6,47,..,23,3,23,0,23,..,0,0,0,0,0,..,6,0,10,0,10,..,6,0,5,0,5,..,9,0,8,0,8,..,83,19,101,0,96,..,528,73,604,7,613,..,29,0,29,1128,1158,16490,561,73,636,1133,18257,32385,..,..,..,..,32385,..,30,3,31,0,31,..,196,34,233,3,234,..,9,0,9,0,9,..,14,4,19,0,19,..,51,22,73,0,73,..,5,0,8,0,8,..,71,23,99,0,99,..,70,3,69,3,74,..,57,0,57,0,57,..,27,0,24,0,24,..,72,3,72,0,72
10201,3,254,..,10,0,12,0,12,..,76,0,78,0,81,..,31,6,34,0,37,..,107,5,111,3,117,..,169,36,205,0,204,..,12,0,12,0,12,..,49,3,55,0,55,..,126,4,131,3,134,..,86,8,94,0,94,..,253,3,256,3,261,..,40,3,48,0,49,..,512,21,535,10,545,..,415,42,453,5,462,..,44,9,49,0,49,..,203,31,232,0,239,..,31,3,34,0,34,..,76,22,101,0,101,..,946,128,1072,25,1098,..,5448,818,6262,85,6345,..,281,24,307,4468,4775,76050,5733,841,6571,4554,87173,148067,..,..,..,..,148067,..,288,0,287,4,293,..,273,22,299,0,300,..,25,3,25,0,25,..,358,145,505,0,510,..,776,304,1075,11,1090,..,33,11,49,0,49,..,1164,462,1631,15,1641,..,143,7,145,3,150,..,252,4,256,3,262,..,414,19,427,3,428,..,596,22,623,4,622
10202,0,73,..,12,5,15,0,15,..,133,3,135,0,136,..,19,0,17,0,17,..,57,0,62,0,60,..,67,13,77,0,77,..,41,8,52,0,52,..,40,8,49,0,45,..,126,4,129,3,134,..,66,3,66,0,66,..,208,8,219,4,223,..,23,0,23,0,30,..,426,18,442,9,453,..,317,29,341,3,349,..,18,0,23,0,23,..,114,31,146,0,146,..,12,3,20,0,20,..,64,27,88,0,88,..,618,131,746,17,765,..,3472,533,4007,46,4058,..,230,18,249,4715,4969,72781,3702,556,4254,4764,81803,141705,..,..,..,..,141705,..,121,3,126,0,121,..,226,28,254,3,260,..,37,0,37,0,37,..,202,101,304,3,306,..,289,131,416,7,427,..,14,8,22,0,22,..,507,244,749,9,760,..,84,9,90,5,95,..,170,0,170,3,175,..,204,14,221,0,220,..,261,12,274,3,281
10301,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,15,0,18,0,18,..,12,0,12,0,12,..,15,0,16,0,16,..,4,0,4,0,4,..,20,0,22,0,22,..,24,0,24,0,24,..,6,0,6,0,6,..,40,0,36,0,40,..,5,0,5,0,5,..,71,0,72,0,74,..,24,3,30,0,31,..,20,0,20,0,20,..,28,12,34,0,34,..,0,0,0,0,0,..,22,4,28,0,28,..,151,31,184,3,180,..,811,111,923,9,934,..,40,0,48,1661,1709,20510,855,116,969,1670,23152,40365,..,..,..,..,40365,..,46,0,46,0,46,..,90,13,105,0,105,..,28,4,33,0,32,..,58,26,85,0,85,..,84,19,100,3,108,..,11,3,16,0,16,..,153,53,205,3,206,..,20,3,24,0,24,..,47,0,47,0,47,..,49,3,49,4,50,..,73,3,75,0,82
10302,0,7,..,3,0,3,0,3,..,5,0,5,0,5,..,3,0,6,0,6,..,10,0,10,0,10,..,7,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,33,0,32,0,39,..,11,0,17,0,17,..,45,3,48,0,48,..,4,0,5,3,8,..,98,5,101,3,108,..,18,0,17,0,17,..,7,0,9,0,9,..,13,8,17,0,17,..,0,0,0,0,0,..,11,10,15,0,15,..,114,14,129,6,133,..,589,97,679,13,700,..,67,10,78,2464,2541,24642,652,105,754,2484,27879,48927,..,..,..,..,48927,..,46,3,52,0,52,..,54,4,59,4,68,..,76,4,80,0,85,..,54,33,87,3,88,..,64,28,88,0,95,..,4,0,7,0,11,..,120,67,186,9,197,..,14,0,22,0,19,..,24,0,24,0,24,..,15,0,19,0,19,..,33,0,35,0,35
10303,0,8,..,4,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,14,0,17,0,17,..,4,0,4,0,4,..,3,0,3,0,3,..,11,0,11,0,11,..,20,0,21,0,21,..,8,0,8,0,8,..,46,0,46,0,46,..,10,0,10,0,10,..,85,3,88,0,88,..,29,3,35,0,35,..,3,0,3,0,3,..,33,3,39,0,39,..,0,0,3,0,3,..,25,9,33,0,33,..,112,14,129,3,129,..,631,96,723,7,729,..,69,3,74,2265,2334,20020,701,99,793,2276,23085,40126,..,..,..,..,40126,..,36,0,36,0,36,..,45,13,54,0,60,..,12,0,12,0,12,..,37,23,63,4,65,..,37,19,64,0,64,..,0,4,4,0,4,..,73,48,124,4,130,..,32,3,35,0,35,..,25,0,27,3,33,..,35,6,35,0,36,..,84,3,86,0,90
