SA3_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
10102,0,0,0,27,32,10,0,0,0,75,4,60,55,179,76,61,9,3,0,456,0,0,0,25,3,26,17,7,14,92,0,6,0,25,44,64,51,26,7,215,0,3,4,16,18,7,3,3,0,50,5,11,27,70,51,26,11,5,0,206,0,0,0,6,21,19,27,18,5,98,3,7,5,37,24,15,13,4,0,100,0,0,0,10,3,3,0,0,0,14,0,10,7,42,12,9,3,0,0,90,3,4,23,118,120,131,78,37,16,526,0,6,3,5,8,0,0,0,0,19,15,45,26,83,53,39,33,5,0,305,0,0,4,35,22,15,3,0,0,86,0,0,0,10,19,16,10,8,0,60,0,0,3,23,11,8,10,0,0,49,6,31,51,348,185,199,157,113,51,1139,237,429,449,1240,745,610,463,220,72,4465,3724,7512,6881,15839,9179,7171,4426,1912,693,57331
10103,0,0,0,3,8,3,0,0,0,13,0,0,3,15,10,10,4,0,0,37,0,0,0,12,0,11,0,4,3,29,0,0,3,11,11,18,29,17,3,89,0,0,0,0,3,4,0,0,0,10,0,4,9,12,5,10,5,3,3,44,0,0,0,0,5,0,9,9,0,17,0,4,3,7,4,4,0,0,0,23,0,0,13,40,0,0,0,0,0,48,0,8,5,19,7,4,3,0,0,45,0,0,0,0,0,0,4,3,0,10,0,0,0,4,8,3,0,0,0,12,3,5,4,24,12,18,6,4,0,72,0,0,3,8,7,3,0,0,0,20,0,0,0,0,3,3,0,3,0,15,0,0,0,5,3,0,0,0,0,6,0,3,8,49,48,48,99,60,22,331,49,145,195,442,310,278,241,151,95,1905,903,2368,2164,4489,2909,2771,2193,1117,449,19366
10104,0,0,0,8,13,13,6,0,0,39,7,19,6,79,39,44,20,7,4,219,0,0,0,10,7,11,16,9,12,57,0,0,3,18,42,92,140,80,33,408,3,3,0,3,3,7,3,0,0,29,3,7,3,45,27,46,57,19,6,205,0,0,0,3,10,12,11,20,8,59,0,0,0,11,4,0,5,0,0,24,0,0,0,5,0,0,0,0,0,5,3,5,14,40,11,11,4,0,0,85,0,0,0,0,3,0,6,4,0,16,0,0,0,0,7,0,0,0,0,8,0,13,15,46,27,59,68,11,3,252,0,0,0,30,16,7,6,0,0,56,0,0,0,6,16,28,29,14,6,93,0,0,0,0,3,14,11,0,0,25,6,11,17,115,115,139,230,161,49,832,166,474,458,1022,902,1202,1107,703,306,6340,2955,7657,6067,11644,9338,12972,11696,5929,2389,70638
10105,0,0,0,7,5,7,0,0,0,18,3,19,16,64,24,18,9,3,0,158,0,0,0,5,0,3,3,3,0,24,0,0,3,15,25,21,32,22,3,125,0,0,0,0,4,0,3,0,0,11,3,0,4,13,10,10,9,3,0,53,0,0,0,0,0,3,0,4,0,12,0,0,0,14,8,0,0,0,0,18,0,0,0,6,0,3,0,0,0,11,0,3,3,22,10,3,3,0,0,41,0,0,0,3,3,3,0,0,0,10,0,0,0,3,5,0,0,3,0,9,0,14,0,18,15,11,8,3,0,79,0,0,0,13,3,0,0,0,0,24,0,0,0,0,5,4,11,7,0,26,0,0,3,7,3,9,0,0,0,28,4,25,19,106,46,46,53,30,14,341,110,232,290,588,429,412,395,273,95,2826,2075,4320,3984,8129,4924,4913,4085,2236,892,35559
10106,0,0,0,10,20,11,4,0,0,45,3,11,4,26,15,13,8,0,0,78,0,0,0,0,0,3,7,0,0,17,3,3,3,15,25,17,23,13,0,96,0,0,0,3,3,0,3,0,0,10,0,5,9,22,11,4,3,0,0,62,0,0,0,0,3,0,7,6,0,17,0,0,0,5,0,3,0,0,0,11,0,0,0,14,0,0,0,0,0,13,0,0,3,6,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,9,3,8,13,29,16,24,12,0,3,109,0,0,0,6,3,0,0,0,0,14,0,0,0,3,6,3,4,0,3,30,0,0,0,4,6,3,0,0,0,19,3,12,14,66,44,53,54,19,9,260,117,257,265,574,417,457,399,209,85,2782,2210,5041,3923,7653,5156,4910,4152,2058,839,35942
10201,0,0,15,64,50,43,15,7,3,207,13,51,65,361,180,178,71,13,9,937,0,5,4,62,25,50,42,27,16,231,4,40,29,116,180,182,245,145,75,1018,6,18,13,29,35,24,10,4,3,134,0,62,123,317,261,173,132,68,17,1161,0,0,0,8,13,11,15,15,4,64,0,3,3,55,33,24,34,13,3,173,0,9,10,45,11,12,3,0,0,94,12,20,38,185,69,20,4,3,0,352,0,0,0,0,4,12,0,0,0,13,0,0,0,18,23,11,4,4,3,65,14,86,63,193,141,110,85,18,11,709,3,7,7,78,39,26,7,4,0,182,3,12,8,59,41,52,65,39,20,303,0,9,14,61,34,19,11,3,0,153,28,120,112,778,473,424,470,285,110,2789,409,842,917,2227,1383,1454,1372,1045,806,10453,9576,20665,18992,38313,23046,22432,19200,11143,5691,169053
10202,0,3,5,28,34,18,3,7,0,96,9,39,70,289,164,149,67,11,9,814,0,0,4,29,14,26,26,12,9,107,0,16,10,91,113,191,239,167,46,872,0,3,0,12,15,20,7,4,0,61,0,25,42,149,80,67,58,32,9,454,0,0,0,3,12,15,16,18,5,64,0,0,0,26,12,6,11,3,0,63,0,4,7,11,3,0,0,0,0,23,3,22,16,100,31,29,0,0,0,211,0,0,0,3,5,6,5,3,0,26,0,0,0,3,0,3,5,9,0,26,5,27,27,95,60,68,45,9,4,348,0,13,7,64,20,13,0,0,0,124,0,4,0,24,36,31,49,27,10,187,0,8,21,43,18,18,7,10,3,125,9,38,64,409,318,314,371,239,68,1829,405,907,1001,2177,1461,1491,1507,1160,739,10849,9610,20582,19110,36341,20583,19932,17392,10552,4585,158683
10301,0,0,0,11,15,6,0,0,0,29,8,15,26,63,23,21,4,0,0,163,0,0,0,4,0,5,3,6,0,23,3,4,10,15,30,43,40,27,4,169,0,0,0,7,5,5,3,3,0,22,0,10,16,42,20,14,14,0,0,114,0,0,0,0,4,10,9,4,0,31,0,8,6,20,17,3,5,0,0,57,0,0,0,0,0,0,0,0,0,3,0,0,7,31,9,3,0,0,0,51,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,7,10,24,7,13,6,0,0,77,3,7,8,32,15,0,0,0,0,66,0,0,0,0,9,3,4,3,0,21,0,3,4,6,5,4,3,0,0,30,4,10,33,84,53,54,64,38,11,361,152,318,601,763,507,503,494,314,190,3840,2846,6196,6796,11096,5993,5720,4632,2311,1008,46594
10302,5,8,7,8,9,3,3,0,0,41,9,28,19,91,31,26,16,0,0,213,0,0,0,0,0,0,3,7,3,11,0,0,0,3,10,10,34,16,3,83,0,0,0,0,3,0,0,0,0,5,0,14,17,34,27,11,8,9,0,120,0,0,0,0,0,3,0,3,0,5,0,5,0,10,4,0,3,3,0,26,0,0,0,9,4,0,0,0,0,11,0,3,4,16,4,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,13,8,9,13,3,0,56,0,0,0,16,3,3,0,0,0,21,0,0,3,0,0,3,4,4,0,17,0,3,4,8,4,3,0,0,0,24,4,14,6,46,33,37,50,24,10,233,244,551,587,1102,823,836,813,584,279,5812,3400,7418,6145,11231,7111,7638,6548,4102,1749,55336
10303,0,0,0,0,9,0,0,0,0,15,3,12,9,62,36,36,11,0,0,173,0,0,0,4,0,9,6,8,11,39,0,3,0,16,23,41,61,16,9,158,0,0,0,3,4,0,0,0,0,7,0,8,4,30,27,13,12,3,0,101,0,0,0,0,3,5,9,8,3,25,0,3,0,8,0,8,3,0,0,20,0,0,3,3,3,0,0,0,0,4,0,3,10,27,9,0,0,0,0,47,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,8,0,6,5,22,13,19,15,8,0,94,0,3,9,37,13,7,0,0,0,69,0,0,0,4,19,6,10,9,0,45,0,0,0,11,0,7,0,0,0,13,0,7,10,59,57,77,77,63,13,357,260,524,475,1124,783,830,820,422,137,5379,2942,5825,4879,10255,6477,6448,5779,2968,1051,46612
