SA3_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
20402,12565,650,304,71,61,13649,3178,440,238,36,11,3902,450,63,40,11,3,568,16192,1152,578,112,77,18116
20403,19013,1099,365,103,161,20741,3579,559,210,47,30,4419,577,88,36,8,10,717,23166,1747,613,160,197,25872
20501,13316,381,457,73,62,14286,2276,244,289,72,11,2887,396,26,33,11,12,474,15981,655,775,155,79,17641
20502,12351,362,173,162,108,13153,3312,251,117,124,32,3837,486,36,14,18,72,624,16152,649,305,303,213,17614
20503,17663,562,251,132,94,18710,3963,348,182,114,12,4617,615,51,19,16,17,712,22236,965,451,265,120,24037
20504,19879,933,814,74,49,21747,4216,680,553,34,12,5501,680,92,95,8,37,913,24773,1710,1458,112,103,28158
20505,11795,293,242,84,61,12476,2673,221,144,58,15,3101,397,36,17,6,5,455,14866,541,399,150,77,16030
20601,13485,7578,7594,167,115,28939,2615,793,844,15,18,4290,393,196,217,11,18,829,16496,8572,8652,191,153,34058
20602,8516,4581,3908,101,66,17180,1434,509,653,10,8,2617,244,93,138,4,7,482,10199,5187,4693,121,84,20277
20603,9940,4422,6966,84,80,21493,1227,499,1620,11,11,3370,226,112,367,3,21,724,11394,5032,8951,103,103,25578
20604,1455,6612,42564,91,325,51044,146,462,3612,17,21,4254,54,177,1375,48,43,1707,1657,7253,47554,161,392,57012
20605,3546,9585,25762,437,136,39468,343,939,3139,31,14,4467,82,237,810,13,35,1172,3975,10764,29702,484,188,45114
20606,4019,5258,15563,61,78,24975,327,410,1842,3,8,2585,109,136,492,3,8,752,4454,5800,17895,68,95,28314
20607,4568,12842,14197,195,155,31965,538,960,2034,11,19,3560,128,330,535,14,20,1028,5237,14140,16771,223,191,36553
20701,30749,11009,12051,168,167,54151,2253,1063,1159,11,16,4503,567,197,412,5,13,1201,33568,12272,13622,181,204,59849
20702,19988,5167,2144,12,49,27360,2687,633,332,0,10,3665,479,168,79,0,80,799,23154,5974,2545,15,136,31827
20703,20523,7676,3249,34,81,31566,2515,1093,613,3,8,4233,503,191,146,0,15,851,23543,8963,4013,39,101,36658
20801,20087,7251,3495,177,130,31142,1576,910,671,8,12,3181,383,176,134,3,10,711,22051,8336,4296,193,154,35037
20802,24590,11852,11303,152,140,48035,2844,1381,1542,19,14,5807,552,321,326,4,21,1221,27989,13558,13163,181,180,55064
20803,21569,10189,5637,194,122,37714,2570,1531,1222,73,34,5434,485,273,278,7,32,1071,24623,11993,7138,278,187,44224
20804,6770,2944,3902,167,49,13829,553,266,446,14,6,1292,118,54,101,5,4,289,7443,3266,4448,187,60,15406
20901,30148,5673,2279,47,85,38233,3672,1097,390,5,25,5177,722,191,86,0,21,1022,34541,6962,2749,50,130,44431
20902,16793,7196,2492,158,74,26707,4521,1531,520,24,16,6610,699,311,109,5,18,1141,22009,9034,3111,192,110,34457
20903,18310,558,411,24,54,19354,1135,104,95,5,3,1352,320,16,14,0,7,356,19768,684,516,34,59,21059
20904,49238,6898,1601,29,93,57859,7534,1153,430,10,13,9136,1441,200,70,3,16,1735,58212,8248,2106,43,123,68732
21001,12969,3584,182,95,37,16868,2774,659,48,23,3,3509,406,121,6,3,10,548,16156,4364,234,128,49,20932
21002,8252,341,57,23,29,8696,775,113,19,9,8,924,181,11,0,7,0,202,9212,465,73,39,36,9827
