SA3_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
10102,502,364,873,1677,1715,3389,664,536,1204,175,163,334,2517,2413,4926,1046,969,2017,669,682,1350,253,220,473,1969,1868,3839,70,85,155,34,51,82,262,145,407,222,329,542,8,5,12,588,617,1207,351,441,790,181,217,403,63,110,172,375,595,964,3,3,9,967,1361,2327,41,42,83,92,201,295,3,3,10,144,247,390,2274,2175,4447,8960,9051,18011
10103,163,127,288,609,577,1184,117,110,224,83,45,128,802,737,1541,394,385,779,77,85,163,106,78,183,579,550,1130,9,14,18,3,21,25,64,55,117,85,120,207,3,0,5,162,207,374,50,61,115,10,32,44,11,26,34,58,144,196,0,3,3,133,260,393,24,26,49,18,49,70,0,0,0,44,79,120,1158,918,2069,3039,2875,5915
10104,487,437,927,1830,1662,3494,440,410,854,234,261,491,2510,2329,4835,1238,1265,2501,491,474,962,198,195,388,1926,1930,3853,41,47,92,23,55,84,202,134,334,165,304,467,3,13,16,436,557,994,71,124,196,51,151,200,13,46,64,122,349,480,0,3,3,264,669,938,28,28,61,54,160,214,8,4,13,85,201,283,3173,3308,6484,8878,9427,18313
10105,317,302,623,1133,1011,2142,293,308,604,50,37,82,1477,1357,2835,763,732,1494,256,223,478,35,32,70,1055,988,2043,30,48,79,22,29,53,175,103,285,91,209,298,3,5,10,328,393,721,86,130,210,50,87,135,21,41,62,88,201,292,3,4,7,247,464,707,36,23,56,41,99,139,0,0,4,76,120,196,2006,1467,3480,5513,5093,10604
10106,359,317,676,1119,1034,2155,476,485,961,86,100,188,1688,1619,3307,729,729,1458,358,400,761,121,134,253,1210,1254,2468,28,36,65,12,35,48,131,96,225,92,237,323,4,7,12,263,400,666,94,175,274,29,78,106,29,52,82,102,251,356,3,3,6,262,554,814,18,24,44,27,73,101,0,4,4,49,98,148,1375,1472,2850,5214,5722,10939
10201,1671,1544,3215,5081,4819,9902,984,969,1947,931,853,1783,6996,6646,13640,3520,3526,7047,880,828,1705,977,956,1934,5376,5311,10689,192,225,416,122,225,339,659,354,1010,458,884,1346,19,15,32,1444,1708,3154,1137,1471,2607,408,641,1055,253,293,542,625,1211,1831,13,12,27,2430,3628,6063,114,150,262,246,489,737,3,16,17,364,653,1016,5031,5475,10510,23319,24957,48280
10202,1715,1548,3267,5241,4719,9957,1191,1251,2444,607,555,1161,7038,6524,13562,3546,3351,6896,991,1046,2035,496,557,1051,5022,4948,9974,162,236,400,93,246,335,652,409,1055,442,853,1296,12,14,31,1364,1750,3114,729,983,1710,249,522,770,185,231,418,375,916,1291,8,16,27,1541,2671,4211,94,171,268,191,463,654,4,7,14,295,645,941,5196,5828,11023,22164,23922,46089
10301,441,404,842,1316,1170,2479,665,664,1328,120,117,237,2099,1948,4044,957,802,1762,425,540,964,307,232,539,1694,1573,3269,54,79,127,34,81,120,166,123,288,149,288,439,4,9,12,407,580,982,457,694,1154,121,141,261,65,96,158,192,379,574,0,0,4,839,1313,2153,25,29,61,53,115,162,0,3,3,82,143,228,2842,1944,4784,8399,7907,16312
10302,512,520,1033,1739,1686,3430,595,577,1177,101,89,187,2436,2357,4792,1137,1159,2290,405,419,824,115,120,234,1651,1693,3349,30,49,79,18,60,75,178,150,325,115,332,447,3,8,16,346,597,940,95,177,272,22,69,88,24,63,85,91,208,301,0,9,7,236,518,755,10,34,39,37,111,146,3,4,4,55,142,197,2824,2926,5755,8064,8752,16817
10303,384,379,761,1442,1318,2760,408,444,853,34,35,71,1882,1798,3683,1040,901,1945,264,253,518,65,51,109,1370,1204,2572,39,63,102,23,59,86,187,151,335,137,301,440,9,6,22,396,585,983,54,132,186,36,79,117,30,41,73,97,245,341,0,0,0,224,497,716,16,32,48,57,80,136,0,5,4,75,111,181,3052,2610,5665,7381,7179,14560
