SA3_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
10102,39,221,1111,5466,6160,1445,347,284,15085,0,127,796,556,51,8,0,51,1581,5,81,565,509,46,3,0,35,1238,5,209,1362,1064,98,9,3,86,2821,20,413,416,59,9,0,3,26,945,3,128,322,17,3,0,0,11,490,0,212,659,43,0,0,3,18,933,0,8,3,3,0,0,0,0,8,29,760,1397,118,10,3,3,57,2374,5,25,27,18,6,3,0,8,100,3,6,16,17,11,3,5,9,81,82,1226,3916,6681,6285,1466,363,438,20459
10103,28,143,819,2934,1611,362,104,146,6145,0,29,77,45,6,0,0,12,172,0,21,53,79,9,3,0,7,177,0,50,128,125,19,3,4,22,342,3,66,147,58,9,0,0,44,332,0,14,18,11,4,0,0,0,50,0,14,3,3,7,0,0,0,27,0,0,0,0,0,0,0,0,4,8,89,169,77,26,0,0,51,414,10,33,30,13,14,0,0,10,111,5,35,49,43,24,3,38,45,240,48,358,1184,3188,1689,373,152,268,7259
10104,79,550,3280,11237,6331,1153,248,573,23444,18,140,819,508,30,3,0,71,1585,3,79,398,380,45,4,4,35,944,21,221,1215,885,74,6,7,106,2530,14,215,765,315,20,5,8,67,1409,0,14,44,9,3,0,0,3,77,0,0,19,4,0,0,0,0,29,0,0,3,3,0,0,0,0,11,17,228,826,339,26,7,8,78,1516,49,171,226,83,15,0,4,33,585,10,16,69,70,36,10,7,14,234,170,1180,5610,12619,6483,1174,264,809,28317
10105,34,204,1367,5332,3633,648,172,273,11671,3,111,338,257,32,9,3,40,796,0,3,73,41,9,3,3,5,134,3,114,408,299,40,9,5,49,921,0,74,183,14,3,0,0,8,288,0,26,37,0,0,0,0,4,71,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,101,218,19,10,0,0,15,361,18,41,34,20,12,3,3,20,138,0,11,13,27,13,3,4,8,77,63,467,2045,5697,3706,663,181,356,13180
10106,44,211,1317,4983,3981,974,241,272,12015,7,60,279,140,9,3,0,27,524,0,0,5,3,3,0,0,4,20,4,64,282,146,16,3,0,31,540,3,34,204,63,0,3,6,15,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,206,63,0,3,6,15,330,12,29,21,26,11,4,8,3,102,4,4,30,31,21,4,3,10,106,66,342,1857,5236,4022,986,258,331,13102
10201,82,770,5521,19580,15554,4005,844,921,47268,14,255,2676,2404,67,11,7,239,5677,18,274,956,1908,179,10,5,91,3436,23,529,3630,4312,248,20,15,336,9110,70,582,1703,1095,121,15,8,178,3770,4,59,665,286,13,3,0,38,1073,0,61,573,272,9,0,0,15,937,6,14,15,8,6,0,0,0,45,79,721,2952,1661,152,20,9,234,5827,26,200,257,125,46,8,0,29,690,9,61,76,49,39,6,3,54,297,226,2277,12440,25718,16041,4060,877,1570,63202
10202,72,748,5845,20235,16109,3056,634,1088,47797,15,327,1760,1309,74,16,13,196,3702,6,200,566,1194,155,15,4,76,2213,22,530,2320,2503,228,27,16,268,5913,7,321,1232,532,45,7,7,135,2287,0,41,326,58,3,0,0,14,442,9,68,464,110,3,0,0,18,668,0,7,9,3,3,0,3,0,27,15,439,2028,707,50,9,5,171,3429,36,142,154,58,18,0,3,43,455,11,43,54,52,16,3,0,77,249,158,1899,10408,23552,16423,3090,664,1653,57847
10301,29,181,1188,5844,5086,1064,229,287,13904,5,97,631,329,40,4,0,37,1141,6,74,92,115,24,6,0,9,327,12,177,720,449,64,6,3,44,1468,16,137,362,56,8,0,6,27,612,0,6,13,0,0,0,0,3,19,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,16,141,368,63,8,0,6,27,632,4,12,24,7,7,0,3,0,51,0,68,23,52,19,7,0,47,222,61,575,2328,6405,5180,1078,238,409,16280
10302,37,312,2473,8735,5469,976,226,579,18811,0,26,286,112,33,6,3,25,496,0,16,6,6,0,0,0,0,28,3,45,290,121,33,6,3,28,518,24,201,452,49,6,0,3,53,795,0,3,12,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,208,469,49,6,3,3,59,816,22,45,55,33,14,3,5,22,199,3,17,54,85,37,13,8,19,235,93,620,3333,9024,5562,1000,240,699,20578
10303,40,320,2409,6965,4199,748,179,385,15247,13,111,381,208,6,3,4,52,777,4,24,38,28,3,0,0,6,103,13,133,422,236,9,3,4,58,879,6,72,162,66,6,3,0,24,338,0,9,10,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,78,178,70,6,3,0,27,365,14,60,66,187,99,11,0,32,481,4,15,31,54,30,4,4,10,150,86,596,3106,7510,4348,773,193,516,17128
