SA3_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
10102,433,356,188,130,169,94,36,1396,198,232,136,98,134,63,22,877,241,259,133,97,110,36,27,902,2083,2150,1255,795,1168,326,120,7892,12,17,5,12,7,0,0,50,2959,3019,1723,1115,1584,513,205,11117,24,27,21,18,27,13,8,138,31,58,30,21,21,7,6,184,23,31,17,12,14,11,5,112,345,442,235,175,235,62,20,1523,24,10,12,10,3,0,6,66,451,571,315,235,298,99,48,2014,3409,3597,2036,1352,1885,606,257,13136
10103,16,36,25,12,19,4,3,111,30,58,42,14,25,3,0,176,42,61,45,17,29,9,3,209,621,767,420,231,320,45,13,2404,3,6,5,3,0,0,0,23,719,923,535,274,399,65,18,2923,7,11,3,0,3,3,0,33,14,10,11,15,12,0,0,58,6,10,18,8,8,0,0,53,92,141,103,72,88,17,8,510,3,4,4,3,0,0,0,15,119,176,142,99,114,21,8,672,836,1102,676,373,511,84,23,3594
10104,73,80,50,39,60,9,0,320,103,154,97,77,99,11,0,537,160,145,79,54,79,14,0,536,1781,2147,1292,829,987,156,18,7211,19,17,15,6,3,0,0,62,2129,2545,1533,1001,1232,196,27,8662,7,14,19,8,19,6,0,73,19,59,40,44,52,5,0,226,23,39,31,31,32,9,0,160,492,780,472,341,407,69,10,2567,22,26,17,11,20,0,0,99,564,924,586,435,521,87,9,3123,2691,3467,2114,1435,1752,287,36,11786
10105,105,92,45,21,48,8,7,324,57,70,46,44,32,6,3,254,83,101,49,35,29,9,3,303,1245,1303,817,449,605,100,36,4553,7,7,6,0,5,4,0,28,1501,1563,958,550,717,125,47,5466,4,10,5,5,9,0,0,48,15,26,12,15,14,0,3,82,10,13,8,6,7,0,0,49,331,412,246,166,224,26,14,1414,14,17,12,4,0,0,0,51,378,478,291,194,261,29,13,1641,1880,2041,1245,741,976,154,62,7108
10106,56,64,45,24,37,8,0,239,90,91,65,39,46,6,0,339,95,108,56,43,40,10,5,367,1457,1670,953,566,747,167,60,5612,13,15,6,4,4,0,0,45,1706,1949,1125,674,879,191,63,6593,8,11,9,6,7,3,0,50,26,37,29,12,24,3,0,136,9,17,15,5,13,0,0,61,265,373,234,172,203,31,10,1291,19,14,12,0,4,0,0,48,329,448,295,201,257,43,9,1583,2032,2398,1420,874,1142,237,79,8181
10201,910,987,527,345,460,238,108,3571,794,903,517,303,406,179,88,3198,770,744,409,239,301,140,68,2672,5167,5273,3096,1890,2619,940,453,19440,43,52,27,19,18,3,3,163,7680,7959,4585,2797,3810,1504,713,29040,46,108,91,76,104,48,26,493,156,213,159,114,158,59,25,880,74,156,102,76,121,34,19,587,979,1425,909,667,907,250,135,5278,51,58,39,22,22,3,0,199,1302,1953,1305,951,1319,391,205,7434,8980,9908,5885,3751,5132,1901,921,36475
10202,377,449,281,191,224,92,52,1667,547,603,332,230,303,92,34,2146,443,536,290,186,242,76,33,1801,5521,5573,3173,2015,2456,780,327,19834,33,36,30,19,23,3,0,153,6927,7194,4114,2643,3246,1034,443,25602,24,84,60,42,62,20,12,320,169,248,155,105,139,42,10,867,88,133,103,64,83,17,8,497,1688,2099,1355,869,1115,268,97,7482,85,71,46,17,33,6,0,259,2053,2634,1718,1097,1438,353,128,9428,8974,9829,5833,3740,4684,1386,576,35023
10301,104,119,66,50,70,25,7,434,87,108,79,39,51,18,9,388,108,121,62,51,62,16,6,423,1757,1888,1073,692,914,186,60,6574,8,6,8,3,3,0,0,38,2070,2240,1286,843,1105,239,74,7860,8,13,13,10,13,3,0,62,23,43,16,20,34,6,4,141,14,21,19,14,19,4,0,86,467,564,364,241,280,78,16,2014,30,33,16,3,13,0,0,85,539,670,419,282,355,91,24,2382,2608,2915,1706,1123,1459,330,95,10247
10302,110,93,46,20,32,9,0,307,58,78,37,21,20,6,0,224,54,86,41,33,42,3,0,262,2186,2386,1318,814,898,147,29,7775,16,17,9,9,12,3,0,67,2418,2658,1456,895,1005,171,34,8634,3,6,8,0,4,0,0,26,20,25,16,12,18,0,3,97,8,6,7,5,5,0,0,31,589,739,450,285,369,45,11,2486,25,29,23,15,11,0,0,107,645,810,502,320,408,48,14,2752,3064,3470,1954,1220,1414,220,51,11389
10303,69,53,49,26,31,8,0,242,63,114,51,30,42,3,0,302,97,85,53,33,42,6,0,321,1830,1828,966,614,758,135,31,6161,10,25,18,6,12,0,0,76,2069,2101,1138,716,873,156,34,7100,6,6,9,7,13,0,0,37,17,21,19,9,29,0,0,93,13,15,10,16,27,4,0,85,466,544,310,220,267,42,9,1853,27,24,10,15,3,0,0,80,526,608,354,263,335,52,7,2147,2601,2712,1493,980,1214,206,40,9244
