SA3_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
10304,281,3,0,0,0,286,116,0,3,0,0,122,134,0,0,0,0,138,311,7,3,0,0,321,462,14,4,0,3,485,1229,36,12,0,3,1272,1375,28,7,0,5,1414,1404,5,0,0,7,1418,570,3,0,3,0,581,431,0,0,3,0,437,246,0,0,0,0,249,279,7,0,0,4,294,6837,105,36,10,20,7004
10401,280,8,8,0,0,309,192,4,3,3,0,206,198,3,0,3,0,209,313,3,4,9,0,334,484,4,3,3,0,496,1177,22,18,7,4,1235,987,20,7,7,9,1032,702,11,6,5,3,723,219,0,3,0,0,224,132,6,3,0,0,143,78,0,0,3,3,85,226,3,3,4,0,233,4989,90,60,63,26,5228
10402,454,27,16,0,3,503,236,22,9,0,0,268,208,19,5,0,3,238,364,33,32,3,4,432,521,39,38,0,4,600,1337,127,80,5,9,1559,1683,71,43,3,7,1812,1831,81,33,8,17,1959,665,24,3,0,3,693,419,23,3,0,4,453,210,3,5,0,3,222,323,19,12,0,0,361,8250,481,274,28,59,9091
10501,197,0,0,3,5,204,93,0,0,0,0,93,91,0,0,0,0,90,169,0,0,3,0,174,200,0,0,0,3,213,303,0,0,7,4,309,199,0,0,0,4,202,140,0,0,0,3,147,31,0,0,0,0,31,50,0,0,0,0,53,54,0,0,0,0,57,97,0,0,0,3,103,1628,3,9,18,24,1676
10502,166,3,0,0,3,172,170,0,0,0,0,172,155,0,0,0,3,161,298,3,0,0,0,301,305,3,0,3,0,308,487,0,0,0,0,491,237,3,0,0,0,238,143,0,0,0,0,142,40,0,0,0,0,43,27,0,0,0,0,27,29,0,0,0,0,29,126,0,0,0,0,126,2185,18,0,4,7,2219
10503,401,3,3,14,3,425,230,5,3,5,0,249,219,10,3,3,0,234,437,6,7,18,3,473,637,9,9,10,3,666,1635,31,11,20,11,1700,1427,22,11,13,6,1484,1205,4,0,13,4,1228,409,3,0,3,3,420,272,0,0,3,0,278,167,0,0,3,0,172,379,10,6,3,5,401,7423,102,54,106,39,7725
10601,421,3,3,0,3,432,240,0,0,0,0,240,226,3,0,0,0,235,410,6,0,0,0,415,599,10,8,3,5,629,2001,53,12,5,4,2077,2157,41,10,4,10,2226,2196,28,3,3,10,2242,934,3,0,3,0,945,744,6,0,0,3,752,331,0,0,0,5,338,466,4,0,0,3,481,10741,158,39,29,46,11012
10602,327,12,0,3,0,340,186,13,4,0,0,201,147,3,0,0,0,150,292,9,0,0,6,309,450,26,3,0,0,484,1415,65,6,3,3,1493,1985,67,4,7,0,2060,2651,39,0,4,3,2689,1065,3,0,0,9,1073,622,3,3,3,0,633,277,0,0,0,0,283,341,4,0,0,3,354,9751,246,29,17,27,10070
10603,339,31,7,7,3,386,179,16,3,3,0,197,149,28,4,0,0,180,278,23,9,4,0,311,382,41,9,0,0,431,1147,119,17,6,3,1297,1432,106,16,6,3,1560,1702,75,17,3,7,1801,678,30,7,0,0,712,506,14,3,3,0,521,236,11,7,0,0,252,336,28,4,0,3,369,7361,516,88,39,21,8021
10604,129,0,0,0,0,135,62,0,0,0,0,67,71,0,0,0,0,70,136,0,0,0,0,136,197,3,3,0,0,210,584,13,8,3,0,597,647,9,0,0,3,657,707,3,5,3,4,720,312,3,0,0,0,316,254,0,0,0,0,253,109,0,0,0,4,112,170,0,0,0,5,173,3368,37,20,7,16,3444
