SED_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
SED23502,0,8,0,0,0,0,6,78,4,74,58,10,9,5,0,5,0,3,0,0,0,0,14,175,0,3,0,0,3,3,3,0,0,0,0,0,0,3,0,15,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,8,14,0,0,3,13,3,0,3,57,0,29,18,6,3,0,0,0,0,0,0,0,0,0,0,61,0,146,182,25,16,9,3,6,0,0,0,0,0,0,22,406,3,12,33,64,130,86,105,48,14,13,15,13,5,3,50,589,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,3,19,35,25,25,10,15,12,19,21,14,11,207,0,11,5,9,3,4,4,0,0,0,0,3,0,0,4,48,0,0,0,6,0,0,0,3,0,3,0,0,3,0,0,24
SED23602,7,3,3,0,4,0,7,111,4,96,94,48,8,3,0,0,0,0,0,3,3,0,25,288,0,0,0,3,0,0,7,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,5,3,0,3,5,3,0,3,24,0,0,3,4,3,0,0,0,0,0,0,0,0,0,9,17,0,0,9,13,17,7,13,12,3,3,5,3,4,9,14,107,0,16,10,3,0,0,0,0,0,0,0,0,0,0,5,37,0,151,191,37,29,19,3,8,3,7,3,0,0,0,10,459,8,8,26,71,144,100,127,105,9,21,18,4,18,3,53,710,0,0,0,0,0,0,4,6,3,7,0,0,4,0,0,23,0,0,0,0,29,45,16,31,23,11,17,9,29,9,24,247,0,9,4,9,12,16,0,0,0,0,0,0,0,0,5,56,0,0,0,0,0,3,5,10,0,0,0,0,3,0,9,24
SED23702,5,5,9,0,0,0,3,182,0,59,97,54,6,5,13,8,0,0,0,0,0,0,10,250,0,0,0,0,0,0,7,4,0,4,0,0,0,4,0,27,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,6,0,0,0,12,12,13,5,0,0,0,0,0,0,0,3,48,0,0,9,3,20,16,11,7,5,0,0,4,0,0,0,79,0,20,22,12,3,0,0,0,0,0,0,0,0,0,0,60,0,149,151,58,40,10,10,3,0,0,0,0,0,0,16,438,0,3,27,90,219,188,212,93,28,15,16,12,7,6,30,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,19,39,37,42,13,15,9,31,19,12,12,259,0,11,16,5,26,16,6,3,0,0,0,0,0,0,0,82,0,3,0,11,4,4,9,5,0,0,0,0,0,0,0,37
SED23806,23,19,8,6,3,3,4,223,6,130,170,47,17,10,10,9,4,9,13,7,13,4,18,464,0,0,0,4,13,30,40,23,13,10,4,9,13,3,6,161,0,0,0,0,4,24,76,78,13,13,17,15,7,20,9,280,0,0,7,12,3,9,0,3,0,0,0,0,0,0,0,39,7,4,25,84,222,216,137,111,20,39,35,52,49,81,36,1113,0,13,10,7,0,0,0,0,0,0,0,0,0,0,0,41,0,26,23,9,8,6,15,10,3,0,0,4,5,0,5,118,4,17,32,91,132,141,254,163,52,80,56,50,58,29,32,1186,0,0,0,3,0,11,5,20,4,12,5,4,23,6,3,95,0,0,0,4,30,47,27,26,9,10,23,14,27,23,12,244,0,23,22,8,25,24,10,5,0,0,0,0,4,0,3,131,0,0,4,21,53,48,77,50,13,11,4,11,26,21,4,350
SED23901,16,9,3,0,0,0,6,217,17,408,524,190,46,15,19,3,8,4,7,3,5,0,48,1310,0,0,0,5,9,23,46,27,3,3,3,3,5,8,6,153,0,0,0,0,3,13,33,50,9,0,6,10,5,0,4,137,0,5,23,62,67,61,18,7,4,0,0,0,0,3,15,262,0,3,9,43,118,135,136,82,22,23,29,11,29,9,10,649,0,33,40,7,4,0,0,0,0,0,0,0,0,0,0,92,0,34,27,9,16,3,15,16,3,0,8,0,0,0,3,123,0,8,17,49,107,139,182,120,43,32,20,9,14,35,28,807,0,0,0,3,3,10,20,40,0,13,10,7,18,6,5,130,0,0,3,10,42,60,57,57,10,17,10,13,15,11,18,332,3,14,13,11,45,41,12,8,3,0,0,0,0,3,6,160,0,0,7,15,16,21,64,39,3,11,4,7,4,4,0,193
SED24006,8,16,3,4,0,0,5,168,16,259,334,92,19,3,17,8,3,7,4,8,5,0,27,798,0,0,6,5,11,29,46,20,6,0,3,6,5,5,9,159,0,0,0,3,19,30,88,58,22,12,13,10,15,16,4,287,0,0,9,25,14,9,0,4,0,0,0,0,0,0,0,65,3,6,23,189,325,382,240,184,45,35,41,25,49,19,28,1592,0,15,19,3,0,0,0,0,0,0,0,0,0,0,3,37,0,34,28,5,16,6,21,11,0,0,0,3,0,0,0,121,8,17,25,64,111,115,205,107,24,33,24,29,26,9,29,839,0,0,0,9,3,23,8,7,6,4,3,0,8,0,8,89,0,0,5,8,27,28,20,30,7,10,16,9,5,3,11,188,11,35,24,17,23,22,4,4,0,0,0,3,0,3,4,152,3,0,11,34,36,81,101,56,23,4,12,15,12,11,7,420
SED24105,3,0,0,0,0,0,4,123,0,109,261,154,29,7,8,5,0,0,3,3,0,0,25,606,0,0,0,7,3,11,22,21,3,0,3,0,3,0,4,80,0,0,0,0,3,6,31,34,12,6,5,8,3,0,3,112,0,0,0,32,45,33,22,11,0,6,0,3,0,0,3,152,0,0,5,19,62,119,98,90,11,52,44,27,56,38,31,643,0,64,46,19,11,0,0,0,0,0,0,0,0,0,3,135,0,51,60,12,12,3,3,0,5,0,0,0,0,0,3,145,0,7,9,27,81,151,299,192,23,59,51,45,43,15,39,1041,0,0,0,3,22,18,33,63,16,33,37,23,40,17,5,308,0,0,0,4,77,246,171,132,28,27,48,38,46,7,20,846,0,5,23,25,93,60,21,3,0,0,0,0,0,0,10,245,0,0,3,6,11,20,57,33,3,9,14,3,4,3,5,169
SED24207,0,4,8,0,0,0,0,74,0,110,235,213,39,19,24,20,3,3,4,9,5,0,25,706,0,0,0,0,0,3,19,7,7,6,4,3,4,0,3,58,0,0,0,0,0,7,30,41,7,3,8,3,12,0,3,110,0,0,0,22,35,56,37,20,0,3,9,3,0,8,17,215,0,0,0,14,33,81,127,108,46,18,19,18,13,17,20,510,3,247,542,450,168,48,39,37,3,9,0,3,6,3,46,1616,0,19,17,9,11,4,3,8,3,4,0,0,0,0,0,83,0,0,4,15,75,169,351,374,118,143,113,112,75,66,112,1726,0,0,0,6,10,31,156,167,45,95,96,65,59,48,19,798,0,0,0,43,348,1132,997,951,130,147,101,100,145,67,86,4244,0,20,24,22,99,146,49,13,3,0,3,3,3,0,3,390,0,0,0,7,9,9,60,34,4,3,0,3,8,9,3,155
SED24308,3,11,0,0,0,0,8,120,0,141,232,94,20,4,17,3,0,3,3,0,0,4,40,568,0,3,0,0,0,3,6,0,3,3,0,0,0,3,3,19,0,0,0,0,0,10,8,11,0,7,0,0,0,3,0,35,0,0,0,6,5,3,3,3,0,0,0,0,0,3,17,48,0,0,3,10,11,17,19,10,0,3,3,5,3,5,11,98,0,30,30,21,6,0,0,0,0,0,0,0,0,0,4,101,0,201,157,22,23,9,4,0,0,0,0,0,0,0,26,440,0,3,5,46,90,105,141,90,23,15,11,9,9,3,58,605,0,0,0,0,3,3,3,40,9,24,77,16,35,9,15,232,0,0,0,5,45,105,191,161,20,25,19,25,17,16,26,653,0,38,55,17,57,33,11,4,0,3,0,0,0,0,22,237,0,0,3,5,8,8,29,20,0,0,0,4,0,0,3,88
SED24408,0,9,3,3,0,0,0,50,3,24,35,7,7,0,0,0,0,0,0,0,0,0,11,83,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,0,3,3,8,0,0,0,0,0,3,3,29,0,3,8,4,0,0,0,0,0,0,0,0,0,0,0,21,0,71,72,15,5,3,10,8,0,0,0,0,0,0,10,193,0,4,8,43,79,67,119,79,8,11,20,15,5,4,21,489,0,0,0,0,0,0,3,7,0,4,3,0,0,0,0,17,0,0,0,0,12,19,23,62,5,18,5,14,26,21,12,221,0,5,4,0,8,0,0,3,0,0,0,0,0,0,0,29,0,0,0,3,0,0,4,0,0,0,0,0,0,0,4,18
