SED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED52304,6,19,104,158,214,295,348,336,143,1621,3,18,85,118,128,139,79,65,22,658,124,152,351,368,368,279,270,239,149,2301,1583,3050,7193,7470,6427,4514,3232,1612,586,35657
SED52402,16,27,118,132,146,220,256,302,145,1357,3,25,77,99,78,57,49,39,15,443,132,196,466,403,359,370,324,304,176,2718,1257,2780,6322,5663,5175,4798,3523,1984,684,32189
SED52504,9,0,5,10,19,49,136,134,63,426,0,0,0,10,3,6,7,11,3,40,79,85,176,197,205,236,226,113,61,1377,977,1999,3315,4349,5071,4938,3659,1307,482,26091
SED52605,8,14,15,34,50,105,165,187,80,660,0,4,18,23,15,21,20,19,14,145,108,123,281,269,256,236,181,145,97,1706,1262,2777,5558,6102,5611,4792,2684,1146,458,30395
SED52704,9,4,19,27,39,67,124,165,104,559,0,7,12,11,15,9,9,3,6,81,98,153,324,301,237,287,219,172,83,1873,1243,2889,5923,4915,5102,4602,2716,1234,497,29116
SED52802,6,17,60,84,79,109,219,240,107,925,3,9,34,50,57,42,30,23,14,268,115,125,209,272,287,335,303,325,232,2211,1133,1967,3606,4531,5210,4619,4050,2132,797,28048
SED52903,31,41,78,62,68,53,33,15,6,389,0,0,0,3,3,8,7,4,0,32,63,91,264,184,179,106,57,18,5,972,192,340,1053,719,702,488,201,58,15,3769
SED53003,58,52,101,130,185,253,215,89,31,1108,12,16,37,29,52,82,85,62,23,394,308,388,1045,860,747,571,315,100,36,4380,1250,2272,6090,5114,4551,3750,1576,461,121,25184
SED53104,0,3,13,15,21,82,146,193,117,599,0,5,6,3,4,5,6,11,10,56,62,52,147,167,198,194,181,197,160,1359,968,1851,3499,4460,4867,5019,3359,1466,768,26267
SED53205,13,17,56,101,124,237,357,252,119,1274,7,3,31,34,33,29,23,16,7,182,283,560,1368,1017,761,586,498,346,120,5537,2071,4771,12119,9551,7919,5657,3649,1802,542,48093
SED53306,16,14,33,69,80,182,402,522,259,1573,0,9,9,12,20,19,18,19,8,116,132,189,391,360,437,435,468,538,278,3223,1331,2485,5201,4810,5349,4929,4430,3216,1249,33000
SED53402,3,11,36,63,81,132,227,316,239,1107,0,14,34,21,41,45,47,44,28,273,82,193,592,435,375,367,339,376,347,3099,893,2587,8204,6672,5295,4415,2861,1703,989,33623
SED53502,4,7,35,64,108,182,333,417,199,1343,6,6,12,15,18,31,19,33,19,160,138,215,445,392,505,435,449,383,285,3248,1207,2779,5509,5222,5753,4841,3611,1958,831,31701
