SED_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED10001,942,500,2118,12948,16609,8046,6295,13191,6760,63838
SED10002,662,183,1176,17067,15546,6394,6380,30121,9006,84507
SED10003,964,623,2442,12441,16921,8263,5853,10276,7311,61065
SED10004,461,159,968,20659,19865,6138,3378,13348,7038,70420
SED10005,989,221,1788,12542,12280,5696,5907,23924,6341,66687
SED10006,895,465,1939,10191,14143,7119,6765,14891,9075,62184
SED10007,743,385,1758,11999,16119,7947,6717,12163,8499,63447
SED10008,482,151,1046,15707,17414,8442,6459,12713,2302,63044
SED10009,988,565,2382,9844,15834,9143,7073,10974,6672,59543
SED10010,619,221,1264,14630,16149,6833,6428,20819,4827,69680
SED10011,765,197,1545,12841,17958,8432,6140,9285,3662,58322
SED10012,951,122,1407,13061,11848,5524,5472,26122,4389,66428
SED10013,599,268,1199,16134,18163,8030,6345,14180,4588,67436
SED10014,348,191,799,13187,14694,6520,5851,16446,5241,61936
SED10015,998,175,1857,16118,15967,6973,5757,22403,5400,72622
SED10016,473,104,974,15848,16976,8114,6036,12533,2636,62144
SED10017,687,316,1424,11270,15183,7484,6923,13398,6258,60520
SED10018,840,381,2032,12760,16579,7958,5859,11385,3641,58181
SED10019,1087,406,2258,10021,14971,8245,7716,12881,6996,60827
SED10020,762,610,2070,11585,16085,7931,6131,11856,6001,59595
SED10021,921,452,2009,21427,18391,5844,3529,13143,7545,69886
SED10022,999,491,2270,10079,13388,7413,7039,12434,7854,58213
SED10023,768,226,1893,15767,16923,7336,5004,11264,3816,60112
SED10024,993,388,2461,15637,17418,8949,5835,11198,2928,61968
SED10025,1035,216,1946,17075,17437,6891,4864,16073,4614,66955
SED10026,794,295,1650,11509,15501,7528,6291,12211,7524,60563
SED10027,1066,292,2125,13595,14357,6727,5663,17544,4067,61955
SED10028,1087,637,2749,16047,17508,8705,6114,14309,2919,65597
SED10029,1038,200,1726,12543,12005,5432,5511,28669,5326,69487
SED10030,1038,577,2479,13210,16387,7391,5973,12848,5693,61505
SED10031,628,501,1755,11943,16842,8424,6658,10981,6901,61744
SED10032,729,198,1391,14150,14222,6354,6322,25047,5834,71932
SED10033,523,199,1128,13510,15847,7537,6255,11315,4715,59170
SED10034,945,165,1606,14899,17807,8230,5552,11441,2840,60767
SED10035,469,161,1064,26530,21479,5971,3854,26698,8071,92602
SED10036,727,168,1211,14302,15130,6633,5855,18664,4578,65161
SED10037,572,192,1397,15400,18522,8778,6124,11414,2943,63185
SED10038,1034,279,2162,14450,17688,8407,6070,12926,3776,63315
SED10039,814,501,2044,11830,15724,8217,6243,10841,5660,58513
SED10040,1070,444,2176,16970,16897,7329,5699,25274,5045,77202
SED10041,1203,497,2887,16006,17838,8612,6151,12203,3381,64187
SED10042,1029,497,2273,11820,15732,8231,6358,12624,4154,58914
SED10043,853,256,1668,13309,12905,5834,6751,25949,6197,70941
SED10044,1259,273,2405,18014,18790,7721,4919,13266,4145,66850
SED10045,854,544,2065,11423,16106,8501,6993,10813,7132,60968
SED10046,439,125,801,13590,13048,5543,5742,25133,7617,70672
SED10047,363,186,820,14081,16162,7088,6663,19237,7967,71191
SED10048,387,298,941,14360,16333,7117,6477,18271,5140,67692
SED10049,567,258,1271,12710,16337,8024,6583,12397,4241,60289
SED10050,528,344,1583,18812,18250,6966,4572,10829,4974,64405
SED10051,873,431,2026,16074,16221,6527,4553,16809,7549,67729
SED10052,1373,298,2520,14664,16260,7311,5359,13339,3237,60172
SED10053,485,232,1139,14089,18104,7620,5234,10437,6149,61638
SED10054,633,94,933,13596,14257,6097,6313,22448,5039,67753
SED10055,240,84,506,15031,16195,6950,5863,15550,3935,63519
SED10056,956,567,2187,12520,15949,7989,6740,14914,8793,66906
SED10057,1176,734,2812,9783,14648,8520,7278,13107,6437,59773
SED10058,563,578,1790,15776,17545,6812,4270,11125,5492,61027
SED10059,375,159,784,24975,19044,4617,2271,16575,9054,76543
SED10060,699,308,1732,20874,19367,6182,3610,10825,5920,66774
SED10061,781,362,1786,12058,16140,7826,6597,13557,7876,64047
SED10062,1110,315,2269,14999,15733,7404,5451,15559,3638,62773
SED10063,946,376,1919,12117,15978,7666,6414,13024,6364,61566
SED10064,1017,564,2285,9755,14632,8519,7467,12237,7546,60162
SED10065,845,272,1620,18634,19595,8115,6862,23685,6927,83812
SED10066,784,165,1389,14213,16816,7280,5891,13879,4764,62846
SED10067,1166,553,2602,14716,17106,7694,4882,10068,4114,58589
SED10068,1284,547,2785,11155,16497,8675,6674,12666,5843,61524
SED10069,845,369,1840,10761,15263,8263,6634,12066,5825,58816
SED10070,833,244,1437,13221,14393,6650,5952,20496,4507,65220
SED10071,259,57,475,16194,18521,7856,6220,14630,4275,67699
SED10072,988,428,2111,16836,16613,6392,5019,21750,6120,72732
SED10073,1006,315,2181,19212,19474,8310,6052,21083,4334,78469
SED10074,853,219,1637,14637,17419,8024,6414,16419,4410,67319
SED10075,723,296,1582,13412,16675,8469,6917,15024,4764,65263
SED10076,937,623,2298,9910,14877,8164,6807,12196,6227,58179
SED10077,1059,209,1985,19066,17388,7268,5491,25290,5994,80499
SED10078,1087,220,1880,18619,18312,6462,4126,16194,5526,69245
SED10079,720,479,1930,11699,15514,7994,6298,12999,4399,58910
SED10080,484,366,1212,27010,18929,4490,2473,24428,15008,92326
SED10081,880,415,1901,11687,15709,7970,6625,12516,6980,61489
SED10082,996,449,2383,13365,16823,8363,5935,11091,3922,59499
SED10083,1047,627,2489,12719,15726,7511,5879,12626,4915,59384
SED10084,1423,738,3070,12348,16256,8155,6073,14300,6481,63611
SED10085,657,301,1452,11210,15522,7813,7395,11679,6503,60124
SED10086,791,357,1968,20976,16338,5539,3521,13232,7344,66945
SED10087,832,369,1818,12899,16421,7557,6002,12609,5648,61134
SED10088,819,403,2072,16362,17682,7577,4868,12797,4009,63300
SED10089,800,702,2234,15082,17767,8035,5967,14804,4489,66150
SED10090,901,257,1910,18635,19063,7747,5113,14010,4188,68762
SED10091,656,373,1600,12748,16190,8121,6682,10817,4991,59534
SED10092,1079,440,2265,15749,17242,7402,5685,17716,6335,70133
SED10093,983,647,2202,12438,15110,7398,6461,14407,5923,61729
SED19494,41,26,78,1976,1606,620,412,3500,3428,11545
SED19797,5,0,10,23,36,19,40,163,93,374
SED20106,399,158,884,20817,17740,4749,2734,13723,8501,68259
SED20207,481,138,905,16135,18258,7853,6615,16882,4730,70471
SED20302,784,353,1699,11763,15045,7250,5981,12134,5392,57563
SED20401,720,371,1474,12664,13644,5921,4446,10731,3570,50973
SED20508,774,299,1731,10166,13443,6929,5160,8922,3866,48485
SED20604,659,231,1369,10603,14411,6758,5269,10024,4769,51834
SED20704,650,378,1570,11404,14052,6519,5291,9438,4635,51349
SED20804,660,411,1609,9712,13288,6339,5070,9517,5662,49596
SED20906,833,247,1873,12586,13697,5633,3801,10038,3028,48784
SED21001,1059,452,2527,14769,15251,6754,4468,13241,3361,57846
SED21106,910,322,1952,14705,14166,5815,3634,9134,3984,51431
SED21203,704,159,1242,9876,9537,4394,4750,21992,5891,56445
SED21303,622,339,1473,19332,17963,5305,3178,11486,4748,62016
SED21401,1059,324,2171,12214,12777,6338,4719,13193,3162,52398
SED21503,488,273,1204,12247,12651,5421,4106,13460,3614,51496
SED21608,475,202,1043,9847,12802,6111,5261,9283,4468,47771
SED21706,975,299,2020,14280,14511,6211,3960,12689,3421,55066
SED21805,546,377,1300,13107,14803,5924,4299,11864,4912,54917
SED21906,1038,285,1968,15870,14846,5333,3099,11282,3914,54354
SED22005,1069,369,2116,13848,13788,5701,4568,19746,4438,62092
SED22105,448,210,920,16164,17765,7427,6509,18936,5623,72425
SED22201,751,262,1545,11983,13501,5754,4130,9778,3026,48174
SED22305,687,254,1363,11421,11581,5094,4809,21753,6111,60771
SED22404,537,191,1127,9589,12829,6507,5351,8436,5006,47717
SED22501,457,150,949,12105,13886,6729,4403,8406,2271,47805
SED22607,717,193,1457,15366,15036,5578,3799,11527,4536,55839
SED22704,731,371,1706,9897,13209,6771,6074,11039,6418,53409
SED22802,347,179,851,11518,12603,5748,4492,9035,2897,46292
SED22901,862,231,1579,11710,12736,5609,4232,11166,2457,47914
SED23007,702,238,1342,16195,15675,5563,4477,20367,6414,68684
SED23101,880,318,1865,11856,12750,6267,4516,11543,2496,49431
SED23205,863,292,1696,11481,13196,5649,4329,11127,4797,50587
SED23308,916,348,1966,12539,14204,6223,4420,10777,4323,52486
SED23402,500,183,1104,12998,14912,6719,5067,10470,3738,53900
SED23502,703,458,1701,8515,12253,6979,6194,9544,5913,49403
SED23602,679,310,1529,8530,11741,6514,5549,8731,5888,46948
SED23702,399,183,911,12757,14629,6728,5332,11684,4303,55432
SED23806,616,195,1424,16287,15473,5878,3677,10141,3453,54912
SED23901,845,431,2014,12942,14723,6314,4445,10317,3900,52645
SED24006,866,236,2018,14175,13665,6237,4347,10574,3221,52229
SED24105,693,200,1267,12281,12339,5344,4315,18924,3756,56953
SED24207,283,83,539,13130,13626,5741,5463,20015,6341,64320
SED24308,676,408,1545,10623,12394,5795,5085,13329,6059,53287
SED24408,881,441,2067,8939,11740,6343,5480,9507,4673,46690
SED24504,494,254,1118,9493,13247,6662,5336,7331,4406,46479
SED24606,764,258,1697,14276,13354,5128,3428,9950,3359,49492
SED24703,386,140,807,31043,22882,5360,3052,32424,12460,107222
SED24808,469,137,849,12800,14641,6606,6115,15127,5220,60511
SED24904,787,413,1752,9581,12293,6139,5128,11777,6479,51397
SED25003,657,94,892,11990,12742,5422,4769,16203,3396,54525
SED25102,459,117,880,11173,13721,6431,4399,7629,2749,46096
SED25205,729,339,1644,13065,14539,5979,3951,9888,3494,50918
SED25302,973,265,1979,11231,13948,6909,4743,9493,3446,49765
SED25402,741,333,1546,9953,13244,6591,5717,11384,5632,52532
SED25501,703,252,1814,12297,13217,6447,4742,12246,2682,51632
SED25605,988,242,1692,11412,12166,5731,4437,14983,3441,52178
SED25704,925,460,2019,9733,12377,6408,5631,10748,6288,51193
SED25802,597,352,1472,10885,13848,7038,6314,10567,5467,54113
SED25905,680,111,1046,12182,12783,5554,4621,15144,3245,53525
SED26005,261,42,450,14131,14792,6291,5580,17352,3974,62117
SED26102,983,634,2493,9840,13257,6744,5068,10170,5244,50326
SED26207,707,300,1746,11582,12210,5754,4513,11789,3690,49537
SED26303,641,222,1328,15827,16103,5401,3264,9514,4283,54386
SED26406,797,287,1649,15934,15684,5642,3759,16327,3883,61228
SED26504,795,576,1957,8726,12089,6110,4964,9490,5637,47024
SED26603,1223,310,2413,14289,15826,6050,4674,15722,4983,61545
SED26708,745,307,1570,9493,12617,6573,5674,9303,4998,48665
SED26806,697,287,1420,23050,17178,4231,2307,12877,7718,67365
SED26903,906,430,2111,12859,13708,5296,4262,15288,5565,56979
SED27003,395,156,842,22554,17532,4443,2362,10680,7002,64577
SED27101,620,204,1428,12802,14262,6076,4308,10241,2829,50512
SED27208,866,423,1929,8983,12564,6764,6203,10984,6719,52214
SED27305,220,79,532,11529,11897,5423,3830,10088,2201,44961
SED27406,907,357,2162,12830,13868,5977,3658,8523,3193,48037
SED27504,777,384,1702,11026,13324,6451,5317,13194,6169,55486
SED27608,808,263,1635,13618,15569,7327,5331,9906,3610,55353
SED27708,783,345,1661,10230,13355,6649,5277,10390,5370,51264
SED27807,750,248,1401,12274,11940,5082,4852,21931,6370,62454
SED27907,481,165,980,11246,12987,5562,4484,11205,3872,49360
SED28007,349,161,654,13298,13864,5819,5119,16746,3828,58667
SED28107,178,63,390,14864,17219,7494,7000,19438,6038,72051
SED28203,502,147,1032,10674,10988,5064,4742,19014,4667,55153
SED28301,772,229,1523,12289,12790,6349,4697,10910,2558,49588
SED28408,750,239,1546,10261,12568,5741,4438,9876,3864,46743
SED28507,447,243,922,11959,13450,5819,5228,14219,4620,55292
SED28607,766,318,1659,15036,16664,6074,4330,11047,4298,57456
SED28704,291,72,558,14474,16584,7223,6053,11769,4220,60320
SED28803,277,72,439,13814,14403,6308,6103,22300,4285,67211
SED29494,22,12,38,1281,954,324,278,1969,2020,6825
SED29797,0,0,0,7,3,3,0,11,3,25
SED30001,206,118,499,12631,14865,6245,4983,9980,3864,52573
SED30002,457,93,715,10038,11490,4925,3624,9898,2285,42267
SED30003,261,122,719,10044,11584,4762,3088,5380,1997,36848
SED30004,615,200,1288,8947,10657,4857,3331,6653,1992,36427
SED30005,257,99,579,10515,14872,6162,4324,8022,4565,48463
SED30006,439,150,893,8926,12460,6260,5276,8265,4848,46037
SED30007,240,324,781,17734,13975,3534,2085,12803,7311,57447
SED30008,811,395,1719,9711,11061,4712,3485,10831,4788,44588
SED30009,553,249,1299,9257,11938,5562,3822,6950,2758,40291
SED30010,423,119,860,12224,12643,4387,3050,6879,3196,42388
SED30011,800,347,1620,6184,8683,4358,3951,8926,3775,35880
SED30012,250,99,503,13316,15393,6425,5278,12863,5041,58314
SED30013,334,202,830,7640,9718,4666,4097,8013,5725,39861
SED30014,569,254,1284,10573,11720,4653,3158,8553,3761,42425
SED30015,271,140,663,7039,10166,5673,5420,7760,3887,39946
SED30016,490,268,1034,10317,12169,4672,3623,11659,7164,49601
SED30017,427,191,883,6368,8803,4645,4788,7689,4924,37220
SED30018,754,294,1532,8652,11520,5708,4384,8432,3405,42111
SED30019,423,155,780,9236,11179,4696,3353,7641,2023,38132
SED30020,271,125,793,11046,12083,5130,3542,6893,2136,40824
SED30021,326,184,920,12690,12482,4422,2801,7795,3773,43966
SED30022,457,421,1372,10000,11725,5426,3664,7730,2839,41382
SED30023,391,203,873,9080,11687,5720,5215,8649,4199,44544
SED30024,218,149,566,8811,9416,4416,3688,7853,5612,39805
SED30025,480,222,994,12870,15342,6706,5331,12030,5599,57875
SED30026,719,234,1465,9239,10851,4828,3423,8295,3754,40394
SED30027,394,165,862,6589,9315,4770,4701,7187,5882,38446
SED30028,370,149,859,9511,11478,4750,3226,5952,1852,36772
SED30029,271,121,653,8739,11235,5401,3717,4994,1702,35785
SED30030,378,242,891,10643,12780,5565,4050,9439,3487,45966
SED30031,220,82,477,8830,11781,5225,5057,7822,3944,42661
SED30032,355,119,802,8797,12189,6312,5360,7565,4715,44946
SED30033,502,178,1070,10702,11637,4396,2735,6476,2568,38519
SED30034,161,72,363,6491,7971,3545,3505,5715,4504,31735
SED30035,351,295,1028,7195,10194,5755,5377,7470,4323,40324
SED30036,724,325,1517,7463,10743,5977,5133,10330,4556,44195
SED30037,350,164,820,7793,11190,5522,5125,7936,4514,42081
SED30038,221,153,592,9243,9946,4338,3624,11517,7327,45993
SED30039,255,116,794,12581,11615,4278,2703,8654,2481,42311
SED30040,448,153,995,8785,11002,4829,4003,8947,3429,40999
SED30041,377,113,756,8937,11173,5340,4674,8588,4203,42907
SED30042,318,215,742,9506,11958,5077,4054,7747,2878,41222
SED30043,771,277,1663,9744,11963,5513,4029,8841,3050,43138
SED30044,337,268,910,8546,11705,5849,4799,8154,4406,43461
SED30045,305,141,671,8887,11488,5357,4878,8517,4642,43772
SED30046,215,53,390,8743,10331,4767,3879,8621,2908,39252
SED30047,566,231,1223,9564,11606,4919,3335,7627,2806,39857
SED30048,529,112,951,7289,9185,4038,3310,7859,3672,35360
SED30049,494,102,945,9440,10402,4506,3321,8356,2244,38269
SED30050,660,314,1376,10561,12749,5123,3487,8880,4308,45101
SED30051,487,230,1063,6694,10037,5755,5582,9010,5297,42373
SED30052,467,400,1277,11480,11727,4728,3273,10167,3899,45280
SED30053,208,92,468,7648,10473,5138,5280,7703,6292,42530
SED30054,290,276,933,9346,11784,5580,3717,5148,1850,37424
SED30055,203,116,524,9488,11843,5280,4446,8624,2971,42650
SED30056,232,100,551,12706,11580,3557,2106,6448,3050,39446
SED30057,84,47,202,5229,6070,2473,2137,5546,3611,25072
SED30058,247,414,971,9517,11277,4833,3176,5963,2326,37098
SED30059,414,452,1132,10488,12358,5567,3985,8668,3968,45023
SED30060,409,98,721,8044,10568,4620,4003,8611,4126,39976
SED30061,453,123,852,8422,10088,4159,3187,7722,2693,36278
SED30062,640,321,1314,12700,15250,6383,5469,11704,4406,55917
SED30063,459,167,925,6912,9825,5610,5558,8183,4370,40448
SED30064,608,233,1260,8443,11518,5770,4846,7566,3454,41599
SED30065,484,349,1335,8825,12380,6209,4362,7616,3627,43014
SED30066,424,333,1192,11485,12851,4885,3421,9130,3325,45097
SED30067,173,187,558,10088,12378,5272,4141,7451,2620,41954
SED30068,559,737,1854,8199,11019,6043,5104,10453,5004,45820
SED30069,584,443,1497,9023,11079,4958,3727,8943,3916,41649
SED30070,565,225,1182,9099,11881,5647,4210,8149,2823,41806
SED30071,542,323,1256,8003,10200,4721,3785,8340,4270,39326
SED30072,654,160,1175,9459,11630,4845,3548,8367,2552,40402
SED30073,385,96,721,15537,13489,3695,2062,10178,4775,49745
SED30074,544,241,1185,7044,9809,5287,5066,8128,4297,39641
SED30075,831,416,1660,12006,12141,4787,3272,13538,5281,51019
SED30076,258,51,487,9737,11459,5115,3585,7292,2285,39478
SED30077,398,398,1262,10687,11706,4288,2752,6532,2863,38825
SED30078,430,101,726,11215,11341,5136,4133,12972,2440,47236
SED30079,529,223,1176,10174,10138,4531,3523,14263,3408,46032
SED30080,477,261,1103,12128,12087,4621,3082,12241,6842,51006
SED30081,256,59,473,8698,11263,5031,4118,7947,3409,40473
SED30082,436,197,1038,8754,11143,5109,4092,7866,3693,40663
SED30083,675,632,1908,8694,11406,5213,3991,7988,3852,41138
SED30084,343,151,784,10106,11308,4216,2985,7920,4521,41046
SED30085,328,187,731,5985,7661,3698,3524,6810,4588,32273
SED30086,727,158,1121,10520,12393,5355,4393,12604,4854,50119
