SED_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
SED10001,0,0,4,4,0,0,0,0,0,10,2301,4557,4199,7043,4054,4186,3196,1621,579,31740,0,6,0,42,3,0,0,0,0,50,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,5,3,12,15,11,4,0,0,42,0,0,0,0,3,0,0,0,0,4,0,3,9,35,8,6,3,0,0,59,0,0,0,0,0,4,16,8,0,30,0,3,0,5,0,3,3,0,0,15,0,12,22,96,147,153,210,101,41,786,0,0,3,15,11,11,0,0,0,37,0,0,0,5,3,0,3,0,0,11,0,3,0,4,10,34,73,34,14,174,0,0,0,3,5,4,12,11,5,35,0,3,0,10,0,5,0,0,0,20,6,33,10,231,14,13,10,4,0,314,0,0,0,3,4,0,0,0,0,10,0,3,0,8,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,5
SED10002,16,74,585,1361,232,107,17,4,0,2400,3337,4543,3664,4948,1032,912,480,251,133,19308,3,7,32,250,16,32,6,0,0,346,0,0,6,24,25,10,8,10,0,83,0,0,3,26,30,22,6,6,0,95,0,7,5,28,9,3,0,0,0,55,0,0,0,21,14,8,17,7,0,73,20,121,644,2290,885,786,338,186,65,5328,0,0,0,14,15,20,59,49,8,161,3,13,16,82,23,22,18,15,0,197,0,13,23,100,73,65,59,28,9,374,0,10,20,89,45,56,25,9,0,248,0,0,0,8,9,0,3,0,0,21,0,0,4,27,7,10,21,8,0,80,0,0,0,3,10,18,26,42,9,107,0,8,68,239,58,93,33,7,0,509,42,69,294,1216,122,66,44,26,5,1872,7,11,29,132,38,19,26,5,3,263,5,31,80,273,34,21,6,3,0,450,6,42,86,307,181,70,11,6,0,709
SED10003,0,0,0,0,0,0,0,0,0,3,1667,3872,2918,5490,3591,4128,3090,1410,626,26791,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,41,19,17,16,5,0,117,0,0,0,8,9,7,4,0,0,34,0,0,3,7,0,3,3,4,0,29,0,0,0,0,3,4,4,3,0,11,0,0,0,0,0,3,4,0,0,7,16,64,52,229,283,313,336,165,49,1508,0,0,0,10,3,7,5,3,3,29,0,0,3,37,12,12,11,0,0,82,0,6,5,38,32,46,54,18,6,208,0,0,0,0,3,7,5,0,5,26,0,3,0,3,0,10,0,0,0,20,3,7,11,50,4,12,3,12,0,102,0,0,0,6,0,3,7,0,0,24,0,0,0,3,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0
SED10004,0,0,0,0,0,0,0,0,0,4,2240,3130,2620,7600,2920,2182,1398,427,130,22660,0,0,5,20,7,0,0,0,0,28,0,0,0,12,3,3,3,3,0,19,0,0,3,6,0,0,3,0,0,13,3,3,14,85,34,20,10,0,0,167,0,0,0,40,18,0,7,5,0,75,12,22,784,488,85,58,56,34,13,1546,0,0,3,6,5,9,10,3,0,39,0,0,6,12,9,10,10,6,5,64,30,113,112,1125,610,346,267,79,15,2697,0,0,3,32,20,16,7,3,0,71,0,3,30,143,23,10,3,4,3,219,4,4,9,91,42,22,33,17,11,230,0,0,5,6,25,21,33,43,21,151,7,10,56,95,29,28,10,8,0,241,6,10,62,242,29,25,10,8,0,389,0,3,54,84,6,3,12,3,0,174,0,4,14,93,13,13,8,0,0,139,0,0,7,14,0,7,0,0,0,24
SED10005,0,14,54,100,25,13,0,7,0,204,3031,5119,4045,4353,1107,1038,750,398,260,20109,9,17,46,291,41,19,3,0,0,434,0,0,4,20,16,12,13,8,0,67,0,5,0,15,40,27,21,7,0,119,0,0,0,6,0,0,0,0,0,9,0,0,0,18,16,15,18,5,0,72,4,33,129,469,306,276,116,87,29,1455,0,0,3,4,20,6,22,34,3,100,13,27,19,148,45,49,39,29,6,367,0,6,4,28,43,40,67,28,23,250,0,8,29,102,53,43,22,6,0,253,0,0,0,4,5,4,8,3,0,25,0,0,8,12,10,6,41,16,8,101,0,3,10,29,41,51,102,103,18,345,0,3,17,56,19,34,11,6,0,146,13,14,49,259,45,29,14,5,10,446,3,16,17,108,43,32,20,9,3,234,3,7,26,105,16,8,4,0,0,170,3,33,66,213,132,45,12,4,0,501
SED10006,0,0,0,0,0,0,0,0,0,0,2314,4508,3713,6919,4218,4706,3471,1776,543,32158,0,0,0,10,5,0,0,0,0,16,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,20,0,0,0,3,0,0,0,0,0,6,0,0,4,12,13,4,3,0,0,38,0,0,0,0,3,3,7,10,3,24,0,0,0,3,0,0,3,0,0,13,0,7,0,40,54,83,98,48,10,335,0,3,0,5,10,3,0,0,0,22,0,0,0,0,3,3,0,0,0,7,0,0,0,9,3,17,37,20,4,91,0,0,0,0,0,3,8,7,0,22,0,0,0,3,0,0,3,0,0,5,3,4,4,77,8,3,4,0,0,105,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SED10007,0,3,7,8,0,0,0,0,0,15,2216,4754,4606,7588,4115,4068,3140,1416,448,32345,0,3,0,17,0,5,4,0,0,30,0,0,0,3,5,3,0,0,0,12,0,0,0,6,0,0,0,0,0,3,0,3,0,15,4,4,6,0,0,30,0,0,0,3,4,0,7,0,0,12,0,5,13,39,14,13,10,3,0,107,0,0,0,0,3,6,9,4,0,29,0,0,7,7,3,0,4,0,0,26,0,9,35,80,139,172,268,131,39,872,0,3,0,14,6,10,4,0,0,38,0,0,0,9,3,3,3,3,3,22,0,0,3,3,16,24,59,18,3,123,0,0,0,0,0,5,12,3,4,27,0,7,8,7,3,5,0,0,0,29,0,6,3,84,11,9,8,9,0,136,0,7,0,7,3,3,0,0,0,19,0,0,3,9,8,3,0,0,0,24,0,0,4,15,4,0,0,0,0,24
SED10008,0,0,3,24,8,18,10,4,0,70,2347,4848,4004,4692,2416,2018,1698,785,205,23014,0,3,8,36,19,18,11,0,0,101,0,0,0,4,9,0,0,0,0,16,0,0,0,9,5,4,0,0,0,22,0,3,17,24,11,13,4,0,0,78,0,0,4,12,19,13,14,4,0,62,35,119,162,1168,526,390,256,78,17,2761,0,0,0,7,18,17,30,16,3,97,0,5,3,26,24,37,32,13,6,144,8,67,91,215,244,194,226,133,36,1219,0,0,12,56,54,26,23,11,0,183,0,0,0,15,3,5,3,0,0,27,0,3,16,28,16,16,51,23,4,162,0,0,3,5,4,26,31,21,5,87,8,24,65,233,143,248,89,26,3,835,13,91,127,745,328,214,120,41,15,1704,0,4,33,93,36,24,26,3,4,224,3,25,28,201,75,44,16,9,3,396,0,0,3,12,10,8,0,0,0,40
SED10009,0,0,0,0,0,0,0,0,0,0,1393,3590,2771,4651,3465,4718,3979,1817,595,26981,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,4,8,14,13,3,3,53,0,0,0,3,3,8,4,4,0,20,0,3,0,8,3,3,4,3,0,29,0,0,0,0,3,0,25,30,0,60,0,0,0,0,0,3,9,0,0,13,3,18,15,81,198,369,545,297,89,1614,0,0,0,0,3,3,0,0,0,10,0,0,0,0,5,4,5,3,4,26,0,0,0,9,15,39,109,63,12,246,0,0,3,0,3,8,16,10,0,39,0,0,0,3,0,3,0,0,0,5,0,5,4,24,12,3,12,8,0,60,0,0,0,0,0,0,7,3,3,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SED10010,3,17,88,193,38,25,16,4,0,388,3072,4630,3701,5270,2129,1792,908,472,177,22157,4,25,24,231,45,51,8,0,0,391,0,0,6,35,30,29,13,11,4,126,0,0,0,6,7,0,4,0,0,21,0,0,4,17,3,0,0,0,0,27,0,0,0,26,14,12,14,6,3,78,6,21,72,256,137,138,59,39,7,742,0,0,0,28,25,32,50,40,3,175,0,26,22,58,49,50,51,18,5,282,0,17,18,93,109,152,147,76,21,632,7,28,67,367,195,132,72,25,6,894,0,0,0,9,3,4,0,0,0,19,0,3,7,15,15,9,51,16,0,130,0,8,3,9,5,26,43,24,3,132,0,3,12,38,20,34,12,4,0,120,76,287,682,3112,385,245,108,40,5,4939,0,0,13,57,31,31,15,5,0,163,0,16,16,83,39,20,16,6,3,201,0,8,27,24,35,12,3,0,0,102
