SED_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED10001,7828,7480,2779,185,18269,6146,749,25173,493,248,286,28,1055,1936,169,3160,74,23,37,3,133,249,34,421,569,270,321,28,1186,2185,202,3575,87,43,38,8,181,426,38,646,11,11,0,0,18,38,0,52,7,0,0,0,4,16,0,29,0,0,0,0,0,3,0,3,105,52,43,8,204,486,38,730,12,5,3,0,23,29,0,47,34,6,3,0,43,64,4,112,0,0,0,0,0,0,0,4,13,11,9,0,33,16,6,59,59,29,10,5,104,111,11,222,36,21,8,0,73,53,4,127,8597,7854,3158,234,19835,8982,1010,29834
SED10002,2351,6963,1706,295,11323,1759,673,13749,119,156,73,11,365,294,28,681,692,1571,455,51,2764,422,178,3363,813,1726,522,59,3129,716,207,4051,522,805,278,54,1664,723,314,2693,504,801,228,70,1608,402,264,2272,2200,1880,562,165,4805,1593,579,6979,13,29,11,0,57,22,4,84,3237,3515,1083,292,8132,2735,1165,12029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,3,0,9,26,72,26,3,124,40,21,176,22,74,25,3,130,45,21,191,29,30,5,6,69,52,15,142,6459,12315,3353,657,22778,5305,2075,30167
SED10003,6439,6086,2412,179,15115,4306,1043,20470,564,298,358,17,1237,1204,134,2573,436,286,257,9,988,741,122,1849,998,584,613,27,2226,1949,254,4427,203,100,163,15,482,638,76,1203,51,10,36,0,104,112,18,234,24,0,0,0,23,25,5,55,5,3,7,0,14,17,3,33,285,114,206,16,624,800,99,1526,56,15,14,4,96,234,6,334,93,15,34,3,154,266,19,430,3,0,0,0,4,17,0,22,21,10,12,0,42,35,7,84,173,48,66,9,290,552,35,873,61,45,24,0,134,126,22,276,7952,6881,3324,232,18383,7728,1454,27570
SED10004,895,1575,383,58,2909,741,235,3881,1578,2140,472,79,4271,1445,408,6124,2445,2752,800,94,6095,2003,821,8924,4032,4889,1274,177,10365,3450,1229,15046,437,234,138,27,831,910,200,1946,918,360,214,60,1555,1773,399,3728,2197,653,259,143,3252,2943,978,7174,30,15,4,3,53,58,11,124,3589,1264,617,229,5696,5689,1582,12971,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,67,45,21,8,143,96,56,298,69,49,21,8,144,97,57,303,53,28,13,7,95,100,26,223,8627,7804,2308,475,19218,10080,3127,32423
SED10005,2547,6906,2336,283,12068,2295,328,14694,128,241,125,22,506,294,24,827,346,1232,472,33,2088,400,62,2557,472,1473,595,56,2597,696,88,3385,184,283,192,22,680,839,33,1553,620,1251,583,63,2513,992,136,3648,378,754,263,42,1436,373,89,1897,3,14,8,0,25,12,3,43,1187,2304,1052,121,4658,2218,260,7133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,0,3,23,41,22,8,87,23,7,123,23,43,19,8,91,30,13,128,14,29,9,3,52,49,3,101,4236,10749,4018,464,19464,5286,689,25442
SED10006,7589,6502,3489,308,17890,7650,641,26182,58,33,34,4,133,310,12,455,19,7,6,0,29,16,6,52,80,40,42,4,159,330,14,505,112,43,64,9,230,727,27,982,3,0,3,0,13,19,0,26,0,0,0,0,0,19,0,22,7,0,0,0,7,0,0,4,120,45,69,9,246,764,29,1042,38,4,5,0,48,100,3,154,4,3,6,0,15,20,0,37,35,19,11,0,68,96,9,173,30,17,12,0,53,41,3,99,106,53,28,0,180,261,20,465,99,76,37,4,218,130,6,356,7991,6707,3669,332,18697,9132,711,28544
SED10007,7052,7412,2946,203,17611,6079,703,24397,268,120,199,22,609,925,99,1633,54,27,69,4,163,222,31,413,324,151,272,26,772,1148,130,2047,102,53,62,15,225,525,53,803,0,0,3,0,3,34,0,38,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,106,57,59,15,236,554,58,847,10,5,5,0,20,31,0,49,3,5,0,0,7,10,0,14,9,3,0,0,12,12,0,25,107,98,42,5,249,94,11,354,124,115,48,5,288,144,12,440,66,33,22,4,123,205,3,341,7671,7762,3346,247,19030,8136,908,28077
SED10008,4957,11678,1597,158,18384,1884,255,20525,142,101,56,7,304,199,11,517,557,1065,293,26,1938,458,105,2502,695,1170,346,36,2249,654,113,3018,79,58,32,7,172,131,7,309,83,100,44,11,239,114,12,366,127,102,40,11,275,141,52,465,3,0,0,0,10,0,0,14,295,259,113,23,691,390,69,1153,3,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,4,3,7,0,0,11,3,0,12,7,19,6,0,36,21,0,52,5953,13125,2068,217,21366,2958,440,24758
SED10009,8944,5322,2411,160,16831,5865,538,23237,401,78,117,13,602,939,44,1585,276,68,110,10,459,454,25,944,674,140,227,19,1066,1394,72,2530,238,86,140,9,470,875,53,1402,21,10,0,0,31,45,3,77,13,0,0,0,13,14,0,29,0,3,0,0,4,7,0,11,270,94,143,9,515,939,57,1515,35,7,10,0,53,130,5,194,78,10,6,0,94,167,4,263,7,10,5,0,24,36,3,57,19,16,11,0,37,25,0,61,141,36,32,0,208,348,12,576,89,36,24,3,150,82,8,231,10124,5626,2838,190,18772,8630,690,28095
SED10010,4388,9664,3398,377,17835,3543,641,22011,183,304,135,12,631,299,33,959,336,957,299,48,1640,365,65,2071,521,1262,434,52,2271,661,99,3027,77,49,29,7,167,380,15,561,27,37,13,3,83,21,4,107,523,709,134,40,1399,359,74,1836,5,3,3,0,15,12,3,35,633,801,183,49,1663,773,95,2532,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,0,6,3,0,9,6,11,7,0,22,12,3,33,4,11,11,0,27,13,3,44,21,34,3,0,58,37,4,100,5563,11774,4027,488,21852,5027,838,27720
