SED_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
SED10001,0,0,5,3,14,12,59,47,6,0,0,0,3,3,3,155,0,0,0,0,8,15,14,21,13,21,7,6,12,3,3,111,0,0,0,0,3,6,22,20,4,3,0,14,8,0,3,92,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,178,409,551,235,119,168,102,20,17,11,7,15,3,80,1937,0,3,4,13,13,20,27,19,5,8,3,3,13,8,6,135,0,0,0,0,6,3,7,12,3,0,0,3,3,3,3,47,0,0,0,0,6,0,5,14,3,0,0,3,4,0,0,37,3,86,114,160,97,68,93,289,143,93,83,68,67,18,48,1432,25,628,900,1041,684,553,743,1138,296,285,212,234,225,127,304,7395
SED10002,0,0,3,0,33,34,72,38,8,14,8,4,3,3,12,231,0,0,3,12,48,435,418,236,33,278,111,37,27,20,33,1688,0,0,0,3,35,55,82,76,13,9,22,38,30,11,17,393,0,0,3,31,5,9,4,0,0,0,0,3,0,0,8,66,0,0,8,764,396,475,420,153,24,23,17,19,22,10,84,2418,5,45,100,144,69,72,95,82,8,21,28,17,13,5,44,746,0,0,0,3,8,20,33,31,5,7,7,10,26,3,7,156,0,3,3,28,1804,953,231,157,16,35,45,50,24,14,151,3511,0,0,0,0,3,3,25,14,0,0,0,6,3,3,0,60,3,61,66,545,647,1022,2352,2612,587,912,1305,1042,1040,809,594,13598,11,322,779,3146,5282,8754,11907,10452,1997,2975,3377,3057,3010,1924,2469,59453
SED10003,3,3,28,46,71,60,82,72,3,12,3,6,11,5,11,403,0,0,3,12,7,8,0,3,0,0,0,3,4,0,5,41,0,0,0,5,3,12,37,41,3,3,9,11,0,0,3,133,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,17,31,238,554,775,340,341,487,299,53,48,57,39,41,26,145,3465,0,4,17,67,60,86,90,58,18,14,6,19,10,11,27,480,0,0,0,3,8,11,3,10,3,4,3,0,0,0,0,49,0,0,5,3,8,11,10,3,0,0,4,0,0,0,0,57,11,54,134,214,145,172,264,203,47,53,84,56,71,25,72,1609,70,593,1070,1578,1252,1195,1575,1147,204,259,256,227,212,140,475,10236
SED10004,0,3,17,32,88,85,126,78,11,9,14,17,8,13,13,515,0,0,3,18,30,59,31,17,0,4,0,4,7,3,8,185,0,0,3,8,19,56,164,195,42,40,51,71,49,36,45,768,0,0,3,17,3,19,3,7,0,0,0,0,0,0,0,56,0,0,0,31,14,13,28,15,3,6,8,7,15,5,5,157,9,135,342,705,539,662,1157,906,224,164,226,187,220,108,154,5732,0,6,20,72,73,117,133,158,30,40,39,46,79,61,30,908,0,0,0,16,209,152,63,68,11,15,27,25,32,18,16,658,0,0,3,0,18,9,21,5,4,0,0,0,3,0,0,74,4,73,142,473,422,527,547,546,153,167,179,285,340,262,184,4300,35,536,1293,2416,2680,3374,4381,3688,951,1006,1241,1609,2132,1605,1107,28065
SED10005,0,0,0,15,11,22,15,12,0,0,0,0,0,0,3,82,0,0,6,11,12,39,41,17,0,8,4,9,0,4,31,175,0,0,0,3,16,52,58,58,4,12,6,19,10,12,10,248,0,0,49,450,106,138,103,29,14,0,0,8,0,0,18,920,0,0,0,84,48,61,55,7,3,0,3,0,0,0,12,279,14,72,152,167,53,45,24,19,3,4,8,0,0,8,34,604,0,0,0,5,4,18,25,9,9,0,6,9,12,3,9,121,0,0,4,88,2664,2860,1363,1105,177,222,281,255,223,138,332,9722,0,0,0,0,0,0,17,19,6,6,4,0,3,0,3,60,3,118,132,711,695,1036,1605,1093,202,209,274,347,309,195,356,7299,36,645,1271,3500,5598,7676,7397,4944,914,1056,1344,1342,1181,671,1752,39317
SED10006,0,0,3,5,16,10,31,46,4,9,9,0,0,0,0,131,0,0,0,0,0,0,3,23,3,0,3,8,0,0,0,46,0,0,0,0,0,5,5,15,3,3,6,0,3,3,3,37,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,126,193,234,68,58,54,35,8,11,17,8,5,8,55,875,0,0,20,10,13,11,21,21,0,3,4,0,4,0,6,119,0,0,0,0,3,3,4,3,0,0,0,4,0,0,5,25,0,0,0,0,4,0,7,4,6,4,0,0,0,0,0,28,4,30,62,125,41,55,58,93,12,30,9,16,22,10,39,600,16,305,429,552,324,344,418,518,110,148,127,123,86,49,216,3778
SED10007,0,0,12,5,22,17,33,42,3,6,0,10,3,4,4,160,0,3,0,3,5,11,11,28,3,3,6,4,0,0,4,78,0,0,0,0,0,12,15,23,6,3,3,9,10,3,5,88,0,0,0,8,0,0,0,3,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,208,426,669,276,154,116,74,21,21,25,3,14,10,116,2153,0,0,3,26,13,18,26,16,3,0,7,9,3,3,0,133,0,0,0,0,13,16,8,6,14,3,4,8,4,3,37,114,0,0,3,0,9,6,8,3,0,0,0,0,6,0,0,34,3,56,78,204,90,78,121,93,13,19,8,18,27,29,93,915,36,527,804,1263,760,646,748,633,123,150,130,120,149,102,553,6747
SED10008,0,0,9,23,92,111,257,198,35,41,37,44,28,24,10,899,0,3,9,43,100,561,386,208,46,10,17,42,10,9,20,1473,0,0,0,5,19,19,53,37,3,0,10,7,9,6,10,184,0,0,3,16,5,4,0,0,0,0,0,0,0,0,0,29,0,0,0,59,23,23,18,4,3,0,0,0,0,0,0,134,4,172,362,562,303,302,346,241,68,53,41,52,44,26,65,2658,0,0,5,29,23,45,68,57,22,19,39,52,95,77,10,535,0,0,0,5,220,80,32,17,0,7,7,0,9,3,9,386,0,0,0,0,5,4,38,21,0,3,3,0,0,0,0,83,0,99,150,426,436,803,683,339,71,57,92,72,78,114,75,3498,19,674,1215,2296,3050,6832,7527,4151,754,756,789,828,779,567,718,30978
SED10009,0,0,19,34,48,31,41,15,0,3,0,3,0,14,5,204,0,3,3,4,0,0,4,3,0,0,3,0,3,4,0,24,0,0,0,0,7,6,11,20,3,3,13,0,0,4,11,85,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,8,29,490,993,1149,417,241,180,94,9,27,24,18,9,3,160,3846,0,4,13,48,37,39,42,30,11,0,0,7,3,0,7,240,0,0,0,0,17,10,3,3,4,0,0,3,0,0,3,56,0,0,5,3,4,0,8,3,0,3,0,0,0,0,0,25,3,114,186,305,112,93,97,50,10,17,5,12,7,3,42,1061,65,1110,1833,2117,1055,737,647,418,68,105,89,78,55,47,370,8796
SED10010,0,0,0,11,40,70,71,38,3,0,3,0,6,3,4,251,0,0,0,33,21,176,284,305,43,116,91,57,52,23,32,1231,0,0,0,0,14,36,50,46,6,9,4,11,8,3,6,191,0,0,0,39,9,3,4,3,0,0,0,0,0,0,4,59,0,0,0,101,48,80,117,41,7,3,7,11,6,0,10,427,3,119,300,503,166,143,90,62,5,10,9,3,7,6,46,1478,0,0,3,21,10,17,29,33,8,11,10,3,11,4,3,162,0,0,0,3,104,64,19,20,3,0,3,6,3,3,9,247,0,0,0,0,0,3,21,3,0,3,0,0,0,0,0,39,4,94,127,588,488,1228,2180,1384,213,188,204,290,213,177,164,7533,18,753,1253,2511,2529,6643,8685,8067,1114,1299,1311,1665,1456,882,1063,39240
