SED_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SED10001,6813,541,375,74,15,6,62,7879
SED10002,11766,448,224,229,15,11,43,12739
SED10003,6109,456,259,60,5,3,47,6945
SED10004,7215,444,128,37,4,0,9,7837
SED10005,10039,450,263,232,16,8,56,11073
SED10006,5742,392,368,113,18,14,112,6751
SED10007,6615,575,437,79,9,9,83,7811
SED10008,12362,517,240,138,11,3,17,13291
SED10009,4707,494,307,65,11,4,66,5665
SED10010,10814,596,399,240,20,13,54,12130
SED10011,7241,645,352,72,8,0,48,8365
SED10012,9500,518,300,276,27,15,55,10685
SED10013,11488,841,597,148,22,15,60,13170
SED10014,7885,642,504,198,31,14,84,9352
SED10015,10477,491,247,153,14,9,29,11416
SED10016,12430,597,358,148,17,9,20,13575
SED10017,7153,733,526,132,27,16,109,8694
SED10018,7695,564,333,78,12,8,49,8741
SED10019,5333,515,403,124,22,5,82,6485
SED10020,6050,575,343,103,8,6,57,7141
SED10021,8023,397,126,42,5,0,15,8611
SED10022,5839,439,339,72,12,5,75,6783
SED10023,9102,552,246,55,3,5,24,9982
SED10024,11786,478,200,96,0,8,20,12590
SED10025,9357,418,131,52,4,0,22,9990
SED10026,6706,505,393,106,15,11,95,7832
SED10027,9831,456,302,178,19,3,31,10829
SED10028,12094,427,161,160,8,0,17,12861
SED10029,10043,440,278,266,22,16,38,11107
SED10030,6482,587,357,69,8,4,57,7559
SED10031,6903,603,412,77,11,6,53,8062
SED10032,11214,441,243,184,13,12,27,12134
SED10033,8329,699,493,129,17,4,53,9724
SED10034,10213,608,341,79,9,3,26,11275
SED10035,7571,399,140,97,6,6,26,8246
SED10036,11741,551,389,173,12,5,33,12910
SED10037,11207,517,251,109,13,3,29,12125
SED10038,8901,502,309,64,7,3,42,9826
SED10039,6915,620,378,101,15,5,78,8110
SED10040,10658,452,221,188,14,6,36,11572
SED10041,11565,411,162,85,4,3,17,12245
SED10042,6465,679,400,109,21,13,68,7750
SED10043,11472,428,256,206,15,6,37,12414
SED10044,10199,396,142,68,0,0,23,10833
SED10045,5654,508,318,80,10,6,57,6643
SED10046,11074,509,391,234,15,22,52,12301
SED10047,8933,787,574,221,28,23,82,10652
SED10048,10823,665,444,244,22,17,55,12266
SED10049,8045,728,541,100,18,9,69,9517
SED10050,9751,468,179,44,3,0,18,10473
SED10051,9112,457,245,95,9,4,46,9964
SED10052,9590,511,273,91,0,0,24,10490
SED10053,7875,627,418,74,4,4,50,9047
SED10054,11041,570,489,312,25,10,61,12505
SED10055,11440,676,454,168,22,8,51,12817
SED10056,7417,447,353,89,4,9,100,8423
SED10057,4812,486,326,93,13,10,90,5830
SED10058,5764,466,208,44,8,3,33,6527
SED10059,4414,269,77,42,3,3,16,4819
SED10060,6921,380,96,22,3,4,11,7434
SED10061,6236,491,340,93,11,13,89,7274
SED10062,9996,418,215,150,9,3,17,10804
SED10063,7115,524,432,70,17,3,75,8229
SED10064,5117,497,369,95,9,8,61,6158
SED10065,12592,513,200,152,6,4,34,13512
SED10066,8075,687,462,108,22,11,67,9434
SED10067,8721,559,265,87,9,3,19,9665
SED10068,5547,541,301,76,11,4,61,6533
SED10069,6121,573,384,94,16,3,72,7267
SED10070,11230,434,250,198,5,7,47,12172
SED10071,13847,741,389,238,14,9,39,15282
SED10072,9121,466,192,130,4,3,30,9942
SED10073,10878,425,167,125,12,4,23,11627
SED10074,11140,539,252,157,19,5,29,12147
SED10075,8377,818,532,121,25,6,82,9965
SED10076,4924,534,348,91,18,11,82,6015
SED10077,10370,414,158,156,7,4,29,11136
SED10078,7916,389,127,96,6,0,22,8556
SED10079,6569,651,387,93,17,4,58,7776
SED10080,3793,265,68,21,4,0,21,4166
SED10081,6602,584,383,92,16,11,65,7758
SED10082,8059,620,310,67,7,10,49,9124
SED10083,6935,655,433,87,17,3,51,8174
SED10084,6317,552,330,77,6,3,58,7342
SED10085,7189,567,419,95,16,8,68,8362
SED10086,7759,382,137,34,0,0,3,8322
SED10087,7026,489,406,69,14,5,46,8057
SED10088,10329,574,257,84,6,5,34,11286
SED10089,7728,645,397,91,19,5,50,8935
SED10090,10609,425,175,73,5,0,28,11319
SED10091,8263,627,461,124,8,8,63,9550
SED10092,7253,537,297,74,8,6,45,8213
SED10093,6867,793,558,122,23,17,83,8455
SED19494,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0
SED20106,4712,318,76,14,6,0,12,5140
SED20207,12541,632,404,144,14,8,31,13772
SED20302,6988,603,472,92,11,6,45,8212
SED20401,6898,513,245,74,16,3,27,7765
SED20508,5799,488,224,36,4,0,29,6583
SED20604,5780,519,353,46,3,3,41,6751
SED20704,6016,498,330,45,6,0,44,6938
SED20804,5087,433,267,32,11,3,26,5863
SED20906,8090,416,162,53,13,0,23,8744
SED21001,8354,350,120,62,3,0,10,8911
SED21106,7304,385,124,29,3,0,10,7857
SED21203,8431,340,199,160,11,3,22,9161
SED21303,5974,266,86,40,3,0,10,6377
SED21401,7782,362,113,93,7,3,23,8377
SED21503,7075,347,170,80,8,0,18,7702
SED21608,5647,445,282,66,15,3,31,6479
SED21706,7943,350,128,60,0,0,13,8503
SED21805,7075,656,356,71,13,0,32,8203
SED21906,6884,304,76,35,3,0,11,7315
SED22005,8361,421,184,150,15,0,40,9169
SED22105,12668,873,617,188,20,9,44,14423
SED22201,6595,485,246,67,6,3,23,7429
SED22305,8023,417,204,145,19,6,34,8846
SED22404,5424,499,308,52,9,4,22,6324
SED22501,8200,451,169,45,4,0,10,8878
SED22607,7294,312,123,33,3,3,12,7779
SED22704,5371,498,289,57,15,3,44,6282
SED22802,6768,552,316,66,15,3,26,7754
SED22901,7058,466,194,81,6,3,11,7827
SED23007,7636,402,177,137,10,9,40,8414
SED23101,7715,333,163,87,8,0,21,8325
SED23205,5289,561,298,61,6,3,23,6249
SED23308,5657,374,169,21,9,0,34,6267
SED23402,8240,639,390,71,5,6,36,9393
SED23502,4601,389,262,47,15,8,54,5363
SED23602,4804,434,270,48,3,5,42,5595
SED23702,7163,754,467,88,14,8,37,8522
SED23806,7190,304,96,38,7,3,5,7642
SED23901,7604,346,143,57,3,0,26,8176
SED24006,8250,326,130,66,3,4,6,8788
SED24105,8693,489,245,227,18,7,31,9713
SED24207,10744,571,371,238,19,11,57,12007
SED24308,5889,540,329,65,8,4,40,6881
SED24408,4885,323,268,36,8,3,49,5576
SED24504,6463,398,242,43,10,0,29,7191
SED24606,6423,287,91,36,0,0,10,6845
SED24703,4628,241,67,20,0,0,15,4963
SED24808,8157,720,524,120,18,14,52,9604
SED24904,5423,461,300,64,16,6,49,6310
SED25003,9593,482,277,116,12,7,29,10512
SED25102,6911,575,265,67,9,0,20,7841
SED25205,7721,463,223,55,5,0,13,8474
SED25302,6948,523,238,37,9,3,17,7780
SED25402,5509,539,341,60,11,5,54,6515
SED25501,8395,302,113,121,8,3,9,8965
SED25605,7598,353,154,124,11,0,26,8260
SED25704,5491,403,274,53,4,4,42,6272
SED25802,6224,532,334,51,11,3,48,7205
SED25905,8610,534,252,140,12,5,25,9573
SED26005,11714,702,452,216,13,17,31,13148
SED26102,4680,441,205,30,7,0,30,5391
SED26207,7425,380,158,59,6,3,19,8040
SED26303,6566,307,96,43,0,3,16,7035
SED26406,7462,294,86,60,3,3,15,7922
SED26504,4759,360,253,48,3,0,48,5471
SED26603,8282,362,171,61,4,0,16,8902
SED26708,5722,397,267,37,4,0,25,6455
SED26806,3628,249,70,10,5,0,11,3970
SED26903,6735,307,158,95,8,4,14,7325
SED27003,4320,299,77,36,3,0,11,4739
SED27101,7380,370,154,56,4,0,8,7974
SED27208,4963,440,303,51,5,6,53,5816
SED27305,8108,452,250,77,3,5,24,8920
SED27406,7177,367,137,36,0,0,13,7731
SED27504,6412,462,314,77,12,6,42,7322
SED27608,8014,498,287,41,13,7,20,8878
SED27708,5676,435,293,33,10,3,46,6499
SED27807,7507,433,263,185,16,8,50,8461
SED27907,6918,493,292,62,10,6,31,7805
SED28007,11297,519,264,126,7,9,23,12242
SED28107,13468,653,406,231,26,8,46,14847
SED28203,8610,306,185,158,8,3,29,9306
SED28301,8548,393,176,78,6,3,14,9213
SED28408,5008,421,255,35,12,0,28,5753
SED28507,7962,597,366,111,15,14,30,9093
SED28607,8383,393,148,54,3,3,16,9003
SED28704,10695,718,486,91,10,4,22,12032
SED28803,12893,601,359,191,8,8,40,14089
SED29494,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0
SED30001,8114,794,586,119,21,11,43,9701
SED30002,6586,505,327,124,17,10,32,7612
SED30003,5696,345,161,26,7,0,9,6246
SED30004,5341,360,195,68,3,3,18,5982
SED30005,5988,509,262,65,16,8,43,6895
SED30006,5671,574,393,77,26,5,67,6819
SED30007,3054,205,50,11,3,0,10,3335
SED30008,3565,428,165,33,4,0,19,4219
SED30009,5277,441,234,53,4,0,21,6029
SED30010,5622,391,154,42,8,5,7,6230
SED30011,3015,364,233,31,4,7,27,3685
SED30012,8199,771,666,214,26,23,61,9960
SED30013,4113,389,228,52,14,0,40,4833
SED30014,4656,443,214,44,15,7,13,5396
SED30015,3968,379,260,54,8,3,49,4716
SED30016,4143,423,194,78,15,4,40,4894
SED30017,3773,294,255,50,13,6,59,4444
SED30018,4534,450,256,53,7,3,30,5332
SED30019,5080,539,320,67,16,0,22,6043
SED30020,6394,430,190,62,6,3,13,7100
SED30021,4931,330,143,34,3,0,8,5456
SED30022,5374,477,257,43,7,6,23,6190
SED30023,5945,406,367,91,3,8,43,6864
SED30024,3806,334,259,207,34,16,116,4778
SED30025,7410,774,523,99,17,15,44,8877
SED30026,4409,380,206,42,10,0,28,5081
SED30027,4056,296,232,49,9,0,28,4674
SED30028,5744,425,193,48,0,3,17,6428
SED30029,5981,410,240,37,3,4,21,6692
SED30030,6313,626,413,98,17,9,32,7505
SED30031,5800,501,404,72,4,3,37,6814
SED30032,5109,579,370,71,21,9,29,6182
SED30033,4990,327,128,33,3,0,17,5497
SED30034,4176,238,221,40,4,0,32,4713
SED30035,3810,362,308,50,15,3,32,4578
SED30036,3532,436,292,46,12,9,35,4357
SED30037,4964,429,324,52,3,3,39,5807
SED30038,5519,473,294,152,17,11,62,6521
SED30039,4868,227,80,43,0,0,10,5230
SED30040,4614,521,369,77,7,8,37,5625
SED30041,5014,574,437,73,13,11,54,6171
SED30042,5433,571,417,67,17,4,36,6545
SED30043,5096,461,282,55,10,6,23,5934
SED30044,5218,439,313,66,14,7,34,6089
SED30045,5348,487,402,86,15,10,59,6405
SED30046,5528,546,377,121,24,13,42,6651
SED30047,5236,480,278,50,13,4,22,6082
SED30048,3658,347,221,55,12,4,26,4324
SED30049,5515,312,155,70,5,6,13,6084
SED30050,3932,402,155,25,3,0,15,4536
SED30051,3640,412,259,70,21,8,40,4433
SED30052,4972,490,171,46,8,0,29,5721
SED30053,5211,403,304,59,15,7,34,6037
SED30054,6536,357,197,45,3,0,12,7150
SED30055,5712,689,534,88,27,8,36,7095
SED30056,3864,261,79,21,0,0,7,4232
SED30057,2687,217,165,93,15,12,57,3235
SED30058,5920,423,173,51,3,0,11,6582
SED30059,6239,563,300,81,8,3,25,7222
SED30060,4718,413,293,124,16,10,53,5636
SED30061,3832,383,247,58,9,8,27,4559
SED30062,7647,816,588,105,17,7,55,9237
SED30063,4066,356,310,56,10,3,51,4843
SED30064,4784,452,273,52,11,3,23,5607
SED30065,4790,435,177,31,9,0,20,5453
SED30066,5195,449,181,80,6,8,13,5929
SED30067,6128,547,371,85,16,7,36,7185
SED30068,3581,504,365,67,16,9,42,4583
SED30069,3647,493,257,56,9,3,41,4501
SED30070,5406,540,333,41,11,7,33,6372
SED30071,4061,389,290,64,12,3,41,4866
SED30072,5457,468,231,66,7,0,22,6254
SED30073,3412,265,98,30,4,0,6,3815
SED30074,4125,334,259,47,6,5,37,4818
SED30075,4580,436,245,65,8,0,14,5346
SED30076,5664,511,277,99,8,7,28,6597
SED30077,4709,330,134,35,3,0,11,5222
SED30078,7609,363,192,152,16,4,36,8371
SED30079,5227,311,155,117,10,4,25,5855
SED30080,4097,396,133,36,3,0,17,4693
SED30081,5239,537,431,80,11,11,55,6361
SED30082,4201,371,256,44,10,3,36,4927
SED30083,4351,365,255,46,10,9,35,5067
SED30084,3695,351,185,55,13,10,30,4331
SED30085,3640,221,194,46,9,0,30,4131
SED30086,5514,642,508,133,22,12,53,6877
SED30087,5896,478,296,50,8,3,37,6774
SED30088,5644,510,484,168,14,10,54,6892
SED30089,5041,307,115,52,6,0,18,5533
SED39494,0,0,0,0,0,0,0,0
SED39797,0,0,0,0,0,0,0,0
SED40001,2931,179,65,18,0,0,3,3199
SED40002,3613,230,86,27,3,0,13,3967
SED40003,4218,245,95,25,3,0,19,4606
SED40004,3609,248,117,38,3,3,9,4025
SED40005,2927,252,167,27,0,0,28,3404
SED40006,3655,296,130,51,0,3,17,4156
SED40007,3813,243,85,33,0,0,8,4190
SED40008,3400,246,83,32,5,3,13,3777
SED40009,4102,325,137,32,0,5,14,4607
SED40010,3443,207,65,21,4,0,8,3745
SED40011,3145,229,82,31,0,0,4,3495
SED40012,3998,226,104,63,0,3,23,4416
SED40013,2408,224,161,21,7,0,38,2860
SED40014,3979,338,180,37,3,0,21,4562
SED40015,2819,219,170,31,6,8,24,3276
SED40016,3161,249,131,34,4,0,20,3599
SED40017,2865,231,162,34,6,3,37,3338
SED40018,2703,259,194,63,10,3,47,3278
SED40019,2514,239,176,22,7,8,27,2997
SED40020,2367,253,173,29,7,3,30,2864
SED40021,3737,179,84,27,8,0,6,4044
SED40022,3987,313,164,26,4,0,19,4512
SED40023,3522,432,263,33,3,0,19,4279
SED40024,4051,381,189,31,3,0,16,4666
SED40025,3003,278,113,32,3,0,13,3452
SED40026,3842,413,254,48,14,0,24,4603
SED40027,3173,357,249,37,11,0,27,3857
SED40028,2883,220,180,17,7,0,27,3339
SED40029,3374,327,217,28,4,3,26,3987
SED40030,3842,306,163,33,11,0,13,4367
SED40031,4445,254,106,31,3,0,15,4850
SED40032,2831,221,91,24,6,0,10,3185
SED40033,3044,311,184,30,7,3,30,3617
SED40034,3318,407,302,60,5,12,39,4137
SED40035,3681,328,169,21,6,0,10,4220
SED40036,3614,261,160,55,7,7,19,4123
SED40037,4084,359,181,60,6,4,23,4710
