SED_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SED10001,20104,2336,414,128,88,23077,4417,1090,257,88,30,5873,643,154,60,12,11,879,25173,3575,730,222,127,29834
SED10002,11256,3322,10269,142,84,25068,1951,563,1291,35,16,3858,544,173,464,14,41,1237,13749,4051,12029,191,142,30167
SED10003,17561,3266,1133,520,175,22661,2364,986,333,291,58,4033,540,175,62,57,44,877,20470,4427,1526,873,276,27570
SED10004,3441,13612,11169,268,163,28652,344,1107,1406,20,20,2894,92,328,398,15,42,880,3881,15046,12971,303,223,32423
SED10005,11616,2737,5313,108,59,19836,2562,517,1573,14,26,4680,517,128,255,8,20,926,14694,3385,7133,128,101,25442
SED10006,17692,270,468,239,214,18881,7501,206,491,164,96,8464,987,33,79,63,39,1197,26182,505,1042,465,356,28544
SED10007,19023,1267,481,326,170,21260,4715,696,325,104,91,5932,664,83,38,13,76,877,24397,2047,847,440,341,28077
SED10008,19246,2766,977,14,40,23043,991,204,145,0,4,1342,284,48,23,0,12,370,20525,3018,1153,12,52,24758
SED10009,18667,1675,927,327,181,21778,3918,739,517,216,33,5416,657,112,74,36,21,906,23237,2530,1515,576,231,28095
SED10010,18271,2463,1931,36,61,22760,3058,445,493,10,18,4023,680,122,107,0,21,936,22011,3027,2532,44,100,27720
SED10011,21978,920,370,39,71,23377,2286,372,171,10,19,2853,432,41,27,5,18,522,24696,1322,569,55,107,26747
SED10012,13944,2295,1831,50,51,18161,2546,721,819,15,19,4115,538,110,121,4,11,784,17030,3127,2769,64,75,23064
SED10013,22364,1031,115,54,72,23631,2207,335,73,30,15,2664,442,72,16,7,55,592,25015,1442,200,83,147,26886
SED10014,16977,2257,1320,41,26,20622,2655,946,437,11,10,4057,498,135,63,3,5,705,20122,3334,1822,54,40,25380
SED10015,12194,2820,8147,183,69,23413,2623,493,1556,33,9,4714,421,127,336,7,20,911,15240,3441,10037,220,105,29040
SED10016,18530,2394,1304,12,51,22286,753,207,155,3,3,1118,313,50,30,3,10,403,19592,2647,1488,13,63,23802
SED10017,19271,1031,171,45,91,20605,4276,630,157,20,23,5110,569,113,12,3,15,720,24118,1778,341,70,128,26431
SED10018,18735,2412,711,76,28,21969,3052,928,289,50,3,4331,423,97,41,8,10,572,22210,3438,1041,138,48,26868
SED10019,18075,916,837,453,130,20416,5236,587,654,316,33,6834,703,66,89,45,12,920,24015,1575,1586,813,179,28171
SED10020,17109,2368,1860,361,182,21878,2528,806,744,225,48,4346,454,144,126,43,50,814,20092,3315,2729,631,280,27042
SED10021,4798,5267,17143,505,84,27797,364,370,2160,53,12,2962,98,134,560,12,12,820,5261,5772,19868,566,111,31577
SED10022,17818,413,382,121,148,18879,5975,372,451,66,53,6911,855,41,64,9,20,991,24642,826,892,200,224,26786
SED10023,13852,2894,6329,78,47,23199,1149,475,1084,10,7,2718,275,98,191,5,7,587,15277,3471,7605,88,63,26511
SED10024,18858,1204,3266,24,44,23398,840,276,304,0,8,1425,245,91,83,0,3,419,19948,1573,3647,26,58,25247
SED10025,9955,2438,13087,230,117,25832,1505,267,1252,32,14,3074,218,59,309,13,19,609,11680,2770,14649,272,147,29520
SED10026,18276,827,812,296,105,20305,4535,535,608,120,35,5838,632,54,81,45,21,836,23445,1411,1496,466,154,26979
SED10027,14465,4996,599,89,72,20217,2584,746,377,23,9,3737,402,153,60,0,11,637,17452,5898,1038,115,90,24595
SED10028,17240,2792,3347,12,45,23426,864,333,623,4,9,1826,236,90,131,3,7,464,18334,3208,4098,17,57,25718
SED10029,12711,3132,3235,137,78,19304,2798,720,1500,71,32,5115,583,149,208,15,38,992,16093,3998,4944,221,149,25404
SED10030,16076,3712,2823,265,95,22979,2659,1222,1040,172,47,5139,466,190,191,19,42,899,19200,5125,4054,454,185,29021
SED10031,20292,869,292,152,144,21743,4395,536,223,105,36,5287,603,72,23,30,19,754,25284,1477,536,279,205,27789
