CED_NAME16	OnlyEnglishSpokenHome	persons
Banks	0	70425
Banks	1	78899
Barton	0	102154
Barton	1	60772
Bennelong	0	83110
Bennelong	1	79239
Berowra	0	37786
Berowra	1	102115
Blaxland	0	119474
Blaxland	1	44481
Bradfield	0	54345
Bradfield	1	99972
Calare	0	6196
Calare	1	140402
Chifley	0	72818
Chifley	1	88651
Cook	0	29562
Cook	1	102805
Cowper	0	7021
Cowper	1	140405
Cunningham	0	27880
Cunningham	1	119478
Dobell	0	8155
Dobell	1	136629
Eden-Monaro	0	10173
Eden-Monaro	1	125950
Farrer	0	11803
Farrer	1	138456
Fowler	0	112689
Fowler	1	41569
Gilmore	0	6088
Gilmore	1	133423
Grayndler	0	39055
Grayndler	1	99453
Greenway	0	69742
Greenway	1	92120
Hughes	0	23636
Hughes	1	116015
Hume	0	9528
Hume	1	132494
Hunter	0	5434
Hunter	1	141220
Kingsford Smith	0	64203
Kingsford Smith	1	98153
Lindsay	0	26496
Lindsay	1	129819
Lyne	0	3305
Lyne	1	132469
Macarthur	0	42700
Macarthur	1	110488
Mackellar	0	21243
Mackellar	1	120138
Macquarie	0	8553
Macquarie	1	125664
McMahon	0	87592
McMahon	1	70008
Mitchell	0	51155
Mitchell	1	98152
New England	0	6112
New England	1	135430
Newcastle	0	15335
Newcastle	1	129610
North Sydney	0	46139
North Sydney	1	106259
Page	0	5913
Page	1	141219
Parkes	0	5004
Parkes	1	133878
Parramatta	0	111138
Parramatta	1	63279
Paterson	0	5667
Paterson	1	140404
Reid	0	95110
Reid	1	73322
Richmond	0	7141
Richmond	1	133124
Riverina	0	6472
Riverina	1	137346
Robertson	0	10106
Robertson	1	125100
Shortland	0	6120
Shortland	1	132036
Sydney	0	73747
Sydney	1	102094
Warringah	0	23978
Warringah	1	114478
Watson	0	115034
Watson	1	49744
Wentworth	0	26626
Wentworth	1	105137
Werriwa	0	92396
Werriwa	1	68336
Whitlam	0	15743
Whitlam	1	128915
No usual address (NSW)	0	1822
No usual address (NSW)	1	7212
Migratory - Offshore - Shipping (NSW)	0	92
Migratory - Offshore - Shipping (NSW)	1	279
Aston	0	37104
Aston	1	94024
Ballarat	0	8033
Ballarat	1	136633
Batman	0	58537
Batman	1	92630
Bendigo	0	6666
Bendigo	1	132424
Bruce	0	88837
Bruce	1	60016
Calwell	0	84119
Calwell	1	71801
Casey	0	11549
Casey	1	124376
Chisholm	0	74695
Chisholm	1	82193
Corangamite	0	9400
Corangamite	1	135047
Corio	0	18080
Corio	1	121509
Deakin	0	38501
Deakin	1	102335
Dunkley	0	12791
Dunkley	1	124945
Flinders	0	7864
Flinders	1	135943
Gellibrand	0	60914
Gellibrand	1	94607
Gippsland	0	7001
Gippsland	1	123696
Goldstein	0	29447
Goldstein	1	110991
Gorton	0	79958
Gorton	1	102399
Higgins	0	39575
Higgins	1	104736
Holt	0	84539
Holt	1	104713
Hotham	0	68270
Hotham	1	76205
Indi	0	6418
Indi	1	123437
Isaacs	0	46310
Isaacs	1	104097
Jagajaga	0	26031
Jagajaga	1	108939
Kooyong	0	41258
Kooyong	1	97119
La Trobe	0	27592
La Trobe	1	122686
Lalor	0	95219
Lalor	1	123330
Mallee	0	9528
Mallee	1	117722
Maribyrnong	0	76738
Maribyrnong	1	79849
McEwen	0	41871
McEwen	1	156822
McMillan	0	12395
McMillan	1	143781
Melbourne	0	80765
Melbourne	1	106840
Melbourne Ports	0	40113
Melbourne Ports	1	105131
Menzies	0	51619
Menzies	1	80708
Murray	0	12334
Murray	1	121228
Scullin	0	76005
Scullin	1	84291
Wannon	0	3869
Wannon	1	119156
Wills	0	63521
Wills	1	96229
No usual address (Vic.)	0	1393
No usual address (Vic.)	1	4201
Migratory - Offshore - Shipping (Vic.)	0	10
Migratory - Offshore - Shipping (Vic.)	1	18
Blair	0	10932
Blair	1	134613
Bonner	0	27402
Bonner	1	115405
Bowman	0	9772
Bowman	1	130749
Brisbane	0	29393
Brisbane	1	121048
Capricornia	0	7000
Capricornia	1	130067
Dawson	0	10302
Dawson	1	132356
Dickson	0	10081
Dickson	1	130005
Fadden	0	20263
Fadden	1	137253
Fairfax	0	8011
Fairfax	1	136631
Fisher	0	6789
Fisher	1	125255
Flynn	0	7454
Flynn	1	134403
Forde	0	17996
Forde	1	137686
Griffith	0	29015
Griffith	1	118345
Groom	0	10080
Groom	1	129025
Herbert	0	11584
Herbert	1	136657
Hinkler	0	6187
Hinkler	1	125712
Kennedy	0	10949
Kennedy	1	129373
Leichhardt	0	32084
Leichhardt	1	126306
Lilley	0	23081
Lilley	1	124397
Longman	0	8493
Longman	1	140950
Maranoa	0	5085
Maranoa	1	131785
McPherson	0	15437
McPherson	1	126477
Moncrieff	0	26783
Moncrieff	1	119556
Moreton	0	57906
Moreton	1	92076
Oxley	0	45318
Oxley	1	105391
Petrie	0	18796
Petrie	1	135101
Rankin	0	51945
Rankin	1	116601
Ryan	0	24958
Ryan	1	123541
Wide Bay	0	4863
Wide Bay	1	128228
Wright	0	8401
Wright	1	136827
No usual address (Qld)	0	1293
No usual address (Qld)	1	8697
Migratory - Offshore - Shipping (Qld)	0	21
Migratory - Offshore - Shipping (Qld)	1	110
Adelaide	0	48714
Adelaide	1	105154
Barker	0	9070
Barker	1	130248
Boothby	0	21555
Boothby	1	118484
Grey	0	7299
Grey	1	124588
Hindmarsh	0	34828
Hindmarsh	1	109027
Kingston	0	10695
Kingston	1	129765
Makin	0	26833
Makin	1	115952
Mayo	0	5593
Mayo	1	127347
Port Adelaide	0	48643
Port Adelaide	1	108231
Sturt	0	43930
Sturt	1	99597
Wakefield	0	16601
Wakefield	1	141217
No usual address (SA)	0	347
No usual address (SA)	1	1933
Migratory - Offshore - Shipping (SA)	0	4
Brand	0	17092
Brand	1	134364
Burt	0	45685
Burt	1	113114
Canning	0	9921
Canning	1	126118
Cowan	0	39587
Cowan	1	101115
Curtin	0	23908
Curtin	1	110186
Durack	0	20638
Durack	1	138736
Forrest	0	9791
Forrest	1	127124
Fremantle	0	28351
Fremantle	1	110501
Hasluck	0	22533
Hasluck	1	110897
Moore	0	15234
Moore	1	119634
O'Connor	0	11458
O'Connor	1	129879
Pearce	0	23497
Pearce	1	144401
Perth	0	38152
Perth	1	100696
Stirling	0	46138
Stirling	1	92701
Swan	0	48577
Swan	1	101302
Tangney	0	34127
Tangney	1	96158
No usual address (WA)	0	585
No usual address (WA)	1	3819
Migratory - Offshore - Shipping (WA)	0	53
Migratory - Offshore - Shipping (WA)	1	309
Bass	0	5847
Bass	1	88722
Braddon	0	2356
Braddon	1	88755
Denison	0	12364
Denison	1	83887
Franklin	0	4722
Franklin	1	94068
Lyons	0	1932
Lyons	1	94244
No usual address (Tas.)	0	67
No usual address (Tas.)	1	680
Migratory - Offshore - Shipping (Tas.)	0	10
Migratory - Offshore - Shipping (Tas.)	1	60
Lingiari	0	41856
Lingiari	1	55828
Solomon	0	26428
Solomon	1	76035
No usual address (NT)	0	455
No usual address (NT)	1	1364
Migratory - Offshore - Shipping (NT)	0	37
Migratory - Offshore - Shipping (NT)	1	27
Canberra	0	35741
Canberra	1	148633
Fenner	0	51736
Fenner	1	141062
No usual address (ACT)	0	82
No usual address (ACT)	1	355
No usual address (OT)	0	10
No usual address (OT)	1	40
Migratory - Offshore - Shipping (OT)	1	4
