CED_NAME16	Age	MaritalStatus	Sex	responses
Banks	15-19	Divorced	F	4
Banks	15-19	Divorced	M	3
Banks	15-19	Married	F	31
Banks	15-19	Married	M	18
Banks	15-19	Widowed	M	3
Banks	20-24	Divorced	F	15
Banks	20-24	Divorced	M	3
Banks	20-24	Married	F	531
Banks	20-24	Married	M	221
Banks	20-24	Separated	F	21
Banks	20-24	Separated	M	7
Banks	20-24	Widowed	F	9
Banks	20-24	Widowed	M	3
Banks	25-34	Divorced	F	304
Banks	25-34	Divorced	M	168
Banks	25-34	Married	F	6041
Banks	25-34	Married	M	4931
Banks	25-34	Separated	F	235
Banks	25-34	Separated	M	139
Banks	25-34	Widowed	F	12
Banks	25-34	Widowed	M	6
Banks	35-44	Divorced	F	869
Banks	35-44	Divorced	M	479
Banks	35-44	Married	F	7493
Banks	35-44	Married	M	6943
Banks	35-44	Separated	F	462
Banks	35-44	Separated	M	268
Banks	35-44	Widowed	F	54
Banks	35-44	Widowed	M	17
Banks	45-54	Divorced	F	1614
Banks	45-54	Divorced	M	902
Banks	45-54	Married	F	7173
Banks	45-54	Married	M	7022
Banks	45-54	Separated	F	541
Banks	45-54	Separated	M	389
Banks	45-54	Widowed	F	203
Banks	45-54	Widowed	M	63
Banks	55-64	Divorced	F	1645
Banks	55-64	Divorced	M	1113
Banks	55-64	Married	F	6172
Banks	55-64	Married	M	6350
Banks	55-64	Separated	F	413
Banks	55-64	Separated	M	351
Banks	55-64	Widowed	F	586
Banks	55-64	Widowed	M	134
Banks	65-74	Divorced	F	1091
Banks	65-74	Divorced	M	744
Banks	65-74	Married	F	3776
Banks	65-74	Married	M	4373
Banks	65-74	Separated	F	239
Banks	65-74	Separated	M	242
Banks	65-74	Widowed	F	1113
Banks	65-74	Widowed	M	265
Banks	75-84	Divorced	F	385
Banks	75-84	Divorced	M	295
Banks	75-84	Married	F	1958
Banks	75-84	Married	M	2597
Banks	75-84	Separated	F	76
Banks	75-84	Separated	M	94
Banks	75-84	Widowed	F	1998
Banks	75-84	Widowed	M	446
Banks	85+	Divorced	F	129
Banks	85+	Divorced	M	54
Banks	85+	Married	F	430
Banks	85+	Married	M	853
Banks	85+	Separated	F	17
Banks	85+	Separated	M	22
Banks	85+	Widowed	F	2077
Banks	85+	Widowed	M	549
Barton	15-19	Divorced	F	3
Barton	15-19	Divorced	M	3
Barton	15-19	Married	F	48
Barton	15-19	Married	M	16
Barton	15-19	Separated	F	3
Barton	15-19	Separated	M	3
Barton	15-19	Widowed	M	5
Barton	20-24	Divorced	F	20
Barton	20-24	Divorced	M	8
Barton	20-24	Married	F	1021
Barton	20-24	Married	M	454
Barton	20-24	Separated	F	31
Barton	20-24	Separated	M	9
Barton	20-24	Widowed	F	5
Barton	20-24	Widowed	M	4
Barton	25-34	Divorced	F	462
Barton	25-34	Divorced	M	285
