CED_NAME16	EduInstitutionType	Sex	students
Banks		F	4893
Banks		M	4335
Banks	Infants/Primary	F	5805
Banks	Infants/Primary	M	6035
Banks	Pre-school	F	1183
Banks	Pre-school	M	1343
Banks	Secondary	F	4988
Banks	Secondary	M	5116
Banks	Technical or Further Educational Institution	F	1467
Banks	Technical or Further Educational Institution	M	1359
Banks	University or other tertiary	F	5042
Banks	University or other tertiary	M	4630
Barton		F	7155
Barton		M	6844
Barton	Infants/Primary	F	5525
Barton	Infants/Primary	M	5927
Barton	Pre-school	F	1163
Barton	Pre-school	M	1249
Barton	Secondary	F	4443
Barton	Secondary	M	4611
Barton	Technical or Further Educational Institution	F	1915
Barton	Technical or Further Educational Institution	M	1857
Barton	University or other tertiary	F	6873
Barton	University or other tertiary	M	6676
Bennelong		F	4724
Bennelong		M	4253
Bennelong	Infants/Primary	F	6020
Bennelong	Infants/Primary	M	6441
Bennelong	Pre-school	F	1407
Bennelong	Pre-school	M	1404
Bennelong	Secondary	F	4805
Bennelong	Secondary	M	5130
Bennelong	Technical or Further Educational Institution	F	1983
Bennelong	Technical or Further Educational Institution	M	1564
Bennelong	University or other tertiary	F	8136
Bennelong	University or other tertiary	M	7653
Berowra		F	3556
Berowra		M	3017
Berowra	Infants/Primary	F	6616
Berowra	Infants/Primary	M	7001
Berowra	Pre-school	F	1318
Berowra	Pre-school	M	1475
Berowra	Secondary	F	5758
Berowra	Secondary	M	6150
Berowra	Technical or Further Educational Institution	F	1113
Berowra	Technical or Further Educational Institution	M	1174
Berowra	University or other tertiary	F	4667
Berowra	University or other tertiary	M	4036
Blaxland		F	7756
Blaxland		M	7806
Blaxland	Infants/Primary	F	7192
Blaxland	Infants/Primary	M	7700
Blaxland	Pre-school	F	1295
Blaxland	Pre-school	M	1416
Blaxland	Secondary	F	5938
Blaxland	Secondary	M	6089
Blaxland	Technical or Further Educational Institution	F	2041
Blaxland	Technical or Further Educational Institution	M	1931
Blaxland	University or other tertiary	F	5162
Blaxland	University or other tertiary	M	5427
Bradfield		F	4397
Bradfield		M	3647
Bradfield	Infants/Primary	F	7399
Bradfield	Infants/Primary	M	8033
Bradfield	Pre-school	F	1540
Bradfield	Pre-school	M	1648
Bradfield	Secondary	F	6759
Bradfield	Secondary	M	6774
Bradfield	Technical or Further Educational Institution	F	1309
Bradfield	Technical or Further Educational Institution	M	966
Bradfield	University or other tertiary	F	5809
Bradfield	University or other tertiary	M	5066
Calare		F	7806
Calare		M	9398
Calare	Infants/Primary	F	6740
Calare	Infants/Primary	M	7227
Calare	Pre-school	F	1419
Calare	Pre-school	M	1495
Calare	Secondary	F	5088
Calare	Secondary	M	5313
Calare	Technical or Further Educational Institution	F	2006
Calare	Technical or Further Educational Institution	M	1514
Calare	University or other tertiary	F	2968
Calare	University or other tertiary	M	1660
Chifley		F	6773
Chifley		M	6308
Chifley	Infants/Primary	F	8016
Chifley	Infants/Primary	M	8659
Chifley	Pre-school	F	1372
Chifley	Pre-school	M	1510
Chifley	Secondary	F	6325
Chifley	Secondary	M	6412
Chifley	Technical or Further Educational Institution	F	2083
Chifley	Technical or Further Educational Institution	M	1602
Chifley	University or other tertiary	F	3991
Chifley	University or other tertiary	M	3367
Cook		F	4382
Cook		M	3944
Cook	Infants/Primary	F	5341
Cook	Infants/Primary	M	5733
Cook	Pre-school	F	1163
Cook	Pre-school	M	1356
Cook	Secondary	F	4415
Cook	Secondary	M	4426
Cook	Technical or Further Educational Institution	F	1061
Cook	Technical or Further Educational Institution	M	1181
Cook	University or other tertiary	F	3337
Cook	University or other tertiary	M	2537
Cowper		F	7498
Cowper		M	7118
Cowper	Infants/Primary	F	6164
Cowper	Infants/Primary	M	6324
Cowper	Pre-school	F	1302
Cowper	Pre-school	M	1479
Cowper	Secondary	F	4796
Cowper	Secondary	M	4910
Cowper	Technical or Further Educational Institution	F	1991
Cowper	Technical or Further Educational Institution	M	1257
Cowper	University or other tertiary	F	2189
Cowper	University or other tertiary	M	1077
Cunningham		F	5311
Cunningham		M	4929
Cunningham	Infants/Primary	F	6013
Cunningham	Infants/Primary	M	6266
Cunningham	Pre-school	F	1433
Cunningham	Pre-school	M	1537
Cunningham	Secondary	F	4706
Cunningham	Secondary	M	4758
Cunningham	Technical or Further Educational Institution	F	1549
Cunningham	Technical or Further Educational Institution	M	1567
Cunningham	University or other tertiary	F	6178
Cunningham	University or other tertiary	M	6243
Dobell		F	6217
Dobell		M	5310
Dobell	Infants/Primary	F	6517
Dobell	Infants/Primary	M	7055
Dobell	Pre-school	F	1499
Dobell	Pre-school	M	1690
Dobell	Secondary	F	5058
Dobell	Secondary	M	5028
Dobell	Technical or Further Educational Institution	F	1695
Dobell	Technical or Further Educational Institution	M	1358
Dobell	University or other tertiary	F	2830
Dobell	University or other tertiary	M	1690
Eden-Monaro		F	6880
Eden-Monaro		M	6971
Eden-Monaro	Infants/Primary	F	5792
Eden-Monaro	Infants/Primary	M	6174
Eden-Monaro	Pre-school	F	1015
Eden-Monaro	Pre-school	M	1262
Eden-Monaro	Secondary	F	4554
Eden-Monaro	Secondary	M	4622
Eden-Monaro	Technical or Further Educational Institution	F	1475
Eden-Monaro	Technical or Further Educational Institution	M	1224
Eden-Monaro	University or other tertiary	F	2478
Eden-Monaro	University or other tertiary	M	1504
Farrer		F	8440
Farrer		M	8043
Farrer	Infants/Primary	F	6678
