CED_NAME16	Age	Sex	Volunteer	adults
Cook	55-64	F		473
Cook	55-64	F	0	6920
Cook	55-64	F	1	1413
Cook	55-64	M		479
Cook	55-64	M	0	6467
Cook	55-64	M	1	1255
Cook	65-74	F		436
Cook	65-74	F	0	5275
Cook	65-74	F	1	1231
Cook	65-74	M		416
Cook	65-74	M	0	4810
Cook	65-74	M	1	1048
Cook	75-84	F		400
Cook	75-84	F	0	3585
Cook	75-84	F	1	722
Cook	75-84	M		285
Cook	75-84	M	0	2889
Cook	75-84	M	1	553
Cook	85+	F		342
Cook	85+	F	0	2344
Cook	85+	F	1	232
Cook	85+	M		181
Cook	85+	M	0	1335
Cook	85+	M	1	156
Cowper	15-19	F		488
Cowper	15-19	F	0	2986
Cowper	15-19	F	1	960
Cowper	15-19	M		558
Cowper	15-19	M	0	3309
Cowper	15-19	M	1	839
Cowper	20-24	F		287
Cowper	20-24	F	0	2614
Cowper	20-24	F	1	633
Cowper	20-24	M		392
Cowper	20-24	M	0	2815
Cowper	20-24	M	1	479
Cowper	25-34	F		579
Cowper	25-34	F	0	5708
Cowper	25-34	F	1	1367
Cowper	25-34	M		814
Cowper	25-34	M	0	5409
Cowper	25-34	M	1	992
Cowper	35-44	F		562
Cowper	35-44	F	0	5883
Cowper	35-44	F	1	2294
Cowper	35-44	M		682
Cowper	35-44	M	0	5703
Cowper	35-44	M	1	1574
Cowper	45-54	F		813
Cowper	45-54	F	0	7471
Cowper	45-54	F	1	2643
Cowper	45-54	M		864
Cowper	45-54	M	0	6779
Cowper	45-54	M	1	2054
Cowper	55-64	F		886
Cowper	55-64	F	0	8516
Cowper	55-64	F	1	2981
Cowper	55-64	M		1032
Cowper	55-64	M	0	8072
Cowper	55-64	M	1	2418
Cowper	65-74	F		1065
Cowper	65-74	F	0	6882
Cowper	65-74	F	1	3024
Cowper	65-74	M		1009
Cowper	65-74	M	0	7194
Cowper	65-74	M	1	2332
Cowper	75-84	F		1075
Cowper	75-84	F	0	4239
Cowper	75-84	F	1	1315
Cowper	75-84	M		837
Cowper	75-84	M	0	3942
Cowper	75-84	M	1	960
Cowper	85+	F		805
Cowper	85+	F	0	2481
Cowper	85+	F	1	219
Cowper	85+	M		453
Cowper	85+	M	0	1478
Cowper	85+	M	1	161
Cunningham	15-19	F		323
Cunningham	15-19	F	0	3298
Cunningham	15-19	F	1	1223
Cunningham	15-19	M		319
Cunningham	15-19	M	0	3682
Cunningham	15-19	M	1	1049
Cunningham	20-24	F		379
Cunningham	20-24	F	0	4182
Cunningham	20-24	F	1	1456
Cunningham	20-24	M		395
Cunningham	20-24	M	0	5135
Cunningham	20-24	M	1	1153
Cunningham	25-34	F		592
Cunningham	25-34	F	0	7602
Cunningham	25-34	F	1	1796
Cunningham	25-34	M		685
Cunningham	25-34	M	0	8148
Cunningham	25-34	M	1	1440
Cunningham	35-44	F		458
Cunningham	35-44	F	0	6896
Cunningham	35-44	F	1	2675
Cunningham	35-44	M		559
Cunningham	35-44	M	0	7296
Cunningham	35-44	M	1	1932
Cunningham	45-54	F		509
Cunningham	45-54	F	0	7151
Cunningham	45-54	F	1	2507
Cunningham	45-54	M		578
Cunningham	45-54	M	0	7335
Cunningham	45-54	M	1	2108
Cunningham	55-64	F		528
Cunningham	55-64	F	0	7030
Cunningham	55-64	F	1	1918
Cunningham	55-64	M		553
Cunningham	55-64	M	0	6692
Cunningham	55-64	M	1	1676
Cunningham	65-74	F		602
Cunningham	65-74	F	0	4972
Cunningham	65-74	F	1	1616
Cunningham	65-74	M		524
Cunningham	65-74	M	0	4732
Cunningham	65-74	M	1	1441
Cunningham	75-84	F		581
Cunningham	75-84	F	0	3633
Cunningham	75-84	F	1	681
Cunningham	75-84	M		442
Cunningham	75-84	M	0	3005
Cunningham	75-84	M	1	554
Cunningham	85+	F		413
Cunningham	85+	F	0	2111
Cunningham	85+	F	1	147
Cunningham	85+	M		209
Cunningham	85+	M	0	1215
Cunningham	85+	M	1	110
Dobell	15-19	F		389
Dobell	15-19	F	0	3636
Dobell	15-19	F	1	759
Dobell	15-19	M		395
Dobell	15-19	M	0	3865
Dobell	15-19	M	1	699
Dobell	20-24	F		276
Dobell	20-24	F	0	3508
Dobell	20-24	F	1	700
Dobell	20-24	M		294
Dobell	20-24	M	0	3632
Dobell	20-24	M	1	522
Dobell	25-34	F		467
Dobell	25-34	F	0	7014
Dobell	25-34	F	1	1352
Dobell	25-34	M		555
Dobell	25-34	M	0	6865
Dobell	25-34	M	1	928
Dobell	35-44	F		526
Dobell	35-44	F	0	6921
Dobell	35-44	F	1	2299
Dobell	35-44	M		529
Dobell	35-44	M	0	6931
Dobell	35-44	M	1	1502
Dobell	45-54	F		618
Dobell	45-54	F	0	7694
Dobell	45-54	F	1	2073
Dobell	45-54	M		630
Dobell	45-54	M	0	7520
Dobell	45-54	M	1	1621
Dobell	55-64	F		679
Dobell	55-64	F	0	7646
Dobell	55-64	F	1	1757
Dobell	55-64	M		640
Dobell	55-64	M	0	6989
Dobell	55-64	M	1	1372
Dobell	65-74	F		798
Dobell	65-74	F	0	6022
Dobell	65-74	F	1	1600
Dobell	65-74	M		668
Dobell	65-74	M	0	5559
Dobell	65-74	M	1	1257
Dobell	75-84	F		870
Dobell	75-84	F	0	3765
Dobell	75-84	F	1	703
Dobell	75-84	M		623
Dobell	75-84	M	0	3070
Dobell	75-84	M	1	571
Dobell	85+	F		771
Dobell	85+	F	0	2139
Dobell	85+	F	1	132
Dobell	85+	M		392
Dobell	85+	M	0	1264
Dobell	85+	M	1	101
Eden-Monaro	15-19	F		482
Eden-Monaro	15-19	F	0	2713
Eden-Monaro	15-19	F	1	984
Eden-Monaro	15-19	M		549
Eden-Monaro	15-19	M	0	3037
Eden-Monaro	15-19	M	1	832
Eden-Monaro	20-24	F		306
