CED_NAME16	Age5yr	ChildrenEverBorn	females
Banks	15-19		511
Banks	15-19	0	4064
Banks	15-19	1	14
Banks	15-19	3	3
Banks	20-24		446
Banks	20-24	0	4437
Banks	20-24	1	188
Banks	20-24	2	51
Banks	20-24	3	8
Banks	20-24	4	3
Banks	25-29		441
Banks	25-29	0	4156
Banks	25-29	1	771
Banks	25-29	2	357
Banks	25-29	3	113
Banks	25-29	4	20
Banks	25-29	5	5
Banks	25-29	6	4
Banks	30-34		347
Banks	30-34	0	2292
Banks	30-34	1	1449
Banks	30-34	2	1287
Banks	30-34	3	311
Banks	30-34	4	86
Banks	30-34	5	17
Banks	30-34	6	18
Banks	35-39		263
Banks	35-39	0	1181
Banks	35-39	1	1055
Banks	35-39	2	1898
Banks	35-39	3	704
Banks	35-39	4	182
Banks	35-39	5	34
Banks	35-39	6	30
Banks	40-44		242
Banks	40-44	0	874
Banks	40-44	1	900
Banks	40-44	2	2166
Banks	40-44	3	908
Banks	40-44	4	254
Banks	40-44	5	80
Banks	40-44	6	31
Banks	45-49		273
Banks	45-49	0	767
Banks	45-49	1	914
Banks	45-49	2	2075
Banks	45-49	3	943
Banks	45-49	4	268
Banks	45-49	5	80
Banks	45-49	6	39
Banks	50-54		269
Banks	50-54	0	785
Banks	50-54	1	961
Banks	50-54	2	2100
Banks	50-54	3	911
Banks	50-54	4	333
Banks	50-54	5	71
Banks	50-54	6	48
Banks	55-59		275
Banks	55-59	0	693
Banks	55-59	1	1082
Banks	55-59	2	1837
Banks	55-59	3	908
Banks	55-59	4	312
Banks	55-59	5	90
Banks	55-59	6	55
Banks	60-64		222
Banks	60-64	0	590
Banks	60-64	1	837
Banks	60-64	2	1507
Banks	60-64	3	833
Banks	60-64	4	315
Banks	60-64	5	102
Banks	60-64	6	63
Banks	65-69		215
Banks	65-69	0	401
Banks	65-69	1	508
Banks	65-69	2	1425
Banks	65-69	3	758
Banks	65-69	4	315
Banks	65-69	5	76
Banks	65-69	6	57
Banks	70-74		179
Banks	70-74	0	296
Banks	70-74	1	303
Banks	70-74	2	1058
Banks	70-74	3	656
Banks	70-74	4	254
Banks	70-74	5	58
Banks	70-74	6	53
Banks	75-79		184
Banks	75-79	0	172
