CED_NAME16	Age	HoursHousekeeping	Sex	adults
Banks	15-19		F	275
Banks	15-19		M	286
Banks	15-19	0	F	1772
Banks	15-19	0	M	2284
Banks	15-19	<5	F	1984
Banks	15-19	<5	M	1888
Banks	15-19	5-14	F	476
Banks	15-19	5-14	M	337
Banks	15-19	15-29	F	61
Banks	15-19	15-29	M	27
Banks	15-19	30+	F	16
Banks	15-19	30+	M	15
Banks	20-24		F	282
Banks	20-24		M	285
Banks	20-24	0	F	1734
Banks	20-24	0	M	2562
Banks	20-24	<5	F	1945
Banks	20-24	<5	M	1960
Banks	20-24	5-14	F	903
Banks	20-24	5-14	M	632
Banks	20-24	15-29	F	172
Banks	20-24	15-29	M	77
Banks	20-24	30+	F	106
Banks	20-24	30+	M	28
Banks	25-34		F	649
Banks	25-34		M	666
Banks	25-34	0	F	2648
Banks	25-34	0	M	3946
Banks	25-34	<5	F	2797
Banks	25-34	<5	M	3830
Banks	25-34	5-14	F	2983
Banks	25-34	5-14	M	2313
Banks	25-34	15-29	F	1194
Banks	25-34	15-29	M	406
Banks	25-34	30+	F	1416
Banks	25-34	30+	M	172
Banks	35-44		F	494
Banks	35-44		M	501
Banks	35-44	0	F	1443
Banks	35-44	0	M	2385
Banks	35-44	<5	F	1374
Banks	35-44	<5	M	3090
Banks	35-44	5-14	F	3115
Banks	35-44	5-14	M	2966
Banks	35-44	15-29	F	2083
Banks	35-44	15-29	M	649
Banks	35-44	30+	F	2290
Banks	35-44	30+	M	296
Banks	45-54		F	550
Banks	45-54		M	522
Banks	45-54	0	F	1637
Banks	45-54	0	M	2527
Banks	45-54	<5	F	1272
Banks	45-54	<5	M	2912
Banks	45-54	5-14	F	3341
Banks	45-54	5-14	M	2936
Banks	45-54	15-29	F	2335
Banks	45-54	15-29	M	778
Banks	45-54	30+	F	1709
Banks	45-54	30+	M	281
Banks	55-64		F	503
Banks	55-64		M	497
Banks	55-64	0	F	1704
Banks	55-64	0	M	2456
Banks	55-64	<5	F	1104
Banks	55-64	<5	M	2243
Banks	55-64	5-14	F	2839
Banks	55-64	5-14	M	2657
Banks	55-64	15-29	F	2025
Banks	55-64	15-29	M	782
Banks	55-64	30+	F	1545
Banks	55-64	30+	M	355
Banks	65-74		F	471
Banks	65-74		M	415
Banks	65-74	0	F	1493
Banks	65-74	0	M	1838
Banks	65-74	<5	F	561
Banks	65-74	<5	M	1093
Banks	65-74	5-14	F	1505
Banks	65-74	5-14	M	1602
Banks	65-74	15-29	F	1414
Banks	65-74	15-29	M	749
Banks	65-74	30+	F	1171
Banks	65-74	30+	M	371
Banks	75-84		F	467
Banks	75-84		M	376
Banks	75-84	0	F	1434
Banks	75-84	0	M	1273
Banks	75-84	<5	F	453
Banks	75-84	<5	M	524
Banks	75-84	5-14	F	836
Banks	75-84	5-14	M	749
Banks	75-84	15-29	F	704
Banks	75-84	15-29	M	402
Banks	75-84	30+	F	648
Banks	75-84	30+	M	272
Banks	85+		F	360
Banks	85+		M	205
Banks	85+	0	F	1380
Banks	85+	0	M	704
Banks	85+	<5	F	301
Banks	85+	<5	M	184
Banks	85+	5-14	F	377
Banks	85+	5-14	M	215
Banks	85+	15-29	F	190
Banks	85+	15-29	M	126
Banks	85+	30+	F	126
Banks	85+	30+	M	85
Barton	15-19		F	279
Barton	15-19		M	335
Barton	15-19	0	F	1873
Barton	15-19	0	M	2307
Barton	15-19	<5	F	1727
Barton	15-19	<5	M	1576
Barton	15-19	5-14	F	473
Barton	15-19	5-14	M	346
Barton	15-19	15-29	F	49
Barton	15-19	15-29	M	27
Barton	15-19	30+	F	30
Barton	15-19	30+	M	14
Barton	20-24		F	481
Barton	20-24		M	505
Barton	20-24	0	F	2593
Barton	20-24	0	M	3402
Barton	20-24	<5	F	2114
Barton	20-24	<5	M	2093
Barton	20-24	5-14	F	1150
Barton	20-24	5-14	M	776
Barton	20-24	15-29	F	229
Barton	20-24	15-29	M	117
Barton	20-24	30+	F	155
Barton	20-24	30+	M	37
Barton	25-34		F	1232
Barton	25-34		M	1290
Barton	25-34	0	F	4601
Barton	25-34	0	M	6445
Barton	25-34	<5	F	4132
Barton	25-34	<5	M	5589
Barton	25-34	5-14	F	4263
Barton	25-34	5-14	M	3449
Barton	25-34	15-29	F	1590
Barton	25-34	15-29	M	565
Barton	25-34	30+	F	1589
Barton	25-34	30+	M	217
Barton	35-44		F	801
Barton	35-44		M	907
Barton	35-44	0	F	2049
Barton	35-44	0	M	3344
Barton	35-44	<5	F	1796
Barton	35-44	<5	M	3784
Barton	35-44	5-14	F	3442
Barton	35-44	5-14	M	3343
Barton	35-44	15-29	F	1984
Barton	35-44	15-29	M	756
Barton	35-44	30+	F	2183
Barton	35-44	30+	M	293
Barton	45-54		F	667
Barton	45-54		M	683
Barton	45-54	0	F	1838
Barton	45-54	0	M	2866
Barton	45-54	<5	F	1417
Barton	45-54	<5	M	2856
Barton	45-54	5-14	F	3285
Barton	45-54	5-14	M	2861
Barton	45-54	15-29	F	2025
Barton	45-54	15-29	M	707
Barton	45-54	30+	F	1589
Barton	45-54	30+	M	264
Barton	55-64		F	560
Barton	55-64		M	604
Barton	55-64	0	F	1903
Barton	55-64	0	M	2549
Barton	55-64	<5	F	1083
Barton	55-64	<5	M	2025
Barton	55-64	5-14	F	2434
Barton	55-64	5-14	M	2120
Barton	55-64	15-29	F	1627
Barton	55-64	15-29	M	664
Barton	55-64	30+	F	1303
Barton	55-64	30+	M	310
Barton	65-74		F	544
Barton	65-74		M	488
Barton	65-74	0	F	1634
Barton	65-74	0	M	2089
Barton	65-74	<5	F	618
Barton	65-74	<5	M	1100
Barton	65-74	5-14	F	1411
Barton	65-74	5-14	M	1372
Barton	65-74	15-29	F	1134
Barton	65-74	15-29	M	575
Barton	65-74	30+	F	1056
Barton	65-74	30+	M	289
Barton	75-84		F	528
Barton	75-84		M	450
Barton	75-84	0	F	1470
Barton	75-84	0	M	1507
Barton	75-84	<5	F	499
Barton	75-84	<5	M	589
Barton	75-84	5-14	F	854
