CED_NAME16	Age	UsualResidence	persons
Banks	0-14	Home	27006
Banks	0-14	Visitor from NSW	336
Banks	0-14	Visitor from QLD	8
Banks	0-14	Visitor from VIC	4
Banks	0-14	Visitor from WA	3
Banks	0-14	Visitor same SA2	10
Banks	15-24	Home	19627
Banks	15-24	Visitor from ACT	3
Banks	15-24	Visitor from NSW	402
Banks	15-24	Visitor from QLD	4
Banks	15-24	Visitor from SA	3
Banks	15-24	Visitor from VIC	4
Banks	15-24	Visitor from WA	3
Banks	15-24	Visitor same SA2	13
Banks	25-34	Home	22278
Banks	25-34	Visitor from ACT	17
Banks	25-34	Visitor from NSW	579
Banks	25-34	Visitor from NT	3
Banks	25-34	Visitor from QLD	18
Banks	25-34	Visitor from VIC	14
Banks	25-34	Visitor from WA	6
Banks	25-34	Visitor same SA2	11
Banks	35-44	Home	20182
Banks	35-44	Visitor from ACT	3
Banks	35-44	Visitor from NSW	353
Banks	35-44	Visitor from QLD	7
Banks	35-44	Visitor from TAS	3
Banks	35-44	Visitor from VIC	10
Banks	35-44	Visitor from WA	3
Banks	35-44	Visitor same SA2	11
Banks	45-54	Home	20247
Banks	45-54	Visitor from ACT	4
Banks	45-54	Visitor from NSW	316
Banks	45-54	Visitor from QLD	13
Banks	45-54	Visitor from SA	3
Banks	45-54	Visitor from VIC	14
Banks	45-54	Visitor from WA	3
Banks	45-54	Visitor same SA2	12
Banks	55-64	Home	18068
Banks	55-64	Visitor from ACT	4
Banks	55-64	Visitor from NSW	300
Banks	55-64	Visitor from QLD	17
Banks	55-64	Visitor from SA	3
Banks	55-64	Visitor from VIC	12
Banks	55-64	Visitor from WA	7
Banks	55-64	Visitor same SA2	18
Banks	65-74	Home	12164
Banks	65-74	Visitor from NSW	212
Banks	65-74	Visitor from QLD	16
Banks	65-74	Visitor from SA	8
Banks	65-74	Visitor from VIC	3
Banks	65-74	Visitor same SA2	19
Banks	75-84	Home	7809
Banks	75-84	Visitor from NSW	160
Banks	75-84	Visitor from QLD	4
Banks	75-84	Visitor from VIC	3
Banks	75-84	Visitor from WA	5
Banks	75-84	Visitor same SA2	19
Banks	85+	Home	4041
Banks	85+	Visitor from NSW	73
Banks	85+	Visitor same SA2	16
Barton	0-14	Home	27103
Barton	0-14	Visitor from NSW	428
Barton	0-14	Visitor from QLD	4
Barton	0-14	Visitor from VIC	3
Barton	0-14	Visitor from WA	4
Barton	0-14	Visitor same SA2	19
Barton	15-24	Home	22024
Barton	15-24	Visitor from NSW	496
Barton	15-24	Visitor from NT	4
Barton	15-24	Visitor from QLD	27
Barton	15-24	Visitor from SA	3
Barton	15-24	Visitor from VIC	8
Barton	15-24	Visitor from WA	9
Barton	15-24	Visitor same SA2	36
Barton	25-34	Home	33830
Barton	25-34	Visitor from ACT	9
Barton	25-34	Visitor from NSW	883
Barton	25-34	Visitor from NT	5
Barton	25-34	Visitor from QLD	38
Barton	25-34	Visitor from SA	21
Barton	25-34	Visitor from VIC	58
Barton	25-34	Visitor from WA	19
Barton	25-34	Visitor same SA2	51
Barton	35-44	Home	24001
Barton	35-44	Visitor from ACT	29
Barton	35-44	Visitor from NSW	524
Barton	35-44	Visitor from QLD	26
Barton	35-44	Visitor from SA	13
Barton	35-44	Visitor from TAS	9
Barton	35-44	Visitor from VIC	24
Barton	35-44	Visitor from WA	10
Barton	35-44	Visitor same SA2	19
Barton	45-54	Home	20458
Barton	45-54	Visitor from ACT	10
Barton	45-54	Visitor from NSW	485
Barton	45-54	Visitor from NT	3
Barton	45-54	Visitor from QLD	39
Barton	45-54	Visitor from SA	8
Barton	45-54	Visitor from TAS	3
Barton	45-54	Visitor from VIC	35
Barton	45-54	Visitor from WA	9
Barton	45-54	Visitor same SA2	31
Barton	55-64	Home	16719
Barton	55-64	Visitor from ACT	7
Barton	55-64	Visitor from NSW	455
Barton	55-64	Visitor from NT	7
Barton	55-64	Visitor from QLD	20
Barton	55-64	Visitor from SA	10
Barton	55-64	Visitor from VIC	17
Barton	55-64	Visitor from WA	4
Barton	55-64	Visitor same SA2	20
Barton	65-74	Home	11904
Barton	65-74	Visitor from ACT	8
Barton	65-74	Visitor from NSW	450
Barton	65-74	Visitor from QLD	12
Barton	65-74	Visitor from SA	17
Barton	65-74	Visitor from TAS	7
Barton	65-74	Visitor from VIC	12
Barton	65-74	Visitor same SA2	23
Barton	75-84	Home	8090
Barton	75-84	Visitor from NSW	332
Barton	75-84	Visitor from SA	3
Barton	75-84	Visitor from VIC	3
Barton	75-84	Visitor same SA2	15
