CED_NAME16	medianMortgageRepayment
Banks	26004
Barton	26004
Bennelong	26484
Berowra	30000
Blaxland	23400
Bradfield	33600
Calare	18720
Chifley	23520
Cook	30000
Cowper	18204
Cunningham	24000
Dobell	20796
Eden-Monaro	20796
Farrer	15600
Fowler	20796
Gilmore	18204
Grayndler	31200
Greenway	26400
Hughes	28596
Hume	24000
Hunter	20796
Kingsford Smith	30240
Lindsay	24000
Lyne	18204
Macarthur	23400
Mackellar	32400
Macquarie	23400
McMahon	24000
Mitchell	30000
New England	16380
Newcastle	21600
North Sydney	32400
Page	16644
Parkes	15600
Parramatta	24000
Paterson	20160
Reid	27600
Richmond	20796
Riverina	15600
Robertson	22800
Shortland	20796
Sydney	30000
Warringah	35640
Watson	24000
Wentworth	36000
Werriwa	24960
Whitlam	21600
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Aston	21000
Ballarat	16896
Batman	23400
Bendigo	16800
Bruce	20796
Calwell	19200
Casey	20796
Chisholm	24000
Corangamite	19500
Corio	17940
Deakin	22800
Dunkley	20400
Flinders	20400
Gellibrand	23400
Gippsland	15600
Goldstein	28800
Gorton	20400
Higgins	26400
Holt	20796
Hotham	23400
Indi	15600
Isaacs	21600
Jagajaga	24000
Kooyong	30000
La Trobe	21576
Lalor	20796
Mallee	12996
Maribyrnong	21600
McEwen	20880
McMillan	18000
Melbourne	24000
Melbourne Ports	26004
Menzies	24000
Murray	15600
Scullin	20796
Wannon	14304
Wills	23400
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Blair	18204
Bonner	24180
Bowman	23400
Brisbane	26004
Capricornia	20796
Dawson	21240
Dickson	22752
Fadden	23280
Fairfax	20880
Fisher	21960
Flynn	20796
Forde	21324
Griffith	26004
Groom	18420
Herbert	20796
Hinkler	16800
Kennedy	18132
Leichhardt	20172
Lilley	23400
Longman	20796
Maranoa	15600
McPherson	23136
Moncrieff	21576
Moreton	23400
Oxley	20796
Petrie	21600
Rankin	20640
Ryan	26004
Wide Bay	16716
Wright	21840
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	
Adelaide	20796
Barker	13200
Boothby	20796
Grey	13200
Hindmarsh	20796
Kingston	16896
Makin	18000
Mayo	18204
Port Adelaide	17520
Sturt	20796
Wakefield	15600
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Brand	23400
Burt	22800
Canning	23400
Cowan	23916
Curtin	30000
Durack	20796
Forrest	21084
Fremantle	25200
Hasluck	23400
Moore	25200
O'Connor	18204
Pearce	24912
Perth	24504
Stirling	23832
Swan	24000
Tangney	25704
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	
Bass	15600
Braddon	13836
Denison	16896
Franklin	17400
Lyons	14400
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Lingiari	24072
Solomon	26004
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Canberra	24696
Fenner	24696
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
