CED_NAME16	PrivateDwelling	persons
Banks	0	6359
Banks	1	148146
Barton	0	11826
Barton	1	161163
Bennelong	0	9613
Bennelong	1	158982
Berowra	0	5515
Berowra	1	137775
Blaxland	0	10989
Blaxland	1	163490
Bradfield	0	8230
Bradfield	1	150760
Calare	0	18485
Calare	1	141751
Chifley	0	9054
Chifley	1	161791
Cook	0	7279
Cook	1	130200
Cowper	0	17660
Cowper	1	144111
Cunningham	0	11181
Cunningham	1	142878
Dobell	0	9819
Dobell	1	142324
Eden-Monaro	0	27275
Eden-Monaro	1	132065
Farrer	0	18965
Farrer	1	144619
Fowler	0	10954
Fowler	1	153425
Gilmore	0	13436
Gilmore	1	134535
Grayndler	0	13494
Grayndler	1	133957
Greenway	0	7400
Greenway	1	161617
Hughes	0	5686
Hughes	1	136913
Hume	0	9690
Hume	1	139546
Hunter	0	12618
Hunter	1	142762
Kingsford Smith	0	19738
Kingsford Smith	1	157407
Lindsay	0	10794
Lindsay	1	155053
Lyne	0	11601
Lyne	1	132493
Macarthur	0	8490
Macarthur	1	153089
Mackellar	0	8009
Mackellar	1	137778
Macquarie	0	9406
Macquarie	1	130804
McMahon	0	7626
McMahon	1	157299
Mitchell	0	4510
Mitchell	1	147821
New England	0	17905
New England	1	135728
Newcastle	0	11395
Newcastle	1	140576
North Sydney	0	14144
North Sydney	1	147254
Page	0	16770
Page	1	144338
Parkes	0	21663
Parkes	1	135087
Parramatta	0	16193
Parramatta	1	172361
Paterson	0	10343
Paterson	1	143539
Reid	0	15087
Reid	1	165631
Richmond	0	18766
Richmond	1	137675
Riverina	0	17144
Riverina	1	138351
Robertson	0	8629
Robertson	1	132904
Shortland	0	5581
Shortland	1	136105
Sydney	0	51515
Sydney	1	166150
Warringah	0	9837
Warringah	1	135186
Watson	0	10095
Watson	1	163951
Wentworth	0	17649
Wentworth	1	127187
Werriwa	0	8857
Werriwa	1	161639
Whitlam	0	8569
Whitlam	1	141670
Migratory - Offshore - Shipping (NSW)	0	3279
Aston	0	5367
Aston	1	129036
Ballarat	0	12045
Ballarat	1	140061
Batman	0	12810
Batman	1	147610
Bendigo	0	12627
Bendigo	1	135448
Bruce	0	10078
Bruce	1	146343
Calwell	0	9496
Calwell	1	155829
Casey	0	6684
Casey	1	133102
Chisholm	0	12788
Chisholm	1	151144
Corangamite	0	10598
Corangamite	1	138020
Corio	0	11945
Corio	1	135546
Deakin	0	7116
Deakin	1	137418
Dunkley	0	9721
Dunkley	1	134240
Flinders	0	11780
Flinders	1	137703
Gellibrand	0	10759
Gellibrand	1	153723
Gippsland	0	14019
Gippsland	1	125639
Goldstein	0	8022
Goldstein	1	136425
Gorton	0	10629
Gorton	1	182797
Higgins	0	11777
Higgins	1	140355
Holt	0	9703
Holt	1	188594
Hotham	0	7109
Hotham	1	142746
Indi	0	21979
Indi	1	124021
Isaacs	0	8235
Isaacs	1	148001
Jagajaga	0	7614
Jagajaga	1	131907
Kooyong	0	9568
Kooyong	1	133361
La Trobe	0	6691
La Trobe	1	147916
Lalor	0	12127
Lalor	1	218137
Mallee	0	13635
Mallee	1	123220
Maribyrnong	0	10229
Maribyrnong	1	155275
McEwen	0	11423
McEwen	1	196439
McMillan	0	11368
McMillan	1	152091
Melbourne	0	45533
Melbourne	1	179598
Melbourne Ports	0	24596
Melbourne Ports	1	139945
Menzies	0	5724
Menzies	1	129448
Murray	0	13235
Murray	1	129112
Scullin	0	7817
Scullin	1	159127
Wannon	0	12180
Wannon	1	118415
Wills	0	10550
Wills	1	157208
Migratory - Offshore - Shipping (Vic.)	0	349
Blair	0	11911
Blair	1	142963
Bonner	0	7478
Bonner	1	139952
Bowman	0	6540
Bowman	1	138134
Brisbane	0	24227
Brisbane	1	144247
Capricornia	0	27810
Capricornia	1	131194
Dawson	0	23475
Dawson	1	136931
Dickson	0	5005
Dickson	1	138698
Fadden	0	13945
Fadden	1	155290
Fairfax	0	13840
Fairfax	1	141278
Fisher	0	14682
Fisher	1	128604
Flynn	0	24568
Flynn	1	137589
Forde	0	9318
Forde	1	154115
Griffith	0	15016
Griffith	1	142545
Groom	0	13061
Groom	1	134755
Herbert	0	19585
Herbert	1	143196
Hinkler	0	16255
Hinkler	1	129107
Kennedy	0	29184
Kennedy	1	137251
Leichhardt	0	39826
Leichhardt	1	154296
Lilley	0	8271
Lilley	1	145508
Longman	0	10719
Longman	1	148453
Maranoa	0	23235
Maranoa	1	131965
McPherson	0	16336
McPherson	1	138580
Moncrieff	0	32539
Moncrieff	1	142221
Moreton	0	8864
Moreton	1	147172
Oxley	0	11566
Oxley	1	149965
Petrie	0	9189
Petrie	1	152123
Rankin	0	9655
Rankin	1	167880
Ryan	0	11243
Ryan	1	142048
Wide Bay	0	19124
Wide Bay	1	130488
Wright	0	12078
Wright	1	143548
Migratory - Offshore - Shipping (Qld)	0	1974
Adelaide	0	20894
Adelaide	1	146473
Barker	0	12428
Barker	1	134681
Boothby	0	8117
Boothby	1	135281
Grey	0	21097
Grey	1	126536
Hindmarsh	0	8791
Hindmarsh	1	140234
Kingston	0	7106
Kingston	1	137770
Makin	0	7075
Makin	1	139907
Mayo	0	8667
Mayo	1	128091
Port Adelaide	0	8379
Port Adelaide	1	155080
Sturt	0	7451
Sturt	1	139532
Wakefield	0	11293
Wakefield	1	155323
Migratory - Offshore - Shipping (SA)	0	219
Brand	0	12498
Brand	1	147245
Burt	0	8542
Burt	1	157488
Canning	0	10084
Canning	1	131488
Cowan	0	5882
Cowan	1	138945
Curtin	0	13796
Curtin	1	127880
Durack	0	86355
Durack	1	143659
Forrest	0	13148
Forrest	1	130604
Fremantle	0	10386
Fremantle	1	135867
Hasluck	0	10053
Hasluck	1	130656
Moore	0	5341
Moore	1	132226
O'Connor	0	25487
O'Connor	1	133954
Pearce	0	12887
Pearce	1	164657
Perth	0	18941
Perth	1	134002
Stirling	0	8837
Stirling	1	136603
Swan	0	16515
Swan	1	144702
Tangney	0	6883
Tangney	1	127327
Migratory - Offshore - Shipping (WA)	0	3668
Bass	0	8922
Bass	1	91000
Braddon	0	6887
Braddon	1	88016
Denison	0	10136
Denison	1	92470
Franklin	0	5985
Franklin	1	95960
Lyons	0	7873
Lyons	1	93266
Migratory - Offshore - Shipping (Tas.)	0	691
Lingiari	0	36696
Lingiari	1	94133
Solomon	0	22064
Solomon	1	99589
Migratory - Offshore - Shipping (NT)	0	252
Canberra	0	23222
Canberra	1	174332
Fenner	0	13196
Fenner	1	187585
Migratory - Offshore - Shipping (ACT)	0	12
Migratory - Offshore - Shipping (OT)	0	19
