CED_NAME16	AgeStudent	Sex	students
Banks	0-4	F	1036
Banks	0-4	M	1143
Banks	5-14	F	8225
Banks	5-14	M	8554
Banks	15-19	F	3922
Banks	15-19	M	3999
Banks	20-24	F	2547
Banks	20-24	M	2688
Banks	25+	F	3638
Banks	25+	M	2660
Barton	0-4	F	1035
Barton	0-4	M	1086
Barton	5-14	F	7598
Barton	5-14	M	8231
Barton	15-19	F	3765
Barton	15-19	M	3778
Barton	20-24	F	3561
Barton	20-24	M	3752
Barton	25+	F	5496
Barton	25+	M	4696
Bennelong	0-4	F	1244
Bennelong	0-4	M	1174
Bennelong	5-14	F	8348
Bennelong	5-14	M	8910
Bennelong	15-19	F	4083
Bennelong	15-19	M	4462
Bennelong	20-24	F	4273
Bennelong	20-24	M	4210
Bennelong	25+	F	5323
Bennelong	25+	M	4058
Berowra	0-4	F	1082
Berowra	0-4	M	1214
Berowra	5-14	F	9416
Berowra	5-14	M	9959
Berowra	15-19	F	4488
Berowra	15-19	M	4824
Berowra	20-24	F	2278
Berowra	20-24	M	2405
Berowra	25+	F	2710
Berowra	25+	M	1766
Blaxland	0-4	F	1200
Blaxland	0-4	M	1258
Blaxland	5-14	F	10091
Blaxland	5-14	M	10745
Blaxland	15-19	F	4465
Blaxland	15-19	M	4517
Blaxland	20-24	F	2893
Blaxland	20-24	M	3290
Blaxland	25+	F	4471
Blaxland	25+	M	3774
Bradfield	0-4	F	1298
Bradfield	0-4	M	1348
Bradfield	5-14	F	10593
Bradfield	5-14	M	11243
Bradfield	15-19	F	5172
Bradfield	15-19	M	5150
Bradfield	20-24	F	2778
Bradfield	20-24	M	2724
Bradfield	25+	F	3770
Bradfield	25+	M	2486
Calare	0-4	F	1180
Calare	0-4	M	1163
Calare	5-14	F	9305
Calare	5-14	M	10034
Calare	15-19	F	3544
Calare	15-19	M	3525
Calare	20-24	F	1454
Calare	20-24	M	1035
Calare	25+	F	3182
Calare	25+	M	1696
Chifley	0-4	F	1235
Chifley	0-4	M	1292
Chifley	5-14	F	11133
Chifley	5-14	M	11924
Chifley	15-19	F	4529
Chifley	15-19	M	4648
Chifley	20-24	F	2169
Chifley	20-24	M	2060
Chifley	25+	F	3658
Chifley	25+	M	2264
Cook	0-4	F	1008
Cook	0-4	M	1154
Cook	5-14	F	7558
Cook	5-14	M	8005
Cook	15-19	F	3296
Cook	15-19	M	3255
Cook	20-24	F	1592
Cook	20-24	M	1562
Cook	25+	F	2408
Cook	25+	M	1564
Cowper	0-4	F	1086
Cowper	0-4	M	1134
Cowper	5-14	F	8559
Cowper	5-14	M	8894
Cowper	15-19	F	3151
Cowper	15-19	M	3199
Cowper	20-24	F	1016
Cowper	20-24	M	683
Cowper	25+	F	3175
Cowper	25+	M	1422
Cunningham	0-4	F	1199
Cunningham	0-4	M	1260
Cunningham	5-14	F	8342
Cunningham	5-14	M	8753
Cunningham	15-19	F	3959
Cunningham	15-19	M	3922
Cunningham	20-24	F	3159
Cunningham	20-24	M	3551
Cunningham	25+	F	3814
Cunningham	25+	M	3231
Dobell	0-4	F	1225
Dobell	0-4	M	1332
Dobell	5-14	F	9124
Dobell	5-14	M	9780
Dobell	15-19	F	3432
Dobell	15-19	M	3406
Dobell	20-24	F	1396
Dobell	20-24	M	1149
Dobell	25+	F	3071
Dobell	25+	M	1441
Eden-Monaro	0-4	F	851
Eden-Monaro	0-4	M	1013
Eden-Monaro	5-14	F	8102
Eden-Monaro	5-14	M	8562
Eden-Monaro	15-19	F	2970
Eden-Monaro	15-19	M	3066
Eden-Monaro	20-24	F	1016
Eden-Monaro	20-24	M	838
Eden-Monaro	25+	F	2889
Eden-Monaro	25+	M	1582
Farrer	0-4	F	1094
Farrer	0-4	M	1156
Farrer	5-14	F	9376
Farrer	5-14	M	9580
Farrer	15-19	F	3479
Farrer	15-19	M	3353
Farrer	20-24	F	1176
Farrer	20-24	M	774
Farrer	25+	F	2659
Farrer	25+	M	1332
Fowler	0-4	F	863
Fowler	0-4	M	925
Fowler	5-14	F	8887
Fowler	5-14	M	9409
Fowler	15-19	F	4520
Fowler	15-19	M	4441
Fowler	20-24	F	2763
Fowler	20-24	M	2522
Fowler	25+	F	3840
Fowler	25+	M	2537
Gilmore	0-4	F	990
Gilmore	0-4	M	1049
Gilmore	5-14	F	7416
Gilmore	5-14	M	7857
Gilmore	15-19	F	2763
Gilmore	15-19	M	2738
Gilmore	20-24	F	787
Gilmore	20-24	M	732
Gilmore	25+	F	2480
Gilmore	25+	M	1128
Grayndler	0-4	F	1019
Grayndler	0-4	M	1007
Grayndler	5-14	F	6310
Grayndler	5-14	M	6830
Grayndler	15-19	F	2132
Grayndler	15-19	M	2260
Grayndler	20-24	F	2603
Grayndler	20-24	M	2313
Grayndler	25+	F	5347
Grayndler	25+	M	3707
Greenway	0-4	F	1500
Greenway	0-4	M	1566
Greenway	5-14	F	11170
Greenway	5-14	M	11979
Greenway	15-19	F	4262
Greenway	15-19	M	4486
Greenway	20-24	F	2096
Greenway	20-24	M	2308
Greenway	25+	F	3753
Greenway	25+	M	2530
Hughes	0-4	F	1362
Hughes	0-4	M	1422
Hughes	5-14	F	9354
Hughes	5-14	M	9773
Hughes	15-19	F	3774
Hughes	15-19	M	3975
Hughes	20-24	F	1820
Hughes	20-24	M	1694
Hughes	25+	F	2629
Hughes	25+	M	1605
Hume	0-4	F	1322
Hume	0-4	M	1313
Hume	5-14	F	9562
Hume	5-14	M	10214
Hume	15-19	F	3545
Hume	15-19	M	3567
Hume	20-24	F	1278
Hume	20-24	M	1055
Hume	25+	F	2554
Hume	25+	M	1211
Hunter	0-4	F	1231
Hunter	0-4	M	1241
Hunter	5-14	F	9169
Hunter	5-14	M	9490
Hunter	15-19	F	3323
Hunter	15-19	M	3349
Hunter	20-24	F	1139
Hunter	20-24	M	939
Hunter	25+	F	2701
Hunter	25+	M	1304
Kingsford Smith	0-4	F	1160
Kingsford Smith	0-4	M	1140
Kingsford Smith	5-14	F	7574
Kingsford Smith	5-14	M	7975
Kingsford Smith	15-19	F	4339
Kingsford Smith	15-19	M	4398
Kingsford Smith	20-24	F	5679
Kingsford Smith	20-24	M	5884
Kingsford Smith	25+	F	5574
Kingsford Smith	25+	M	4809
Lindsay	0-4	F	1403
Lindsay	0-4	M	1521
Lindsay	5-14	F	10410
Lindsay	5-14	M	10699
Lindsay	15-19	F	3815
Lindsay	15-19	M	3891
Lindsay	20-24	F	1698
Lindsay	20-24	M	1503
Lindsay	25+	F	3326
Lindsay	25+	M	1831
Lyne	0-4	F	958
Lyne	0-4	M	976
