CED_NAME16	Ancestry	FatherBornAus	MotherBornAus	responses
Banks				5954
Banks		0	0	765
Banks		0	1	78
Banks		1	0	74
Banks		1	1	376
Banks	Australian			493
Banks	Australian		1	22255
Banks	Australian	0	0	1904
Banks	Australian	0	1	4107
Banks	Australian	1	0	2895
Banks	Australian Aboriginal			5
Banks	Australian Aboriginal	0	0	8
Banks	Australian Aboriginal	0	1	25
Banks	Australian Aboriginal	1	0	12
Banks	Australian Aboriginal	1	1	251
Banks	Chinese			216
Banks	Chinese	0	0	30313
Banks	Chinese	0	1	322
Banks	Chinese	1	0	504
Banks	Chinese	1	1	406
Banks	Croatian			20
Banks	Croatian	0	0	1324
Banks	Croatian	0	1	129
Banks	Croatian	1	0	112
Banks	Croatian	1	1	397
Banks	Dutch			3
Banks	Dutch	0	0	354
Banks	Dutch	0	1	108
Banks	Dutch	1	0	78
Banks	Dutch	1	1	181
Banks	English			502
Banks	English	0	0	6094
Banks	English	0	1	3121
Banks	English	1	0	2094
Banks	English	1	1	19439
Banks	Filipino			30
Banks	Filipino	0	0	2440
Banks	Filipino	0	1	71
Banks	Filipino	1	0	265
Banks	Filipino	1	1	30
Banks	French			11
Banks	French	0	0	334
Banks	French	0	1	59
Banks	French	1	0	39
Banks	French	1	1	221
Banks	German			50
Banks	German	0	0	926
Banks	German	0	1	246
Banks	German	1	0	164
Banks	German	1	1	1467
Banks	Greek			60
Banks	Greek	0	0	5019
Banks	Greek	0	1	826
Banks	Greek	1	0	457
Banks	Greek	1	1	2468
Banks	Hungarian			3
Banks	Hungarian	0	0	327
Banks	Hungarian	0	1	55
Banks	Hungarian	1	0	23
Banks	Hungarian	1	1	71
Banks	Indian			19
Banks	Indian	0	0	3264
Banks	Indian	0	1	83
Banks	Indian	1	0	79
Banks	Indian	1	1	35
Banks	Irish			121
Banks	Irish	0	0	1463
Banks	Irish	0	1	881
Banks	Irish	1	0	571
Banks	Irish	1	1	8217
Banks	Italian			57
Banks	Italian	0	0	2780
Banks	Italian	0	1	788
Banks	Italian	1	0	377
Banks	Italian	1	1	2020
Banks	Korean			3
Banks	Korean	0	0	678
Banks	Korean	0	1	6
Banks	Korean	1	0	37
Banks	Korean	1	1	11
Banks	Lebanese			78
Banks	Lebanese	0	0	4804
Banks	Lebanese	0	1	869
Banks	Lebanese	1	0	423
Banks	Lebanese	1	1	892
Banks	Macedonian			24
Banks	Macedonian	0	0	2762
Banks	Macedonian	0	1	366
Banks	Macedonian	1	0	217
Banks	Macedonian	1	1	612
Banks	Maltese			14
Banks	Maltese	0	0	624
Banks	Maltese	0	1	167
Banks	Maltese	1	0	96
Banks	Maltese	1	1	298
Banks	Maori			23
Banks	Maori	0	0	1008
Banks	Maori	0	1	114
