CED_NAME16	Age	IncomeTotPersonal.max	Sex	adults
Banks	15-19		F	296
Banks	15-19		M	315
Banks	15-19	0	F	2305
Banks	15-19	0	M	2697
Banks	15-19	7875	F	1081
Banks	15-19	7875	M	830
Banks	15-19	15750	F	451
Banks	15-19	15750	M	340
Banks	15-19	21000	F	164
Banks	15-19	21000	M	174
Banks	15-19	26250	F	124
Banks	15-19	26250	M	183
Banks	15-19	34125	F	80
Banks	15-19	34125	M	163
Banks	15-19	42000	F	40
Banks	15-19	42000	M	86
Banks	15-19	52500	F	29
Banks	15-19	52500	M	29
Banks	15-19	65625	F	8
Banks	15-19	65625	M	7
Banks	15-19	78750	F	4
Banks	15-19	78750	M	9
Banks	15-19	91875	M	3
Banks	15-19	Inf	F	4
Banks	15-19	Inf	M	4
Banks	20-24		F	318
Banks	20-24		M	290
Banks	20-24	0	F	903
Banks	20-24	0	M	992
Banks	20-24	7875	F	404
Banks	20-24	7875	M	414
Banks	20-24	15750	F	576
Banks	20-24	15750	M	547
Banks	20-24	21000	F	426
Banks	20-24	21000	M	412
Banks	20-24	26250	F	425
Banks	20-24	26250	M	436
Banks	20-24	34125	F	475
Banks	20-24	34125	M	571
Banks	20-24	42000	F	504
Banks	20-24	42000	M	590
Banks	20-24	52500	F	538
Banks	20-24	52500	M	557
Banks	20-24	65625	F	359
Banks	20-24	65625	M	395
Banks	20-24	78750	F	146
Banks	20-24	78750	M	183
Banks	20-24	91875	F	37
Banks	20-24	91875	M	98
Banks	20-24	105000	F	15
Banks	20-24	105000	M	28
Banks	20-24	157500	F	7
Banks	20-24	157500	M	24
Banks	20-24	Inf	F	7
Banks	20-24	Inf	M	11
Banks	25-34		F	693
Banks	25-34		M	681
Banks	25-34	0	F	1474
Banks	25-34	0	M	788
Banks	25-34	7875	F	303
Banks	25-34	7875	M	131
Banks	25-34	15750	F	599
Banks	25-34	15750	M	340
Banks	25-34	21000	F	573
Banks	25-34	21000	M	386
Banks	25-34	26250	F	620
Banks	25-34	26250	M	524
Banks	25-34	34125	F	934
Banks	25-34	34125	M	663
Banks	25-34	42000	F	1178
Banks	25-34	42000	M	962
Banks	25-34	52500	F	1300
Banks	25-34	52500	M	1476
Banks	25-34	65625	F	1399
Banks	25-34	65625	M	1715
Banks	25-34	78750	F	1054
Banks	25-34	78750	M	1131
Banks	25-34	91875	F	704
Banks	25-34	91875	M	908
Banks	25-34	105000	F	394
Banks	25-34	105000	M	615
Banks	25-34	157500	F	376
Banks	25-34	157500	M	760
Banks	25-34	Inf	F	92
Banks	25-34	Inf	M	247
Banks	35-44		F	530
Banks	35-44		M	527
Banks	35-44	0	F	1143
Banks	35-44	0	M	307
Banks	35-44	7875	F	384
Banks	35-44	7875	M	57
Banks	35-44	15750	F	640
Banks	35-44	15750	M	244
Banks	35-44	21000	F	523
Banks	35-44	21000	M	250
Banks	35-44	26250	F	581
Banks	35-44	26250	M	292
Banks	35-44	34125	F	879
Banks	35-44	34125	M	368
Banks	35-44	42000	F	945
Banks	35-44	42000	M	692
Banks	35-44	52500	F	1073
Banks	35-44	52500	M	931
Banks	35-44	65625	F	1093
Banks	35-44	65625	M	1276
Banks	35-44	78750	F	830
Banks	35-44	78750	M	1008
Banks	35-44	91875	F	662
Banks	35-44	91875	M	901
Banks	35-44	105000	F	545
Banks	35-44	105000	M	798
Banks	35-44	157500	F	711
Banks	35-44	157500	M	1434
Banks	35-44	Inf	F	251
Banks	35-44	Inf	M	782
Banks	45-54		F	601
Banks	45-54		M	541
Banks	45-54	0	F	1034
Banks	45-54	0	M	349
Banks	45-54	7875	F	334
Banks	45-54	7875	M	89
Banks	45-54	15750	F	651
Banks	45-54	15750	M	340
Banks	45-54	21000	F	735
Banks	45-54	21000	M	363
Banks	45-54	26250	F	715
Banks	45-54	26250	M	425
Banks	45-54	34125	F	906
Banks	45-54	34125	M	527
Banks	45-54	42000	F	1027
Banks	45-54	42000	M	644
Banks	45-54	52500	F	1113
Banks	45-54	52500	M	1005
Banks	45-54	65625	F	1008
Banks	45-54	65625	M	1184
Banks	45-54	78750	F	736
Banks	45-54	78750	M	852
Banks	45-54	91875	F	667
Banks	45-54	91875	M	879
Banks	45-54	105000	F	487
