CED_NAME16	AustCitizen	Sex	persons
Banks	0	F	15551
Banks	0	M	14554
Banks	1	F	64475
Banks	1	M	61219
Barton	0	F	23956
Barton	0	M	23738
Barton	1	F	63173
Barton	1	M	61982
Bennelong	0	F	22496
Bennelong	0	M	20430
Bennelong	1	F	64084
Bennelong	1	M	61938
Berowra	0	F	9558
Berowra	0	M	8786
Berowra	1	F	64277
Berowra	1	M	62512
Blaxland	0	F	19050
Blaxland	0	M	23350
Blaxland	1	F	66504
Blaxland	1	M	65727
Bradfield	0	F	17460
Bradfield	0	M	15011
Bradfield	1	F	65842
Bradfield	1	M	61937
Calare	0	F	9158
Calare	0	M	10902
Calare	1	F	71504
Calare	1	M	69732
Chifley	0	F	17557
Chifley	0	M	16686
Chifley	1	F	69181
Chifley	1	M	67827
Cook	0	F	8511
Cook	0	M	7801
Cook	1	F	63057
Cook	1	M	59698
Cowper	0	F	9379
Cowper	0	M	9122
Cowper	1	F	72896
Cowper	1	M	67921
Cunningham	0	F	10843
Cunningham	0	M	11354
Cunningham	1	F	67670
Cunningham	1	M	65514
Dobell	0	F	8512
Dobell	0	M	7922
Dobell	1	F	71117
Dobell	1	M	66515
Eden-Monaro	0	F	8659
Eden-Monaro	0	M	9053
Eden-Monaro	1	F	65105
Eden-Monaro	1	M	64719
Farrer	0	F	10579
Farrer	0	M	10627
Farrer	1	F	72218
Farrer	1	M	70553
Fowler	0	F	17544
Fowler	0	M	16525
Fowler	1	F	65751
Fowler	1	M	64411
Gilmore	0	F	8077
Gilmore	0	M	8432
Gilmore	1	F	68189
Gilmore	1	M	65739
Grayndler	0	F	16023
Grayndler	0	M	15951
Grayndler	1	F	60661
Grayndler	1	M	56878
Greenway	0	F	15941
Greenway	0	M	16675
Greenway	1	F	68709
Greenway	1	M	68746
Hughes	0	F	6824
Hughes	0	M	6500
Hughes	1	F	66394
Hughes	1	M	64570
Hume	0	F	7329
Hume	0	M	7717
Hume	1	F	68540
Hume	1	M	67063
Hunter	0	F	7468
Hunter	0	M	8164
Hunter	1	F	71600
Hunter	1	M	69566
Kingsford Smith	0	F	24852
Kingsford Smith	0	M	26625
Kingsford Smith	1	F	64157
Kingsford Smith	1	M	60601
Lindsay	0	F	11670
Lindsay	0	M	11740
Lindsay	1	F	72760
Lindsay	1	M	70360
Lyne	0	F	6872
Lyne	0	M	6618
Lyne	1	F	67336
Lyne	1	M	64651
Macarthur	0	F	12449
Macarthur	0	M	11776
Macarthur	1	F	69795
Macarthur	1	M	68000
Mackellar	0	F	11011
Mackellar	0	M	10143
Mackellar	1	F	65080
Mackellar	1	M	62380
