CED_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
Banks		0	130
Banks		3937	3
Banks		5250	7
Banks		7875	7
Banks		10500	3
Banks		11812	3
Banks		14437	8
Banks		18375	8
Banks		23625	9
Banks		28875	4
Banks	(Other)	0	14
Banks	(Other)	5250	19
Banks	(Other)	7875	18
Banks	(Other)	10500	7
Banks	(Other)	11812	43
Banks	(Other)	14437	20
Banks	(Other)	18375	32
Banks	(Other)	23625	35
Banks	(Other)	28875	32
Banks	(Other)	34125	6
Banks	(Other)	39375	3
Banks	Co-op/church group etc	0	29
Banks	Co-op/church group etc	3937	20
Banks	Co-op/church group etc	5250	72
Banks	Co-op/church group etc	7875	92
Banks	Co-op/church group etc	10500	36
Banks	Co-op/church group etc	11812	42
Banks	Co-op/church group etc	14437	27
Banks	Co-op/church group etc	18375	23
Banks	Co-op/church group etc	23625	12
Banks	Co-op/church group etc	28875	7
Banks	Person not in same household	0	211
Banks	Person not in same household	3937	8
Banks	Person not in same household	5250	32
Banks	Person not in same household	7875	78
Banks	Person not in same household	10500	90
Banks	Person not in same household	11812	105
Banks	Person not in same household	14437	216
Banks	Person not in same household	18375	489
Banks	Person not in same household	23625	428
Banks	Person not in same household	28875	203
Banks	Person not in same household	34125	86
Banks	Person not in same household	39375	35
Banks	Person not in same household	44625	7
Banks	Person not in same household	49875	8
Banks	Real estate agent	0	28
Banks	Real estate agent	5250	14
Banks	Real estate agent	7875	28
Banks	Real estate agent	10500	49
Banks	Real estate agent	11812	111
Banks	Real estate agent	14437	506
Banks	Real estate agent	18375	3247
Banks	Real estate agent	23625	3281
Banks	Real estate agent	28875	1540
Banks	Real estate agent	34125	676
Banks	Real estate agent	39375	195
Banks	Real estate agent	44625	47
Banks	Real estate agent	49875	58
Banks	State or territory housing authority	0	179
Banks	State or territory housing authority	3937	162
Banks	State or territory housing authority	5250	1383
Banks	State or territory housing authority	7875	608
Banks	State or territory housing authority	10500	324
Banks	State or territory housing authority	11812	251
Banks	State or territory housing authority	14437	207
Banks	State or territory housing authority	18375	164
Banks	State or territory housing authority	23625	81
Banks	State or territory housing authority	28875	12
Banks	State or territory housing authority	34125	3
Banks	State or territory housing authority	49875	3
Barton		0	166
Barton		5250	5
Barton		7875	5
Barton		10500	3
Barton		14437	7
Barton		18375	14
Barton		23625	11
Barton		28875	12
Barton	(Other)	0	22
Barton	(Other)	5250	7
Barton	(Other)	7875	15
Barton	(Other)	10500	12
Barton	(Other)	11812	46
Barton	(Other)	14437	43
Barton	(Other)	18375	69
Barton	(Other)	23625	66
Barton	(Other)	28875	40
Barton	(Other)	34125	16
Barton	(Other)	39375	5
Barton	(Other)	44625	3
Barton	(Other)	49875	5
Barton	Co-op/church group etc	0	27
Barton	Co-op/church group etc	3937	10
Barton	Co-op/church group etc	5250	44
Barton	Co-op/church group etc	7875	71
Barton	Co-op/church group etc	10500	29
