CED_NAME16	Age	persons
Banks	0-4	9442
Banks	5-14	17970
Banks	15-19	9428
Banks	20-24	10685
Banks	25-34	23016
Banks	35-44	20678
Banks	45-54	20792
Banks	55-64	18700
Banks	65-74	12691
Banks	75-84	8149
Banks	85+	4255
Barton	0-4	10311
Barton	5-14	17259
Barton	15-19	9037
Barton	20-24	13658
Barton	25-34	34970
Barton	35-44	24681
Barton	45-54	21059
Barton	55-64	17188
Barton	65-74	12313
Barton	75-84	8387
Barton	85+	3995
Bennelong	0-4	10213
Bennelong	5-14	18184
Bennelong	15-19	9621
Bennelong	20-24	13511
Bennelong	25-34	28675
Bennelong	35-44	24430
Bennelong	45-54	21575
Bennelong	55-64	18521
Bennelong	65-74	12216
Bennelong	75-84	7775
Bennelong	85+	4224
Berowra	0-4	7743
Berowra	5-14	20254
Berowra	15-19	10565
Berowra	20-24	8901
Berowra	25-34	12722
Berowra	35-44	19177
Berowra	45-54	22123
Berowra	55-64	18983
Berowra	65-74	13779
Berowra	75-84	7236
Berowra	85+	3645
Blaxland	0-4	13427
Blaxland	5-14	23462
Blaxland	15-19	11308
Blaxland	20-24	14140
Blaxland	25-34	30490
Blaxland	35-44	22447
Blaxland	45-54	20595
Blaxland	55-64	17678
Blaxland	65-74	11348
Blaxland	75-84	6474
Blaxland	85+	3267
Bradfield	0-4	9031
Bradfield	5-14	22851
Bradfield	15-19	11445
Bradfield	20-24	9077
Bradfield	25-34	16933
Bradfield	35-44	22375
Bradfield	45-54	23647
Bradfield	55-64	17601
Bradfield	65-74	13418
Bradfield	75-84	8767
Bradfield	85+	5117
Calare	0-4	10497
Calare	5-14	21531
Calare	15-19	10359
Calare	20-24	9334
Calare	25-34	18848
Calare	35-44	18964
Calare	45-54	21264
Calare	55-64	20600
Calare	65-74	17178
Calare	75-84	9101
Calare	85+	3617
Chifley	0-4	13609
Chifley	5-14	25619
Chifley	15-19	12553
Chifley	20-24	12584
Chifley	25-34	26077
Chifley	35-44	23514
Chifley	45-54	21123
Chifley	55-64	17517
Chifley	65-74	11451
Chifley	75-84	5231
Chifley	85+	1980
Cook	0-4	8253
Cook	5-14	16632
Cook	15-19	7905
Cook	20-24	7668
Cook	25-34	17161
Cook	35-44	18899
Cook	45-54	19306
Cook	55-64	17006
Cook	65-74	13217
Cook	75-84	8441
Cook	85+	4576
Cowper	0-4	8185
Cowper	5-14	19216
Cowper	15-19	9129
Cowper	20-24	7220
Cowper	25-34	14874
Cowper	35-44	16687
Cowper	45-54	20619
Cowper	55-64	23905
Cowper	65-74	21518
Cowper	75-84	12372
Cowper	85+	5595
Cunningham	0-4	8904
Cunningham	5-14	18244
Cunningham	15-19	9886
Cunningham	20-24	12683
Cunningham	25-34	20262
Cunningham	35-44	19810
Cunningham	45-54	20198
Cunningham	55-64	18403
Cunningham	65-74	13888
Cunningham	75-84	8895
Cunningham	85+	4206
Dobell	0-4	9414
Dobell	5-14	20542
Dobell	15-19	9744
Dobell	20-24	8927
Dobell	25-34	17179
Dobell	35-44	18712
Dobell	45-54	20162
Dobell	55-64	19082
Dobell	65-74	15900
Dobell	75-84	9592
Dobell	85+	4809
Eden-Monaro	0-4	8177
Eden-Monaro	5-14	18454
Eden-Monaro	15-19	8591
Eden-Monaro	20-24	7100
Eden-Monaro	25-34	15739
Eden-Monaro	35-44	17886
Eden-Monaro	45-54	21977
Eden-Monaro	55-64	21968
Eden-Monaro	65-74	16469
Eden-Monaro	75-84	7961
Eden-Monaro	85+	3218
Farrer	0-4	10127
Farrer	5-14	21264
Farrer	15-19	10144
Farrer	20-24	9016
Farrer	25-34	18339
Farrer	35-44	18478
Farrer	45-54	21197
Farrer	55-64	22380
Farrer	65-74	18021
Farrer	75-84	10596
Farrer	85+	4422
Fowler	0-4	10547
Fowler	5-14	20783
Fowler	15-19	11193
Fowler	20-24	12628
Fowler	25-34	23763
Fowler	35-44	21087
Fowler	45-54	22004
Fowler	55-64	20231
Fowler	65-74	12353
Fowler	75-84	6702
Fowler	85+	2947
Gilmore	0-4	7411
Gilmore	5-14	16822
Gilmore	15-19	8053
Gilmore	20-24	6727
Gilmore	25-34	13293
Gilmore	35-44	15207
Gilmore	45-54	18836
Gilmore	55-64	23941
Gilmore	65-74	22881
Gilmore	75-84	12371
Gilmore	85+	4897
Grayndler	0-4	9087
Grayndler	5-14	14225
Grayndler	15-19	5324
Grayndler	20-24	10131
Grayndler	25-34	30183
Grayndler	35-44	26646
Grayndler	45-54	20915
Grayndler	55-64	15134
Grayndler	65-74	10097
Grayndler	75-84	5375
Grayndler	85+	2391
Greenway	0-4	13730
Greenway	5-14	24834
Greenway	15-19	10825
Greenway	20-24	10298
Greenway	25-34	26955
Greenway	35-44	28992
Greenway	45-54	21184
Greenway	55-64	16390
Greenway	65-74	10398
Greenway	75-84	4744
Greenway	85+	1711
Hughes	0-4	9871
Hughes	5-14	20048
Hughes	15-19	9318
Hughes	20-24	8788
Hughes	25-34	17359
Hughes	35-44	20829
Hughes	45-54	20171
Hughes	55-64	17172
Hughes	65-74	12202
Hughes	75-84	5699
Hughes	85+	2827
Hume	0-4	10094
Hume	5-14	21369
Hume	15-19	9927
Hume	20-24	8640
Hume	25-34	18040
