CED_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
Banks					870
Banks	0	0	0	1	3001
Banks	0	0	1	0	828
Banks	0	0	1	1	379
Banks	0	1	0	0	1839
Banks	0	1	0	1	194
Banks	0	1	1	0	401
Banks	0	1	1	1	79
Banks	1	0	0	1	4510
Banks	1	0	1	0	2126
Banks	1	0	1	1	1329
Banks	1	1	0	0	10390
Banks	1	1	0	1	453
Banks	1	1	1	0	1922
Banks	1	1	1	1	294
Barton					1104
Barton	0	0	0	1	3092
Barton	0	0	1	0	819
Barton	0	0	1	1	317
Barton	0	1	0	0	1928
Barton	0	1	0	1	163
Barton	0	1	1	0	335
Barton	0	1	1	1	78
Barton	1	0	0	1	4325
Barton	1	0	1	0	1781
Barton	1	0	1	1	1222
Barton	1	1	0	0	11182
Barton	1	1	0	1	442
Barton	1	1	1	0	1730
Barton	1	1	1	1	272
Bennelong					965
Bennelong	0	0	0	1	2421
Bennelong	0	0	1	0	850
Bennelong	0	0	1	1	269
Bennelong	0	1	0	0	1651
Bennelong	0	1	0	1	93
Bennelong	0	1	1	0	310
Bennelong	0	1	1	1	27
Bennelong	1	0	0	1	4083
Bennelong	1	0	1	0	2563
Bennelong	1	0	1	1	1429
Bennelong	1	1	0	0	12504
Bennelong	1	1	0	1	265
Bennelong	1	1	1	0	1983
Bennelong	1	1	1	1	176
Berowra					380
Berowra	0	0	0	1	1814
Berowra	0	0	1	0	522
Berowra	0	0	1	1	339
Berowra	0	1	0	0	1044
Berowra	0	1	0	1	91
Berowra	0	1	1	0	336
Berowra	0	1	1	1	39
Berowra	1	0	0	1	4662
Berowra	1	0	1	0	2865
Berowra	1	0	1	1	1813
Berowra	1	1	0	0	10508
Berowra	1	1	0	1	355
Berowra	1	1	1	0	2578
Berowra	1	1	1	1	343
Blaxland					982
Blaxland	0	0	0	1	3159
Blaxland	0	0	1	0	774
Blaxland	0	0	1	1	438
Blaxland	0	1	0	0	2449
Blaxland	0	1	0	1	293
Blaxland	0	1	1	0	555
Blaxland	0	1	1	1	183
Blaxland	1	0	0	1	4653
Blaxland	1	0	1	0	1646
Blaxland	1	0	1	1	1400
Blaxland	1	1	0	0	11150
Blaxland	1	1	0	1	654
Blaxland	1	1	1	0	2450
Blaxland	1	1	1	1	628
Bradfield					602
Bradfield	0	0	0	1	1820
Bradfield	0	0	1	0	947
Bradfield	0	0	1	1	285
Bradfield	0	1	0	0	1352
Bradfield	0	1	0	1	60
Bradfield	0	1	1	0	389
Bradfield	0	1	1	1	33
Bradfield	1	0	0	1	3441
Bradfield	1	0	1	0	3307
Bradfield	1	0	1	1	1515
Bradfield	1	1	0	0	13066
Bradfield	1	1	0	1	233
Bradfield	1	1	1	0	2732
Bradfield	1	1	1	1	233
Calare					508
Calare	0	0	0	1	2261
Calare	0	0	1	0	594
Calare	0	0	1	1	198
Calare	0	1	0	0	3100
Calare	0	1	0	1	258
Calare	0	1	1	0	516
Calare	0	1	1	1	94
Calare	1	0	0	1	2903
Calare	1	0	1	0	1188
Calare	1	0	1	1	662
Calare	1	1	0	0	9309
Calare	1	1	0	1	516
Calare	1	1	1	0	1747
Calare	1	1	1	1	293
Chifley					819
Chifley	0	0	0	1	3464
Chifley	0	0	1	0	683
Chifley	0	0	1	1	473
Chifley	0	1	0	0	3565
Chifley	0	1	0	1	542
Chifley	0	1	1	0	669
Chifley	0	1	1	1	244
Chifley	1	0	0	1	4724
Chifley	1	0	1	0	1674
Chifley	1	0	1	1	1525
Chifley	1	1	0	0	11362
Chifley	1	1	0	1	842
Chifley	1	1	1	0	2360
Chifley	1	1	1	1	625
Cook					563
Cook	0	0	0	1	2417
Cook	0	0	1	0	587
Cook	0	0	1	1	277
Cook	0	1	0	0	1634
Cook	0	1	0	1	128
Cook	0	1	1	0	314
Cook	0	1	1	1	31
Cook	1	0	0	1	3789
Cook	1	0	1	0	1649
Cook	1	0	1	1	1235
Cook	1	1	0	0	9266
Cook	1	1	0	1	338
Cook	1	1	1	0	1675
Cook	1	1	1	1	267
Cowper					520
Cowper	0	0	0	1	2765
Cowper	0	0	1	0	717
Cowper	0	0	1	1	246
Cowper	0	1	0	0	3476
Cowper	0	1	0	1	317
Cowper	0	1	1	0	624
Cowper	0	1	1	1	96
Cowper	1	0	0	1	2785
Cowper	1	0	1	0	1097
Cowper	1	0	1	1	537
Cowper	1	1	0	0	7456
Cowper	1	1	0	1	448
Cowper	1	1	1	0	1522
Cowper	1	1	1	1	236
Cunningham					675
Cunningham	0	0	0	1	2685
Cunningham	0	0	1	0	733
Cunningham	0	0	1	1	307
Cunningham	0	1	0	0	2207
Cunningham	0	1	0	1	198
Cunningham	0	1	1	0	468
Cunningham	0	1	1	1	71
Cunningham	1	0	0	1	3496
Cunningham	1	0	1	0	1602
Cunningham	1	0	1	1	1070
Cunningham	1	1	0	0	9402
Cunningham	1	1	0	1	395
Cunningham	1	1	1	0	1616
Cunningham	1	1	1	1	276
Dobell					571
Dobell	0	0	0	1	3048
Dobell	0	0	1	0	686
Dobell	0	0	1	1	314
Dobell	0	1	0	0	3235
Dobell	0	1	0	1	372
Dobell	0	1	1	0	574
Dobell	0	1	1	1	124
Dobell	1	0	0	1	3548
Dobell	1	0	1	0	1217
Dobell	1	0	1	1	962
Dobell	1	1	0	0	8813
Dobell	1	1	0	1	655
Dobell	1	1	1	0	1645
Dobell	1	1	1	1	347
Eden-Monaro					413
Eden-Monaro	0	0	0	1	1887
Eden-Monaro	0	0	1	0	509
Eden-Monaro	0	0	1	1	175
Eden-Monaro	0	1	0	0	2214
Eden-Monaro	0	1	0	1	177
Eden-Monaro	0	1	1	0	344
Eden-Monaro	0	1	1	1	60
Eden-Monaro	1	0	0	1	2823
Eden-Monaro	1	0	1	0	1327
Eden-Monaro	1	0	1	1	710
Eden-Monaro	1	1	0	0	8690
Eden-Monaro	1	1	0	1	438
Eden-Monaro	1	1	1	0	1682
Eden-Monaro	1	1	1	1	245
Farrer					524
Farrer	0	0	0	1	2102
Farrer	0	0	1	0	520
Farrer	0	0	1	1	183
Farrer	0	1	0	0	2794
Farrer	0	1	0	1	245
Farrer	0	1	1	0	458
Farrer	0	1	1	1	76
Farrer	1	0	0	1	2915
Farrer	1	0	1	0	1194
Farrer	1	0	1	1	732
Farrer	1	1	0	0	9170
Farrer	1	1	0	1	532
Farrer	1	1	1	0	1709
Farrer	1	1	1	1	322
Fowler					996
Fowler	0	0	0	1	3841
Fowler	0	0	1	0	1015
Fowler	0	0	1	1	542
Fowler	0	1	0	0	3106
Fowler	0	1	0	1	362
Fowler	0	1	1	0	687
Fowler	0	1	1	1	145
