CED_NAME16	Age	Sex	persons
Banks	0-4	F	4584
Banks	0-4	M	4854
Banks	5-14	F	8761
Banks	5-14	M	9212
Banks	15-19	F	4592
Banks	15-19	M	4832
Banks	20-24	F	5141
Banks	20-24	M	5550
Banks	25-34	F	11685
Banks	25-34	M	11333
Banks	35-44	F	10801
Banks	35-44	M	9875
Banks	45-54	F	10845
Banks	45-54	M	9952
Banks	55-64	F	9713
Banks	55-64	M	8985
Banks	65-74	F	6617
Banks	65-74	M	6071
Banks	75-84	F	4553
Banks	75-84	M	3598
Banks	85+	F	2735
Banks	85+	M	1513
Barton	0-4	F	4969
Barton	0-4	M	5341
Barton	5-14	F	8261
Barton	5-14	M	8993
Barton	15-19	F	4433
Barton	15-19	M	4610
Barton	20-24	F	6723
Barton	20-24	M	6935
Barton	25-34	F	17411
Barton	25-34	M	17559
Barton	35-44	F	12261
Barton	35-44	M	12421
Barton	45-54	F	10812
Barton	45-54	M	10241
Barton	55-64	F	8913
Barton	55-64	M	8273
Barton	65-74	F	6395
Barton	65-74	M	5916
Barton	75-84	F	4535
Barton	75-84	M	3854
Barton	85+	F	2408
Barton	85+	M	1582
Bennelong	0-4	F	5071
Bennelong	0-4	M	5144
Bennelong	5-14	F	8753
Bennelong	5-14	M	9429
Bennelong	15-19	F	4563
Bennelong	15-19	M	5056
Bennelong	20-24	F	6818
Bennelong	20-24	M	6690
Bennelong	25-34	F	14652
Bennelong	25-34	M	14015
Bennelong	35-44	F	12441
Bennelong	35-44	M	11991
Bennelong	45-54	F	11210
Bennelong	45-54	M	10362
Bennelong	55-64	F	9697
Bennelong	55-64	M	8823
Bennelong	65-74	F	6320
Bennelong	65-74	M	5896
Bennelong	75-84	F	4369
Bennelong	75-84	M	3406
Bennelong	85+	F	2675
Bennelong	85+	M	1551
Berowra	0-4	F	3655
Berowra	0-4	M	4094
Berowra	5-14	F	9841
Berowra	5-14	M	10412
Berowra	15-19	F	5071
Berowra	15-19	M	5497
Berowra	20-24	F	4239
Berowra	20-24	M	4665
Berowra	25-34	F	6336
Berowra	25-34	M	6384
Berowra	35-44	F	10130
Berowra	35-44	M	9042
Berowra	45-54	F	11566
Berowra	45-54	M	10556
Berowra	55-64	F	9722
Berowra	55-64	M	9262
Berowra	65-74	F	7069
Berowra	65-74	M	6704
Berowra	75-84	F	3850
Berowra	75-84	M	3389
Berowra	85+	F	2346
Berowra	85+	M	1298
Blaxland	0-4	F	6634
Blaxland	0-4	M	6791
Blaxland	5-14	F	11330
Blaxland	5-14	M	12133
Blaxland	15-19	F	5508
Blaxland	15-19	M	5796
Blaxland	20-24	F	6587
Blaxland	20-24	M	7556
Blaxland	25-34	F	14274
Blaxland	25-34	M	16213
Blaxland	35-44	F	10890
Blaxland	35-44	M	11553
Blaxland	45-54	F	10265
Blaxland	45-54	M	10327
Blaxland	55-64	F	8850
Blaxland	55-64	M	8823
Blaxland	65-74	F	5608
Blaxland	65-74	M	5744
Blaxland	75-84	F	3534
Blaxland	75-84	M	2935
Blaxland	85+	F	2071
Blaxland	85+	M	1196
Bradfield	0-4	F	4389
Bradfield	0-4	M	4640
Bradfield	5-14	F	11044
Bradfield	5-14	M	11808
Bradfield	15-19	F	5659
Bradfield	15-19	M	5786
Bradfield	20-24	F	4569
Bradfield	20-24	M	4503
Bradfield	25-34	F	8911
Bradfield	25-34	M	8023
Bradfield	35-44	F	11876
Bradfield	35-44	M	10500
Bradfield	45-54	F	12488
Bradfield	45-54	M	11157
Bradfield	55-64	F	9193
Bradfield	55-64	M	8403
Bradfield	65-74	F	7140
Bradfield	65-74	M	6275
Bradfield	75-84	F	4825
Bradfield	75-84	M	3944
Bradfield	85+	F	3209
Bradfield	85+	M	1909
Calare	0-4	F	5061
Calare	0-4	M	5437
Calare	5-14	F	10362
Calare	5-14	M	11173
Calare	15-19	F	5004
Calare	15-19	M	5351
Calare	20-24	F	4512
Calare	20-24	M	4821
Calare	25-34	F	9218
Calare	25-34	M	9628
Calare	35-44	F	9609
Calare	35-44	M	9356
Calare	45-54	F	10732
Calare	45-54	M	10536
Calare	55-64	F	10326
Calare	55-64	M	10277
Calare	65-74	F	8615
Calare	65-74	M	8555
Calare	75-84	F	4900
Calare	75-84	M	4204
Calare	85+	F	2328
Calare	85+	M	1288
Chifley	0-4	F	6650
Chifley	0-4	M	6954
Chifley	5-14	F	12343
Chifley	5-14	M	13275
Chifley	15-19	F	6071
Chifley	15-19	M	6480
Chifley	20-24	F	6189
Chifley	20-24	M	6391
Chifley	25-34	F	13600
Chifley	25-34	M	12484
Chifley	35-44	F	11910
Chifley	35-44	M	11608
Chifley	45-54	F	10701
Chifley	45-54	M	10421
Chifley	55-64	F	9038
Chifley	55-64	M	8472
Chifley	65-74	F	5966
Chifley	65-74	M	5482
Chifley	75-84	F	2935
Chifley	75-84	M	2288
Chifley	85+	F	1331
Chifley	85+	M	652
Cook	0-4	F	3960
Cook	0-4	M	4297
Cook	5-14	F	8066
Cook	5-14	M	8573
Cook	15-19	F	3886
Cook	15-19	M	4014
Cook	20-24	F	3743
Cook	20-24	M	3919
Cook	25-34	F	8896
Cook	25-34	M	8269
Cook	35-44	F	9727
Cook	35-44	M	9172
Cook	45-54	F	9918
