CED_NAME16	MaxSchoolingCompleted	adults
Banks	Did not go to school	1804
Banks	Year 8	6038
Banks	Year 9	6937
Banks	Year 10	22864
Banks	Year 11	6164
Banks	Year 12	76872
Barton	Did not go to school	2991
Barton	Year 8	8742
Barton	Year 9	4972
Barton	Year 10	18233
Barton	Year 11	6060
Barton	Year 12	92904
Bennelong	Did not go to school	1454
Bennelong	Year 8	4206
Bennelong	Year 9	4898
Bennelong	Year 10	16073
Bennelong	Year 11	5365
Bennelong	Year 12	101104
Berowra	Did not go to school	602
Berowra	Year 8	2586
Berowra	Year 9	5072
Berowra	Year 10	19597
Berowra	Year 11	6069
Berowra	Year 12	77306
Blaxland	Did not go to school	5744
Blaxland	Year 8	10427
Blaxland	Year 9	7187
Blaxland	Year 10	21673
Blaxland	Year 11	6934
Blaxland	Year 12	74572
Bradfield	Did not go to school	628
Bradfield	Year 8	2140
Bradfield	Year 9	3995
Bradfield	Year 10	11584
Bradfield	Year 11	5580
Bradfield	Year 12	97835
Calare	Did not go to school	420
Calare	Year 8	7242
Calare	Year 9	11069
Calare	Year 10	38688
Calare	Year 11	8683
Calare	Year 12	47568
Chifley	Did not go to school	1862
Chifley	Year 8	7730
Chifley	Year 9	8879
Chifley	Year 10	27927
Chifley	Year 11	8243
Chifley	Year 12	67250
Cook	Did not go to school	641
Cook	Year 8	3971
Cook	Year 9	6108
Cook	Year 10	25703
Cook	Year 11	6087
Cook	Year 12	63940
Cowper	Did not go to school	496
Cowper	Year 8	7672
Cowper	Year 9	12660
Cowper	Year 10	40211
Cowper	Year 11	9679
Cowper	Year 12	46931
Cunningham	Did not go to school	1068
Cunningham	Year 8	6952
Cunningham	Year 9	8528
Cunningham	Year 10	30763
Cunningham	Year 11	7432
Cunningham	Year 12	64069
Dobell	Did not go to school	420
Dobell	Year 8	6098
Dobell	Year 9	11356
Dobell	Year 10	39172
Dobell	Year 11	9043
Dobell	Year 12	46706
Eden-Monaro	Did not go to school	397
Eden-Monaro	Year 8	5608
Eden-Monaro	Year 9	8307
Eden-Monaro	Year 10	30012
Eden-Monaro	Year 11	8939
Eden-Monaro	Year 12	55008
Farrer	Did not go to school	845
Farrer	Year 8	9021
Farrer	Year 9	11987
Farrer	Year 10	35851
Farrer	Year 11	14050
Farrer	Year 12	45523
Fowler	Did not go to school	7554
Fowler	Year 8	12604
Fowler	Year 9	7681
Fowler	Year 10	21471
Fowler	Year 11	7052
Fowler	Year 12	65614
Gilmore	Did not go to school	307
Gilmore	Year 8	6667
Gilmore	Year 9	12184
Gilmore	Year 10	39031
Gilmore	Year 11	8662
Gilmore	Year 12	45977
Grayndler	Did not go to school	1416
Grayndler	Year 8	4847
Grayndler	Year 9	3166
Grayndler	Year 10	12192
Grayndler	Year 11	4576
Grayndler	Year 12	88458
Greenway	Did not go to school	1205
Greenway	Year 8	5119
Greenway	Year 9	6377
Greenway	Year 10	24225
Greenway	Year 11	6932
Greenway	Year 12	79069
Hughes	Did not go to school	446
Hughes	Year 8	3268
Hughes	Year 9	6201
Hughes	Year 10	27777
Hughes	Year 11	6759
Hughes	Year 12	64575
Hume	Did not go to school	416
Hume	Year 8	5031
Hume	Year 9	9740
Hume	Year 10	37645
Hume	Year 11	8227
Hume	Year 12	47949
Hunter	Did not go to school	358
Hunter	Year 8	6820
Hunter	Year 9	13306
Hunter	Year 10	42691
Hunter	Year 11	9774
Hunter	Year 12	41439
Kingsford Smith	Did not go to school	1290
Kingsford Smith	Year 8	4970
Kingsford Smith	Year 9	4813
Kingsford Smith	Year 10	17118
Kingsford Smith	Year 11	5969
Kingsford Smith	Year 12	100542
Lindsay	Did not go to school	757
Lindsay	Year 8	6104
Lindsay	Year 9	10058
Lindsay	Year 10	38155
Lindsay	Year 11	9009
Lindsay	Year 12	56192
Lyne	Did not go to school	299
Lyne	Year 8	7471
Lyne	Year 9	13637
Lyne	Year 10	41816
Lyne	Year 11	8375
Lyne	Year 12	37676
Macarthur	Did not go to school	1121
Macarthur	Year 8	5513
Macarthur	Year 9	9343
Macarthur	Year 10	33546
Macarthur	Year 11	8623
Macarthur	Year 12	58814
Mackellar	Did not go to school	478
Mackellar	Year 8	2875
Mackellar	Year 9	5267
Mackellar	Year 10	22602
Mackellar	Year 11	6855
Mackellar	Year 12	73780
Macquarie	Did not go to school	317
Macquarie	Year 8	3832
Macquarie	Year 9	7903
Macquarie	Year 10	32159
Macquarie	Year 11	7661
Macquarie	Year 12	54818
McMahon	Did not go to school	4939
McMahon	Year 8	10203
McMahon	Year 9	8071
McMahon	Year 10	27260
McMahon	Year 11	7425
McMahon	Year 12	64289
Mitchell	Did not go to school	649
Mitchell	Year 8	2911
Mitchell	Year 9	5242
Mitchell	Year 10	20735
Mitchell	Year 11	6225
Mitchell	Year 12	79532
New England	Did not go to school	430
New England	Year 8	7745
New England	Year 9	11373
New England	Year 10	36729
New England	Year 11	8173
New England	Year 12	45920
Newcastle	Did not go to school	565
Newcastle	Year 8	4904
Newcastle	Year 9	9030
Newcastle	Year 10	30431
Newcastle	Year 11	7457
Newcastle	Year 12	65454
North Sydney	Did not go to school	582
North Sydney	Year 8	2125
North Sydney	Year 9	3094
North Sydney	Year 10	10854
North Sydney	Year 11	5007
North Sydney	Year 12	103109
Page	Did not go to school	449
Page	Year 8	8132
Page	Year 9	12303
Page	Year 10	41996
Page	Year 11	9359
Page	Year 12	45133
Parkes	Did not go to school	526
Parkes	Year 8	8652
Parkes	Year 9	11795
Parkes	Year 10	37189
Parkes	Year 11	8852
Parkes	Year 12	39462
Parramatta	Did not go to school	3053
Parramatta	Year 8	5935
Parramatta	Year 9	5652
Parramatta	Year 10	18950
Parramatta	Year 11	5966
Parramatta	Year 12	98690
Paterson	Did not go to school	357
Paterson	Year 8	6251
Paterson	Year 9	13296
Paterson	Year 10	42474
Paterson	Year 11	9533
Paterson	Year 12	42040
Reid	Did not go to school	2135
Reid	Year 8	5767
Reid	Year 9	4464
Reid	Year 10	15445
Reid	Year 11	5345
Reid	Year 12	107607
Richmond	Did not go to school	316
Richmond	Year 8	5799
Richmond	Year 9	9325
Richmond	Year 10	35211
Richmond	Year 11	9525
Richmond	Year 12	53029
Riverina	Did not go to school	467
Riverina	Year 8	7739
Riverina	Year 9	11664
Riverina	Year 10	38364
Riverina	Year 11	9047
Riverina	Year 12	44291
Robertson	Did not go to school	332
Robertson	Year 8	4494
Robertson	Year 9	9297
Robertson	Year 10	32879
Robertson	Year 11	7788
Robertson	Year 12	53719
Shortland	Did not go to school	311
Shortland	Year 8	5670
Shortland	Year 9	12273
Shortland	Year 10	39221
Shortland	Year 11	8155
Shortland	Year 12	44483
Sydney	Did not go to school	1360
Sydney	Year 8	3068
Sydney	Year 9	3063
Sydney	Year 10	10606
Sydney	Year 11	5730
Sydney	Year 12	137507
Warringah	Did not go to school	331
Warringah	Year 8	1860
Warringah	Year 9	3461
Warringah	Year 10	13646
Warringah	Year 11	5536
Warringah	Year 12	85697
Watson	Did not go to school	4405
Watson	Year 8	9713
Watson	Year 9	5862
Watson	Year 10	19447
Watson	Year 11	6298
Watson	Year 12	83418
Wentworth	Did not go to school	294
Wentworth	Year 8	1572
Wentworth	Year 9	2420
Wentworth	Year 10	8910
Wentworth	Year 11	4412
Wentworth	Year 12	91780
Werriwa	Did not go to school	3919
Werriwa	Year 8	8276
Werriwa	Year 9	7726
Werriwa	Year 10	25323
Werriwa	Year 11	7832
Werriwa	Year 12	68442
Whitlam	Did not go to school	737
Whitlam	Year 8	6796
Whitlam	Year 9	11120
Whitlam	Year 10	39442
Whitlam	Year 11	9136
Whitlam	Year 12	46306
No usual address (NSW)	Did not go to school	65
No usual address (NSW)	Year 8	420
No usual address (NSW)	Year 9	731
No usual address (NSW)	Year 10	2159
No usual address (NSW)	Year 11	633
No usual address (NSW)	Year 12	4169
Migratory - Offshore - Shipping (NSW)	Did not go to school	4
Migratory - Offshore - Shipping (NSW)	Year 8	27
Migratory - Offshore - Shipping (NSW)	Year 9	35
Migratory - Offshore - Shipping (NSW)	Year 10	93
Migratory - Offshore - Shipping (NSW)	Year 11	22
Migratory - Offshore - Shipping (NSW)	Year 12	125
Aston	Did not go to school	838
Aston	Year 8	4807
Aston	Year 9	6754
Aston	Year 10	16181
Aston	Year 11	14820
Aston	Year 12	62709
Ballarat	Did not go to school	359
Ballarat	Year 8	7069
Ballarat	Year 9	9958
Ballarat	Year 10	22303
Ballarat	Year 11	19085
Ballarat	Year 12	55062
Batman	Did not go to school	2550
Batman	Year 8	10335
Batman	Year 9	5186
Batman	Year 10	10514
Batman	Year 11	9928
Batman	Year 12	85860
Bendigo	Did not go to school	577
Bendigo	Year 8	7057
Bendigo	Year 9	9829
Bendigo	Year 10	22158
Bendigo	Year 11	17836
Bendigo	Year 12	52379
Bruce	Did not go to school	3486
Bruce	Year 8	8743
Bruce	Year 9	6025
Bruce	Year 10	13491
Bruce	Year 11	11029
Bruce	Year 12	78198
Calwell	Did not go to school	3652
Calwell	Year 8	11915
Calwell	Year 9	8446
Calwell	Year 10	17170
Calwell	Year 11	14389
Calwell	Year 12	66302
Casey	Did not go to school	561
Casey	Year 8	5382
Casey	Year 9	8665
Casey	Year 10	21417
Casey	Year 11	18770
Casey	Year 12	52864
Chisholm	Did not go to school	1639
Chisholm	Year 8	6337
Chisholm	Year 9	5172
Chisholm	Year 10	10418
Chisholm	Year 11	10472
Chisholm	Year 12	96668
Corangamite	Did not go to school	408
Corangamite	Year 8	5667
Corangamite	Year 9	7802
Corangamite	Year 10	18723
Corangamite	Year 11	19230
Corangamite	Year 12	61881
Corio	Did not go to school	1002
Corio	Year 8	8584
Corio	Year 9	9725
Corio	Year 10	21203
Corio	Year 11	18863
Corio	Year 12	52160
Deakin	Did not go to school	1299
Deakin	Year 8	5610
Deakin	Year 9	5959
Deakin	Year 10	14057
Deakin	Year 11	13651
Deakin	Year 12	72604
Dunkley	Did not go to school	430
Dunkley	Year 8	5319
Dunkley	Year 9	8276
Dunkley	Year 10	20914
Dunkley	Year 11	17367
Dunkley	Year 12	57674
Flinders	Did not go to school	485
Flinders	Year 8	6681
Flinders	Year 9	10159
Flinders	Year 10	24772
Flinders	Year 11	19882
Flinders	Year 12	53404
Gellibrand	Did not go to school	2787
Gellibrand	Year 8	9891
Gellibrand	Year 9	6033
Gellibrand	Year 10	13684
Gellibrand	Year 11	11811
Gellibrand	Year 12	81376
Gippsland	Did not go to school	496
Gippsland	Year 8	8122
Gippsland	Year 9	10616
Gippsland	Year 10	24212
Gippsland	Year 11	19706
Gippsland	Year 12	40986
Goldstein	Did not go to school	516
Goldstein	Year 8	3731
Goldstein	Year 9	4133
Goldstein	Year 10	9864
Goldstein	Year 11	10813
Goldstein	Year 12	83171
Gorton	Did not go to school	2627
Gorton	Year 8	9552
Gorton	Year 9	9043
Gorton	Year 10	21189
Gorton	Year 11	16834
Gorton	Year 12	76940
Higgins	Did not go to school	714
Higgins	Year 8	3544
Higgins	Year 9	3039
Higgins	Year 10	7295
Higgins	Year 11	8377
Higgins	Year 12	99043
Holt	Did not go to school	3447
Holt	Year 8	8876
Holt	Year 9	9584
Holt	Year 10	23192
Holt	Year 11	17551
Holt	Year 12	80220
Hotham	Did not go to school	3324
Hotham	Year 8	9104
Hotham	Year 9	5861
Hotham	Year 10	12997
Hotham	Year 11	11380
Hotham	Year 12	73789
Indi	Did not go to school	417
Indi	Year 8	7121
Indi	Year 9	9260
Indi	Year 10	24185
Indi	Year 11	18410
Indi	Year 12	43740
Isaacs	Did not go to school	2278
Isaacs	Year 8	6965
Isaacs	Year 9	7069
Isaacs	Year 10	17404
Isaacs	Year 11	14843
Isaacs	Year 12	70398
Jagajaga	Did not go to school	672
Jagajaga	Year 8	5026
Jagajaga	Year 9	5515
Jagajaga	Year 10	12676
Jagajaga	Year 11	13072
Jagajaga	Year 12	71254
Kooyong	Did not go to school	686
Kooyong	Year 8	3239
Kooyong	Year 9	3438
Kooyong	Year 10	7110
Kooyong	Year 11	8628
