CED_NAME16	Religion	Denomination	Sex	persons
Banks	(Other)		F	5689
Banks	(Other)		M	5619
Banks	(Other)	(Other)	F	227
Banks	(Other)	(Other)	M	204
Banks	(Other)	Australian Aboriginal Traditional	F	3
Banks	(Other)	Australian Aboriginal Traditional	M	4
Banks	(Other)	Other spiritual beliefs	F	105
Banks	(Other)	Other spiritual beliefs	M	86
Banks	(Other)	Secular beliefs	F	140
Banks	(Other)	Secular beliefs	M	158
Banks	(Other)	Sikhism	F	215
Banks	(Other)	Sikhism	M	248
Banks	Buddhism		F	3921
Banks	Buddhism		M	2766
Banks	Christianity		F	2082
Banks	Christianity		M	1783
Banks	Christianity	(Other)	F	161
Banks	Christianity	(Other)	M	148
Banks	Christianity	Anglican	F	9449
Banks	Christianity	Anglican	M	8054
Banks	Christianity	Assyrian Apostolic	F	13
Banks	Christianity	Assyrian Apostolic	M	13
Banks	Christianity	Baptist	F	1860
Banks	Christianity	Baptist	M	1486
Banks	Christianity	Brethren	F	10
Banks	Christianity	Brethren	M	7
Banks	Christianity	Catholic	F	19870
Banks	Christianity	Catholic	M	17702
Banks	Christianity	Churches Of Christ	F	81
Banks	Christianity	Churches Of Christ	M	63
Banks	Christianity	Eastern Orthodox	F	6412
Banks	Christianity	Eastern Orthodox	M	6235
Banks	Christianity	Jehovah's Witnesses	F	206
Banks	Christianity	Jehovah's Witnesses	M	147
Banks	Christianity	Latter Day Saints	F	150
Banks	Christianity	Latter Day Saints	M	143
Banks	Christianity	Lutheran	F	133
Banks	Christianity	Lutheran	M	99
Banks	Christianity	Oriental Orthodox	F	912
Banks	Christianity	Oriental Orthodox	M	932
Banks	Christianity	Pentecostal	F	712
Banks	Christianity	Pentecostal	M	544
Banks	Christianity	Presbyterian Reformed	F	1518
Banks	Christianity	Presbyterian Reformed	M	1292
Banks	Christianity	Protestant (Other)	F	479
Banks	Christianity	Protestant (Other)	M	327
Banks	Christianity	Salvation Army	F	179
Banks	Christianity	Salvation Army	M	117
Banks	Christianity	Seventh Day Adventist	F	109
Banks	Christianity	Seventh Day Adventist	M	70
Banks	Christianity	Uniting Church	F	1725
Banks	Christianity	Uniting Church	M	1309
Banks	Hinduism		F	2298
Banks	Hinduism		M	2619
Banks	Islam		F	3680
Banks	Islam		M	3876
Banks	Judaism		F	93
Banks	Judaism		M	93
Banks	No religion		F	17600
Banks	No religion		M	19622
Barton	(Other)		F	7871
Barton	(Other)		M	7953
Barton	(Other)	(Other)	F	282
Barton	(Other)	(Other)	M	249
Barton	(Other)	Australian Aboriginal Traditional	F	4
Barton	(Other)	Australian Aboriginal Traditional	M	5
Barton	(Other)	Other spiritual beliefs	F	137
