CED_NAME16	Age.min	Sex	persons
Banks	0	F	850
Banks	0	M	906
Banks	1	F	934
Banks	1	M	964
Banks	2	F	896
Banks	2	M	1003
Banks	3	F	930
Banks	3	M	966
Banks	4	F	981
Banks	4	M	1011
Banks	5	F	888
Banks	5	M	963
Banks	6	F	937
Banks	6	M	946
Banks	7	F	921
Banks	7	M	939
Banks	8	F	980
Banks	8	M	922
Banks	9	F	872
Banks	9	M	874
Banks	10	F	769
Banks	10	M	918
Banks	11	F	819
Banks	11	M	945
Banks	12	F	876
Banks	12	M	869
Banks	13	F	849
Banks	13	M	932
Banks	14	F	849
Banks	14	M	887
Banks	15	F	869
Banks	15	M	964
Banks	16	F	862
Banks	16	M	926
Banks	17	F	937
Banks	17	M	981
Banks	18	F	962
Banks	18	M	972
Banks	19	F	961
Banks	19	M	992
Banks	20	F	1016
Banks	20	M	1068
Banks	21	F	959
Banks	21	M	1074
Banks	22	F	997
Banks	22	M	1087
Banks	23	F	1068
Banks	23	M	1177
Banks	24	F	1094
Banks	24	M	1136
Banks	25	F	1148
Banks	25	M	1155
Banks	26	F	1221
Banks	26	M	1177
Banks	27	F	1167
Banks	27	M	1110
Banks	28	F	1194
Banks	28	M	1138
Banks	29	F	1139
Banks	29	M	1099
Banks	30	F	1151
Banks	30	M	1152
Banks	31	F	1187
Banks	31	M	1058
Banks	32	F	1142
Banks	32	M	1145
Banks	33	F	1208
Banks	33	M	1152
Banks	34	F	1126
Banks	34	M	1147
Banks	35	F	1157
Banks	35	M	1061
Banks	36	F	1054
Banks	36	M	1062
Banks	37	F	1030
Banks	37	M	939
Banks	38	F	1003
Banks	38	M	949
Banks	39	F	1110
Banks	39	M	926
Banks	40	F	1028
Banks	40	M	949
Banks	41	F	1059
Banks	41	M	988
Banks	42	F	1076
Banks	42	M	1014
Banks	43	F	1146
Banks	43	M	963
Banks	44	F	1139
Banks	44	M	1025
Banks	45	F	1100
Banks	45	M	1039
Banks	46	F	1073
Banks	46	M	954
Banks	47	F	1115
Banks	47	M	919
Banks	48	F	1092
Banks	48	M	1020
Banks	49	F	967
Banks	49	M	903
Banks	50	F	1071
Banks	50	M	967
Banks	51	F	1073
Banks	51	M	978
Banks	52	F	1119
Banks	52	M	1030
Banks	53	F	1100
Banks	53	M	1044
Banks	54	F	1120
Banks	54	M	1096
Banks	55	F	1174
Banks	55	M	1048
Banks	56	F	1033
Banks	56	M	1008
Banks	57	F	970
Banks	57	M	936
Banks	58	F	1054
Banks	58	M	972
Banks	59	F	1019
Banks	59	M	949
Banks	60	F	949
Banks	60	M	902
Banks	61	F	925
Banks	61	M	896
Banks	62	F	887
Banks	62	M	817
Banks	63	F	900
Banks	63	M	805
Banks	64	F	799
Banks	64	M	671
Banks	65	F	743
Banks	65	M	761
Banks	66	F	767
Banks	66	M	723
Banks	67	F	748
Banks	67	M	666
Banks	68	F	744
Banks	68	M	681
Banks	69	F	754
Banks	69	M	652
Banks	70	F	650
Banks	70	M	564
Banks	71	F	607
Banks	71	M	587
Banks	72	F	561
Banks	72	M	554
Banks	73	F	526
Banks	73	M	457
Banks	74	F	515
Banks	74	M	430
Banks	75	F	511
Banks	75	M	423
Banks	76	F	507
Banks	76	M	426
Banks	77	F	523
Banks	77	M	413
Banks	78	F	487
Banks	78	M	354
Banks	79	F	461
Banks	79	M	380
Banks	80	F	2070
Banks	80	M	1600
Banks	85	F	1618
Banks	90	M	432
Banks	95	F	219
Banks	95	M	61
Banks	100	F	25
Banks	100	M	3
