CED_NAME16	medianTotalPersonalIncome
Banks	33488
Barton	33124
Bennelong	37648
Berowra	41236
Blaxland	24024
Bradfield	46436
Calare	31564
Chifley	30992
Cook	42224
Cowper	27352
Cunningham	31200
Dobell	30784
Eden-Monaro	36868
Farrer	31876
Fowler	23504
Gilmore	27820
Grayndler	51844
Greenway	38844
Hughes	43056
Hume	37128
Hunter	30628
Kingsford Smith	40404
Lindsay	37596
Lyne	25636
Macarthur	34788
Mackellar	44044
Macquarie	36764
McMahon	27404
Mitchell	42692
New England	29692
Newcastle	34840
North Sydney	60580
Page	26468
Parkes	31408
Parramatta	33384
Paterson	30524
Reid	39520
Richmond	29328
Riverina	31512
Robertson	32708
Shortland	31200
Sydney	48516
Warringah	57876
Watson	25480
Wentworth	64584
Werriwa	29432
Whitlam	30264
No usual address (NSW)	21060
Migratory - Offshore - Shipping (NSW)	28080
Aston	34580
Ballarat	30836
Batman	34320
Bendigo	31408
Bruce	27092
Calwell	25272
Casey	34424
Chisholm	28808
Corangamite	33852
Corio	29744
Deakin	35360
Dunkley	33956
Flinders	31772
Gellibrand	34944
Gippsland	28340
Goldstein	44564
Gorton	31772
Higgins	50284
Holt	31772
Hotham	30576
Indi	31408
Isaacs	35412
Jagajaga	39156
Kooyong	44772
La Trobe	36660
Lalor	35204
Mallee	28496
Maribyrnong	30784
McEwen	36348
McMillan	29900
Melbourne	38844
Melbourne Ports	54184
Menzies	33592
Murray	29016
Scullin	29588
Wannon	28808
Wills	35672
No usual address (Vic.)	20696
Migratory - Offshore - Shipping (Vic.)	156000
Blair	32500
Bonner	38948
Bowman	35672
Brisbane	48776
Capricornia	34892
Dawson	36088
Dickson	38792
Fadden	34216
Fairfax	32760
Fisher	31148
Flynn	32916
Forde	34476
Griffith	46748
Groom	34164
Herbert	35932
Hinkler	25168
Kennedy	30940
Leichhardt	34736
Lilley	40248
Longman	30160
Maranoa	29588
McPherson	34424
Moncrieff	33748
Moreton	33124
Oxley	34944
Petrie	34840
Rankin	32552
Ryan	40508
Wide Bay	25948
Wright	32708
No usual address (Qld)	21164
Migratory - Offshore - Shipping (Qld)	31512
Adelaide	35152
Barker	29640
Boothby	35100
Grey	27768
Hindmarsh	33436
Kingston	30524
Makin	32188
Mayo	31876
Port Adelaide	28028
Sturt	33072
Wakefield	28028
No usual address (SA)	19240
Migratory - Offshore - Shipping (SA)	90948
Brand	35516
Burt	34944
Canning	31408
Cowan	34424
Curtin	48828
Durack	46176
Forrest	34008
Fremantle	40196
Hasluck	35620
Moore	40664
O'Connor	34684
Pearce	38012
Perth	43108
Stirling	37596
Swan	37440
Tangney	37232
No usual address (WA)	22568
Migratory - Offshore - Shipping (WA)	138008
Bass	29016
Braddon	27196
Denison	33176
Franklin	33384
Lyons	26520
No usual address (Tas.)	20020
Migratory - Offshore - Shipping (Tas.)	56628
Lingiari	33956
Solomon	54444
No usual address (NT)	23348
Migratory - Offshore - Shipping (NT)	36400
Canberra	52832
Fenner	50804
No usual address (ACT)	23244
Migratory - Offshore - Shipping (ACT)	
No usual address (OT)	21424
Migratory - Offshore - Shipping (OT)	95316
