CED_NAME16	persons
Banks	155806
Barton	172850
Bennelong	168948
Berowra	145136
Blaxland	174634
Bradfield	160255
Calare	161298
Chifley	171249
Cook	139062
Cowper	159321
Cunningham	155380
Dobell	154067
Eden-Monaro	147532
Farrer	163980
Fowler	164235
Gilmore	150436
Grayndler	149513
Greenway	170067
Hughes	144289
Hume	150643
Hunter	156796
Kingsford Smith	176238
Lindsay	166528
Lyne	145480
Macarthur	162017
Mackellar	148613
Macquarie	141439
McMahon	165693
Mitchell	153449
New England	154184
Newcastle	152948
North Sydney	161526
Page	159107
Parkes	153769
Parramatta	186320
Paterson	155634
Reid	181347
Richmond	152913
Riverina	155793
Robertson	143103
Shortland	144482
Sydney	200181
Warringah	147333
Watson	174806
Wentworth	145949
Werriwa	170909
Whitlam	152280
No usual address (NSW)	12288
Migratory - Offshore - Shipping (NSW)	412
Aston	136018
Ballarat	154483
Batman	161964
Bendigo	150431
Bruce	157011
Calwell	165406
Casey	142766
Chisholm	164433
Corangamite	152740
Corio	149914
Deakin	146767
Dunkley	146381
Flinders	153498
Gellibrand	165873
Gippsland	143033
Goldstein	147627
Gorton	194692
Higgins	153942
Holt	199864
Hotham	151282
Indi	140183
Isaacs	158654
Jagajaga	141301
Kooyong	145399
La Trobe	156965
Lalor	231979
Mallee	138592
Maribyrnong	166417
McEwen	210531
McMillan	167328
Melbourne	208593
Melbourne Ports	160699
Menzies	137535
Murray	145366
Scullin	167966
Wannon	133772
Wills	169649
No usual address (Vic.)	7565
Migratory - Offshore - Shipping (Vic.)	29
Blair	156319
Bonner	149636
Bowman	147010
Brisbane	163886
Capricornia	150720
Dawson	156313
Dickson	146217
Fadden	169600
Fairfax	153463
Fisher	140166
Flynn	155488
Forde	165538
Griffith	157602
Groom	148866
Herbert	159998
Hinkler	141716
Kennedy	155394
Leichhardt	175449
Lilley	155375
Longman	160594
Maranoa	149266
McPherson	151581
Moncrieff	160734
Moreton	158071
Oxley	163208
Petrie	163268
Rankin	179170
Ryan	155349
Wide Bay	144098
Wright	156437
No usual address (Qld)	12510
Migratory - Offshore - Shipping (Qld)	150
Adelaide	163442
Barker	149502
Boothby	145836
Grey	143526
Hindmarsh	151243
Kingston	147908
Makin	149513
Mayo	140367
Port Adelaide	165086
Sturt	149164
Wakefield	168212
No usual address (SA)	2863
Migratory - Offshore - Shipping (SA)	3
Brand	164031
Burt	168783
Canning	146019
Cowan	147538
Curtin	143086
Durack	181764
Forrest	147768
Fremantle	148744
Hasluck	143626
Moore	140258
O'Connor	156323
Pearce	181763
Perth	151089
Stirling	147992
Swan	163202
Tangney	136038
No usual address (WA)	5950
Migratory - Offshore - Shipping (WA)	434
Bass	101390
Braddon	97058
Denison	102573
Franklin	104446
Lyons	103510
No usual address (Tas.)	912
Migratory - Offshore - Shipping (Tas.)	68
Lingiari	114545
Solomon	114120
No usual address (NT)	2489
Migratory - Offshore - Shipping (NT)	70
Canberra	196037
Fenner	202955
No usual address (ACT)	538
No usual address (OT)	55
Migratory - Offshore - Shipping (OT)	6
