CED_NAME16	FamilyComposition	families_with_children
Banks	Blended family with no other children present	502
Banks	Blended family with other children present	5
Banks	Intact family with no other children present	19225
Banks	Intact family with other children present	310
Banks	Other couple family with other children only	53
Banks	Step family with no other children present	904
Banks	Step family with other children present	23
Barton	Blended family with no other children present	391
Barton	Blended family with other children present	14
Barton	Intact family with no other children present	19307
Barton	Intact family with other children present	311
Barton	Other couple family with other children only	71
Barton	Step family with no other children present	839
Barton	Step family with other children present	18
Bennelong	Blended family with no other children present	325
Bennelong	Blended family with other children present	3
Bennelong	Intact family with no other children present	21569
Bennelong	Intact family with other children present	244
Bennelong	Other couple family with other children only	53
Bennelong	Step family with no other children present	787
Bennelong	Step family with other children present	19
Berowra	Blended family with no other children present	450
Berowra	Blended family with other children present	3
Berowra	Intact family with no other children present	21407
Berowra	Intact family with other children present	245
Berowra	Other couple family with other children only	42
Berowra	Step family with no other children present	962
Berowra	Step family with other children present	11
Blaxland	Blended family with no other children present	491
Blaxland	Blended family with other children present	14
Blaxland	Intact family with no other children present	20627
Blaxland	Intact family with other children present	468
Blaxland	Other couple family with other children only	99
Blaxland	Step family with no other children present	852
Blaxland	Step family with other children present	37
Bradfield	Blended family with no other children present	339
Bradfield	Blended family with other children present	12
Bradfield	Intact family with no other children present	23093
Bradfield	Intact family with other children present	197
Bradfield	Other couple family with other children only	41
Bradfield	Step family with no other children present	843
Bradfield	Step family with other children present	10
Calare	Blended family with no other children present	883
Calare	Blended family with other children present	14
Calare	Intact family with no other children present	14179
Calare	Intact family with other children present	169
Calare	Other couple family with other children only	172
Calare	Step family with no other children present	1163
Calare	Step family with other children present	22
Chifley	Blended family with no other children present	904
Chifley	Blended family with other children present	26
Chifley	Intact family with no other children present	20295
Chifley	Intact family with other children present	577
Chifley	Other couple family with other children only	119
Chifley	Step family with no other children present	1143
Chifley	Step family with other children present	48
Cook	Blended family with no other children present	452
Cook	Blended family with other children present	6
Cook	Intact family with no other children present	16622
Cook	Intact family with other children present	133
Cook	Other couple family with other children only	37
Cook	Step family with no other children present	951
Cook	Step family with other children present	6
Cowper	Blended family with no other children present	754
Cowper	Blended family with other children present	13
Cowper	Intact family with no other children present	11829
Cowper	Intact family with other children present	191
Cowper	Other couple family with other children only	117
Cowper	Step family with no other children present	1163
Cowper	Step family with other children present	24
Cunningham	Blended family with no other children present	565
Cunningham	Blended family with other children present	9
Cunningham	Intact family with no other children present	16069
Cunningham	Intact family with other children present	127
Cunningham	Other couple family with other children only	74
Cunningham	Step family with no other children present	996
Cunningham	Step family with other children present	17
Dobell	Blended family with no other children present	1008
Dobell	Blended family with other children present	23
Dobell	Intact family with no other children present	14293
Dobell	Intact family with other children present	212
Dobell	Other couple family with other children only	136
Dobell	Step family with no other children present	1483
Dobell	Step family with other children present	36
Eden-Monaro	Blended family with no other children present	764
Eden-Monaro	Blended family with other children present	14
Eden-Monaro	Intact family with no other children present	13702
Eden-Monaro	Intact family with other children present	147
Eden-Monaro	Other couple family with other children only	113
Eden-Monaro	Step family with no other children present	1160
Eden-Monaro	Step family with other children present	16
Farrer	Blended family with no other children present	739
Farrer	Blended family with other children present	11
Farrer	Intact family with no other children present	14477
Farrer	Intact family with other children present	160
Farrer	Other couple family with other children only	160
Farrer	Step family with no other children present	994
Farrer	Step family with other children present	16
Fowler	Blended family with no other children present	546
Fowler	Blended family with other children present	27
Fowler	Intact family with no other children present	19073
Fowler	Intact family with other children present	463
Fowler	Other couple family with other children only	91
Fowler	Step family with no other children present	956
Fowler	Step family with other children present	40
Gilmore	Blended family with no other children present	699
Gilmore	Blended family with other children present	18
Gilmore	Intact family with no other children present	11493
Gilmore	Intact family with other children present	178
Gilmore	Other couple family with other children only	159
Gilmore	Step family with no other children present	1149
Gilmore	Step family with other children present	30
Grayndler	Blended family with no other children present	240
Grayndler	Blended family with other children present	8
Grayndler	Intact family with no other children present	14358
Grayndler	Intact family with other children present	115
Grayndler	Other couple family with other children only	34
