CED_NAME16	Sex	persons
Banks	F	80026
Banks	M	75773
Barton	F	87129
Barton	M	85720
Bennelong	F	86580
Bennelong	M	82368
Berowra	F	73835
Berowra	M	71298
Blaxland	F	85554
Blaxland	M	89077
Bradfield	F	83302
Bradfield	M	76948
Calare	F	80662
Calare	M	80634
Chifley	F	86738
Chifley	M	84513
Cook	F	71568
Cook	M	67499
Cowper	F	82275
Cowper	M	77043
Cunningham	F	78513
Cunningham	M	76868
Dobell	F	79629
Dobell	M	74437
Eden-Monaro	F	73764
Eden-Monaro	M	73772
Farrer	F	82797
Farrer	M	81180
Fowler	F	83295
Fowler	M	80936
Gilmore	F	76266
Gilmore	M	74171
Grayndler	F	76684
Grayndler	M	72829
Greenway	F	84650
Greenway	M	85421
Hughes	F	73218
Hughes	M	71070
Hume	F	75869
Hume	M	74780
Hunter	F	79068
Hunter	M	77730
Kingsford Smith	F	89009
Kingsford Smith	M	87226
Lindsay	F	84430
Lindsay	M	82100
Lyne	F	74208
Lyne	M	71269
Macarthur	F	82244
Macarthur	M	79776
Mackellar	F	76091
Mackellar	M	72523
Macquarie	F	72392
Macquarie	M	69050
McMahon	F	83470
McMahon	M	82230
Mitchell	F	78347
Mitchell	M	75103
New England	F	78795
New England	M	75391
Newcastle	F	77466
Newcastle	M	75477
North Sydney	F	83725
North Sydney	M	77797
Page	F	80694
Page	M	78413
Parkes	F	77385
Parkes	M	76385
Parramatta	F	91916
Parramatta	M	94404
Paterson	F	79208
Paterson	M	76430
Reid	F	91718
Reid	M	89626
Richmond	F	79145
Richmond	M	73762
Riverina	F	78628
Riverina	M	77163
Robertson	F	73802
Robertson	M	69297
Shortland	F	73937
Shortland	M	70552
Sydney	F	96474
Sydney	M	103705
Warringah	F	76296
Warringah	M	71036
Watson	F	87194
Watson	M	87610
Wentworth	F	76100
Wentworth	M	69848
Werriwa	F	86593
Werriwa	M	84312
Whitlam	F	78347
Whitlam	M	73932
No usual address (NSW)	F	4939
No usual address (NSW)	M	7351
Migratory - Offshore - Shipping (NSW)	F	239
Migratory - Offshore - Shipping (NSW)	M	171
Aston	F	69652
Aston	M	66363
Ballarat	F	79575
Ballarat	M	74900
Batman	F	83533
Batman	M	78431
Bendigo	F	77047
Bendigo	M	73379
Bruce	F	77956
Bruce	M	79055
Calwell	F	82835
Calwell	M	82569
Casey	F	72559
Casey	M	70203
Chisholm	F	84500
Chisholm	M	79930
Corangamite	F	77827
Corangamite	M	74915
Corio	F	77125
Corio	M	72793
Deakin	F	76001
Deakin	M	70760
Dunkley	F	75708
Dunkley	M	70672
Flinders	F	78445
Flinders	M	75055
Gellibrand	F	83151
Gellibrand	M	82718
Gippsland	F	72339
Gippsland	M	70685
Goldstein	F	76996
Goldstein	M	70625
Gorton	F	98479
Gorton	M	96210
Higgins	F	80188
Higgins	M	73754
Holt	F	99939
Holt	M	99928
Hotham	F	76814
Hotham	M	74463
Indi	F	71186
Indi	M	69002
Isaacs	F	80861
Isaacs	M	77790
Jagajaga	F	72644
Jagajaga	M	68661
Kooyong	F	75971
Kooyong	M	69428
La Trobe	F	79156
La Trobe	M	77806
Lalor	F	115662
Lalor	M	116323
Mallee	F	69947
Mallee	M	68643
Maribyrnong	F	84532
Maribyrnong	M	81884
McEwen	F	106345
McEwen	M	104184
McMillan	F	85928
McMillan	M	81396
Melbourne	F	107465
Melbourne	M	101128
Melbourne Ports	F	82272
Melbourne Ports	M	78431
Menzies	F	70776
Menzies	M	66759
Murray	F	73227
Murray	M	72140
Scullin	F	84680
Scullin	M	83288
Wannon	F	67237
Wannon	M	66534
Wills	F	86728
Wills	M	82916
No usual address (Vic.)	F	3238
No usual address (Vic.)	M	4331
Migratory - Offshore - Shipping (Vic.)	F	4
Migratory - Offshore - Shipping (Vic.)	M	28
Blair	F	78993
Blair	M	77326
Bonner	F	76897
Bonner	M	72732
Bowman	F	75022
Bowman	M	71985
Brisbane	F	82052
Brisbane	M	81839
Capricornia	F	73797
Capricornia	M	76924
Dawson	F	76985
Dawson	M	79330
Dickson	F	74003
Dickson	M	72211
Fadden	F	87324
Fadden	M	82274
Fairfax	F	79645
Fairfax	M	73821
Fisher	F	72424
Fisher	M	67747
Flynn	F	75568
Flynn	M	79916
Forde	F	84380
Forde	M	81157
Griffith	F	79957
Griffith	M	77648
Groom	F	76722
Groom	M	72144
Herbert	F	80362
Herbert	M	79638
Hinkler	F	72991
Hinkler	M	68723
Kennedy	F	76089
Kennedy	M	79306
Leichhardt	F	88427
Leichhardt	M	87018
Lilley	F	79842
Lilley	M	75537
Longman	F	81576
Longman	M	79019
Maranoa	F	74157
Maranoa	M	75110
McPherson	F	78829
McPherson	M	72748
Moncrieff	F	82137
Moncrieff	M	78597
Moreton	F	79706
Moreton	M	78365
Oxley	F	81842
Oxley	M	81369
Petrie	F	84709
Petrie	M	78562
Rankin	F	90544
Rankin	M	88626
Ryan	F	79422
Ryan	M	75924
Wide Bay	F	72763
Wide Bay	M	71334
Wright	F	78484
Wright	M	77955
No usual address (Qld)	F	5572
No usual address (Qld)	M	6937
Migratory - Offshore - Shipping (Qld)	F	87
Migratory - Offshore - Shipping (Qld)	M	66
Adelaide	F	82378
Adelaide	M	81061
Barker	F	74031
Barker	M	75467
Boothby	F	75585
Boothby	M	70246
Grey	F	70571
Grey	M	72947
Hindmarsh	F	77977
Hindmarsh	M	73267
Kingston	F	75606
Kingston	M	72306
Makin	F	75662
Makin	M	73851
Mayo	F	71592
Mayo	M	68768
Port Adelaide	F	83849
Port Adelaide	M	81238
Sturt	F	77712
Sturt	M	71450
Wakefield	F	84558
Wakefield	M	83654
No usual address (SA)	F	1129
No usual address (SA)	M	1734
Migratory - Offshore - Shipping (SA)	M	6
Brand	F	82028
Brand	M	82002
Burt	F	84254
Burt	M	84529
Canning	F	73891
Canning	M	72126
Cowan	F	74189
Cowan	M	73346
Curtin	F	73563
Curtin	M	69528
Durack	F	83060
Durack	M	98704
Forrest	F	74891
Forrest	M	72885
