CED_NAME16	AgeChild	CoupleFamily	ParentsBornAus	children
Banks	0-4	0		36
Banks	0-4	0	Both	358
Banks	0-4	0	Father only	85
Banks	0-4	0	Mother only	112
Banks	0-4	0	Neither	270
Banks	0-4	1		50
Banks	0-4	1	Both	2931
Banks	0-4	1	Father only	786
Banks	0-4	1	Mother only	867
Banks	0-4	1	Neither	3505
Banks	5-9	0		39
Banks	5-9	0	Both	466
Banks	5-9	0	Father only	146
Banks	5-9	0	Mother only	177
Banks	5-9	0	Neither	445
Banks	5-9	1		40
Banks	5-9	1	Both	3132
Banks	5-9	1	Father only	748
Banks	5-9	1	Mother only	861
Banks	5-9	1	Neither	2795
Banks	10-12	0		24
Banks	10-12	0	Both	326
Banks	10-12	0	Father only	102
Banks	10-12	0	Mother only	106
Banks	10-12	0	Neither	327
Banks	10-12	1		21
Banks	10-12	1	Both	1714
Banks	10-12	1	Father only	395
Banks	10-12	1	Mother only	456
Banks	10-12	1	Neither	1504
Banks	13-14	0		15
Banks	13-14	0	Both	251
Banks	13-14	0	Father only	59
Banks	13-14	0	Mother only	83
Banks	13-14	0	Neither	269
Banks	13-14	1		25
Banks	13-14	1	Both	1075
Banks	13-14	1	Father only	240
Banks	13-14	1	Mother only	314
Banks	13-14	1	Neither	1049
Banks	15-17	0		20
Banks	15-17	0	Both	367
Banks	15-17	0	Father only	91
Banks	15-17	0	Mother only	111
Banks	15-17	0	Neither	459
Banks	15-17	1		11
Banks	15-17	1	Both	1425
Banks	15-17	1	Father only	295
Banks	15-17	1	Mother only	407
Banks	15-17	1	Neither	1572
Banks	18-20	0		9
Banks	18-20	0	Both	159
Banks	18-20	0	Father only	37
Banks	18-20	0	Mother only	71
Banks	18-20	0	Neither	371
Banks	18-20	1		3
Banks	18-20	1	Both	785
Banks	18-20	1	Father only	146
Banks	18-20	1	Mother only	210
Banks	18-20	1	Neither	1280
Banks	21-24	0		3
Banks	21-24	0	Both	69
Banks	21-24	0	Father only	22
Banks	21-24	0	Mother only	23
Banks	21-24	0	Neither	203
Banks	21-24	1		9
Banks	21-24	1	Both	366
Banks	21-24	1	Father only	76
Banks	21-24	1	Mother only	101
Banks	21-24	1	Neither	660
Barton	0-4	0		45
Barton	0-4	0	Both	286
Barton	0-4	0	Father only	85
Barton	0-4	0	Mother only	148
Barton	0-4	0	Neither	304
Barton	0-4	1		55
Barton	0-4	1	Both	2724
Barton	0-4	1	Father only	922
Barton	0-4	1	Mother only	951
Barton	0-4	1	Neither	4179
Barton	5-9	0		38
Barton	5-9	0	Both	382
Barton	5-9	0	Father only	155
Barton	5-9	0	Mother only	215
Barton	5-9	0	Neither	469
Barton	5-9	1		49
Barton	5-9	1	Both	2541
Barton	5-9	1	Father only	779
Barton	5-9	1	Mother only	927
Barton	5-9	1	Neither	3082
Barton	10-12	0		31
Barton	10-12	0	Both	251
Barton	10-12	0	Father only	102
Barton	10-12	0	Mother only	150
Barton	10-12	0	Neither	340
Barton	10-12	1		15
Barton	10-12	1	Both	1297
Barton	10-12	1	Father only	364
Barton	10-12	1	Mother only	471
Barton	10-12	1	Neither	1668
Barton	13-14	0		18
Barton	13-14	0	Both	157
Barton	13-14	0	Father only	56
Barton	13-14	0	Mother only	110
Barton	13-14	0	Neither	278
Barton	13-14	1		12
Barton	13-14	1	Both	797
Barton	13-14	1	Father only	203
Barton	13-14	1	Mother only	261
Barton	13-14	1	Neither	1087
Barton	15-17	0		21
Barton	15-17	0	Both	228
Barton	15-17	0	Father only	71
Barton	15-17	0	Mother only	123
Barton	15-17	0	Neither	478
Barton	15-17	1		14
Barton	15-17	1	Both	953
Barton	15-17	1	Father only	245
Barton	15-17	1	Mother only	353
Barton	15-17	1	Neither	1755
Barton	18-20	0		11
Barton	18-20	0	Both	104
Barton	18-20	0	Father only	42
Barton	18-20	0	Mother only	65
Barton	18-20	0	Neither	360
Barton	18-20	1		18
Barton	18-20	1	Both	460
Barton	18-20	1	Father only	115
Barton	18-20	1	Mother only	211
Barton	18-20	1	Neither	1333
Barton	21-24	0		4
Barton	21-24	0	Both	43
Barton	21-24	0	Father only	19
Barton	21-24	0	Mother only	33
Barton	21-24	0	Neither	196
Barton	21-24	1		4
Barton	21-24	1	Both	198
Barton	21-24	1	Father only	51
Barton	21-24	1	Mother only	77
Barton	21-24	1	Neither	688
Bennelong	0-4	0		16
Bennelong	0-4	0	Both	172
Bennelong	0-4	0	Father only	57
Bennelong	0-4	0	Mother only	59
Bennelong	0-4	0	Neither	311
Bennelong	0-4	1		34
Bennelong	0-4	1	Both	2379
Bennelong	0-4	1	Father only	899
Bennelong	0-4	1	Mother only	714
Bennelong	0-4	1	Neither	5080
Bennelong	5-9	0		15
Bennelong	5-9	0	Both	314
Bennelong	5-9	0	Father only	88
Bennelong	5-9	0	Mother only	110
Bennelong	5-9	0	Neither	459
Bennelong	5-9	1		19
Bennelong	5-9	1	Both	2535
Bennelong	5-9	1	Father only	833
Bennelong	5-9	1	Mother only	739
Bennelong	5-9	1	Neither	4239
Bennelong	10-12	0		12
Bennelong	10-12	0	Both	210
Bennelong	10-12	0	Father only	41
Bennelong	10-12	0	Mother only	68
Bennelong	10-12	0	Neither	290
Bennelong	10-12	1		10
Bennelong	10-12	1	Both	1508
Bennelong	10-12	1	Father only	395
Bennelong	10-12	1	Mother only	434
Bennelong	10-12	1	Neither	1986
Bennelong	13-14	0		3
Bennelong	13-14	0	Both	171
Bennelong	13-14	0	Father only	45
Bennelong	13-14	0	Mother only	64
Bennelong	13-14	0	Neither	266
Bennelong	13-14	1		9
Bennelong	13-14	1	Both	955
Bennelong	13-14	1	Father only	209
Bennelong	13-14	1	Mother only	237
Bennelong	13-14	1	Neither	1272
Bennelong	15-17	0		8
Bennelong	15-17	0	Both	239
Bennelong	15-17	0	Father only	70
Bennelong	15-17	0	Mother only	95
Bennelong	15-17	0	Neither	375
Bennelong	15-17	1		10
Bennelong	15-17	1	Both	1251
Bennelong	15-17	1	Father only	304
Bennelong	15-17	1	Mother only	324
Bennelong	15-17	1	Neither	1982
Bennelong	18-20	0	Both	129
Bennelong	18-20	0	Father only	34
Bennelong	18-20	0	Mother only	52
Bennelong	18-20	0	Neither	347
Bennelong	18-20	1		3
Bennelong	18-20	1	Both	738
Bennelong	18-20	1	Father only	182
Bennelong	18-20	1	Mother only	172
Bennelong	18-20	1	Neither	1544
Bennelong	21-24	0		4
Bennelong	21-24	0	Both	67
Bennelong	21-24	0	Father only	22
Bennelong	21-24	0	Mother only	30
Bennelong	21-24	0	Neither	228
Bennelong	21-24	1		3
Bennelong	21-24	1	Both	380
Bennelong	21-24	1	Father only	79
Bennelong	21-24	1	Mother only	89
Bennelong	21-24	1	Neither	924
Berowra	0-4	0		13
Berowra	0-4	0	Both	152
Berowra	0-4	0	Father only	23
Berowra	0-4	0	Mother only	59
Berowra	0-4	0	Neither	83
Berowra	0-4	1		33
Berowra	0-4	1	Both	3246
Berowra	0-4	1	Father only	819
Berowra	0-4	1	Mother only	697
Berowra	0-4	1	Neither	2314
Berowra	5-9	0		15
Berowra	5-9	0	Both	364
Berowra	5-9	0	Father only	69
Berowra	5-9	0	Mother only	93
Berowra	5-9	0	Neither	201
Berowra	5-9	1		29
Berowra	5-9	1	Both	4163
Berowra	5-9	1	Father only	858
Berowra	5-9	1	Mother only	950
Berowra	5-9	1	Neither	2971
Berowra	10-12	0		15
Berowra	10-12	0	Both	314
Berowra	10-12	0	Father only	63
Berowra	10-12	0	Mother only	74
Berowra	10-12	0	Neither	149
Berowra	10-12	1		21
Berowra	10-12	1	Both	2469
Berowra	10-12	1	Father only	486
Berowra	10-12	1	Mother only	557
Berowra	10-12	1	Neither	1735
Berowra	13-14	0		6
Berowra	13-14	0	Both	231
Berowra	13-14	0	Father only	52
Berowra	13-14	0	Mother only	77
Berowra	13-14	0	Neither	125
Berowra	13-14	1		12
Berowra	13-14	1	Both	1667
Berowra	13-14	1	Father only	325
Berowra	13-14	1	Mother only	362
Berowra	13-14	1	Neither	1186
Berowra	15-17	0		13
Berowra	15-17	0	Both	330
Berowra	15-17	0	Father only	79
Berowra	15-17	0	Mother only	90
Berowra	15-17	0	Neither	231
Berowra	15-17	1		13
Berowra	15-17	1	Both	2277
Berowra	15-17	1	Father only	448
Berowra	15-17	1	Mother only	509
Berowra	15-17	1	Neither	1860
Berowra	18-20	0		9
Berowra	18-20	0	Both	153
Berowra	18-20	0	Father only	50
Berowra	18-20	0	Mother only	45
Berowra	18-20	0	Neither	187
Berowra	18-20	1		4
Berowra	18-20	1	Both	1305
Berowra	18-20	1	Father only	274
Berowra	18-20	1	Mother only	250
Berowra	18-20	1	Neither	1386
Berowra	21-24	0	Both	109
Berowra	21-24	0	Father only	15
Berowra	21-24	0	Mother only	23
Berowra	21-24	0	Neither	117
Berowra	21-24	1		3
Berowra	21-24	1	Both	612
Berowra	21-24	1	Father only	119
Berowra	21-24	1	Mother only	135
Berowra	21-24	1	Neither	757
Blaxland	0-4	0		79
Blaxland	0-4	0	Both	559
Blaxland	0-4	0	Father only	145
Blaxland	0-4	0	Mother only	277
Blaxland	0-4	0	Neither	659
Blaxland	0-4	1		98
Blaxland	0-4	1	Both	2158
Blaxland	0-4	1	Father only	852
Blaxland	0-4	1	Mother only	1483
Blaxland	0-4	1	Neither	6239
Blaxland	5-9	0		109
Blaxland	5-9	0	Both	449
Blaxland	5-9	0	Father only	174
Blaxland	5-9	0	Mother only	388
Blaxland	5-9	0	Neither	890
Blaxland	5-9	1		87
Blaxland	5-9	1	Both	1651
Blaxland	5-9	1	Father only	744
Blaxland	5-9	1	Mother only	1444
Blaxland	5-9	1	Neither	5647
Blaxland	10-12	0		41
Blaxland	10-12	0	Both	251
Blaxland	10-12	0	Father only	122
Blaxland	10-12	0	Mother only	222
Blaxland	10-12	0	Neither	696
Blaxland	10-12	1		52
Blaxland	10-12	1	Both	829
Blaxland	10-12	1	Father only	380
Blaxland	10-12	1	Mother only	747
Blaxland	10-12	1	Neither	3152
Blaxland	13-14	0		32
Blaxland	13-14	0	Both	135
Blaxland	13-14	0	Father only	67
Blaxland	13-14	0	Mother only	130
Blaxland	13-14	0	Neither	546
Blaxland	13-14	1		28
Blaxland	13-14	1	Both	423
Blaxland	13-14	1	Father only	187
Blaxland	13-14	1	Mother only	434
Blaxland	13-14	1	Neither	2079
Blaxland	15-17	0		32
Blaxland	15-17	0	Both	214
Blaxland	15-17	0	Father only	76
Blaxland	15-17	0	Mother only	148
Blaxland	15-17	0	Neither	825
Blaxland	15-17	1		17
Blaxland	15-17	1	Both	490
Blaxland	15-17	1	Father only	209
Blaxland	15-17	1	Mother only	501
Blaxland	15-17	1	Neither	3002
Blaxland	18-20	0		19
Blaxland	18-20	0	Both	50
Blaxland	18-20	0	Father only	29
Blaxland	18-20	0	Mother only	59
Blaxland	18-20	0	Neither	527
Blaxland	18-20	1		12
Blaxland	18-20	1	Both	221
Blaxland	18-20	1	Father only	92
Blaxland	18-20	1	Mother only	235
Blaxland	18-20	1	Neither	2228
Blaxland	21-24	0		10
Blaxland	21-24	0	Both	30
Blaxland	21-24	0	Father only	12
Blaxland	21-24	0	Mother only	26
Blaxland	21-24	0	Neither	378
Blaxland	21-24	1		3
Blaxland	21-24	1	Both	103
Blaxland	21-24	1	Father only	37
Blaxland	21-24	1	Mother only	82
Blaxland	21-24	1	Neither	1166
Bradfield	0-4	0		10
Bradfield	0-4	0	Both	103
Bradfield	0-4	0	Father only	47
Bradfield	0-4	0	Mother only	46
Bradfield	0-4	0	Neither	208
Bradfield	0-4	1		34
Bradfield	0-4	1	Both	2271
Bradfield	0-4	1	Father only	937
Bradfield	0-4	1	Mother only	757
Bradfield	0-4	1	Neither	4229
Bradfield	5-9	0		6
Bradfield	5-9	0	Both	268
Bradfield	5-9	0	Father only	98
Bradfield	5-9	0	Mother only	85
Bradfield	5-9	0	Neither	399
Bradfield	5-9	1		23
Bradfield	5-9	1	Both	3227
Bradfield	5-9	1	Father only	1144
Bradfield	5-9	1	Mother only	1066
Bradfield	5-9	1	Neither	4717
Bradfield	10-12	0		6
Bradfield	10-12	0	Both	217
Bradfield	10-12	0	Father only	74
Bradfield	10-12	0	Mother only	71
Bradfield	10-12	0	Neither	332
Bradfield	10-12	1		9
Bradfield	10-12	1	Both	2165
Bradfield	10-12	1	Father only	597
Bradfield	10-12	1	Mother only	676
Bradfield	10-12	1	Neither	2427
Bradfield	13-14	0		5
Bradfield	13-14	0	Both	176
Bradfield	13-14	0	Father only	63
Bradfield	13-14	0	Mother only	64
Bradfield	13-14	0	Neither	267
Bradfield	13-14	1		6
Bradfield	13-14	1	Both	1436
Bradfield	13-14	1	Father only	353
Bradfield	13-14	1	Mother only	418
Bradfield	13-14	1	Neither	1534
Bradfield	15-17	0		7
Bradfield	15-17	0	Both	270
Bradfield	15-17	0	Father only	84
Bradfield	15-17	0	Mother only	106
Bradfield	15-17	0	Neither	494
Bradfield	15-17	1		18
Bradfield	15-17	1	Both	1994
Bradfield	15-17	1	Father only	545
Bradfield	15-17	1	Mother only	602
Bradfield	15-17	1	Neither	2199
Bradfield	18-20	0		3
Bradfield	18-20	0	Both	165
Bradfield	18-20	0	Father only	49
Bradfield	18-20	0	Mother only	68
Bradfield	18-20	0	Neither	342
Bradfield	18-20	1		3
Bradfield	18-20	1	Both	1137
Bradfield	18-20	1	Father only	326
Bradfield	18-20	1	Mother only	336
Bradfield	18-20	1	Neither	1469
Bradfield	21-24	0		4
Bradfield	21-24	0	Both	92
Bradfield	21-24	0	Father only	26
Bradfield	21-24	0	Mother only	37
Bradfield	21-24	0	Neither	189
Bradfield	21-24	1	Both	624
Bradfield	21-24	1	Father only	161
Bradfield	21-24	1	Mother only	171
Bradfield	21-24	1	Neither	840
Calare	0-4	0		99
Calare	0-4	0	Both	1702
Calare	0-4	0	Father only	44
Calare	0-4	0	Mother only	83
Calare	0-4	0	Neither	36
Calare	0-4	1		39
Calare	0-4	1	Both	6582
Calare	0-4	1	Father only	332
Calare	0-4	1	Mother only	290
Calare	0-4	1	Neither	387
Calare	5-9	0		77
Calare	5-9	0	Both	1989
Calare	5-9	0	Father only	58
Calare	5-9	0	Mother only	116
Calare	5-9	0	Neither	30
Calare	5-9	1		49
Calare	5-9	1	Both	6794
Calare	5-9	1	Father only	366
Calare	5-9	1	Mother only	385
Calare	5-9	1	Neither	377
Calare	10-12	0		39
Calare	10-12	0	Both	1208
