CED_NAME16	HomeCensusNight	Sex	persons
Banks	0	F	2121
Banks	0	M	2266
Banks	1	F	77907
Banks	1	M	73505
Barton	0	F	2413
Barton	0	M	2521
Barton	1	F	84722
Barton	1	M	83205
Bennelong	0	F	2400
Bennelong	0	M	2651
Bennelong	1	F	84178
Bennelong	1	M	79713
Berowra	0	F	2160
Berowra	0	M	2525
Berowra	1	F	71676
Berowra	1	M	68775
Blaxland	0	F	2305
Blaxland	0	M	2558
Blaxland	1	F	83257
Blaxland	1	M	86515
Bradfield	0	F	2619
Bradfield	0	M	2745
Bradfield	1	F	80686
Bradfield	1	M	74204
Calare	0	F	4217
Calare	0	M	4920
Calare	1	F	76446
Calare	1	M	75712
Chifley	0	F	2184
Chifley	0	M	2491
Chifley	1	F	84555
Chifley	1	M	82021
Cook	0	F	2602
Cook	0	M	2808
Cook	1	F	68959
Cook	1	M	64693
Cowper	0	F	4356
Cowper	0	M	4649
Cowper	1	F	77919
Cowper	1	M	72400
Cunningham	0	F	3435
Cunningham	0	M	3843
Cunningham	1	F	75076
Cunningham	1	M	73023
Dobell	0	F	3366
Dobell	0	M	3607
Dobell	1	F	76266
Dobell	1	M	70827
Eden-Monaro	0	F	4402
Eden-Monaro	0	M	4944
Eden-Monaro	1	F	69361
Eden-Monaro	1	M	68822
Farrer	0	F	5085
Farrer	0	M	5528
Farrer	1	F	77710
Farrer	1	M	75654
Fowler	0	F	2314
Fowler	0	M	2414
Fowler	1	F	80981
Fowler	1	M	78526
Gilmore	0	F	4824
Gilmore	0	M	5558
Gilmore	1	F	71441
Gilmore	1	M	68606
Grayndler	0	F	3156
Grayndler	0	M	3023
Grayndler	1	F	73534
Grayndler	1	M	69807
Greenway	0	F	1915
Greenway	0	M	2205
Greenway	1	F	82734
Greenway	1	M	83214
Hughes	0	F	2212
Hughes	0	M	2587
Hughes	1	F	71006
Hughes	1	M	68488
Hume	0	F	2961
Hume	0	M	3386
Hume	1	F	72911
Hume	1	M	71386
Hunter	0	F	3883
Hunter	0	M	4265
Hunter	1	F	75181
Hunter	1	M	73466
Kingsford Smith	0	F	3025
Kingsford Smith	0	M	3253
Kingsford Smith	1	F	85985
Kingsford Smith	1	M	83976
Lindsay	0	F	2640
Lindsay	0	M	2995
Lindsay	1	F	81786
Lindsay	1	M	79107
Lyne	0	F	4130
Lyne	0	M	4673
Lyne	1	F	70083
Lyne	1	M	66592
Macarthur	0	F	2464
Macarthur	0	M	2770
Macarthur	1	F	79784
Macarthur	1	M	77002
Mackellar	0	F	3009
Mackellar	0	M	3336
Mackellar	1	F	73085
Mackellar	1	M	69187
Macquarie	0	F	3005
Macquarie	0	M	3173
Macquarie	1	F	69386
Macquarie	1	M	65876
McMahon	0	F	2193
McMahon	0	M	2420
McMahon	1	F	81280
McMahon	1	M	79810
Mitchell	0	F	2024
Mitchell	0	M	2164
Mitchell	1	F	76326
Mitchell	1	M	72936
New England	0	F	4700
New England	0	M	5033
New England	1	F	74090
New England	1	M	70356
Newcastle	0	F	3631
Newcastle	0	M	4476
Newcastle	1	F	73838
Newcastle	1	M	70997
North Sydney	0	F	3147
North Sydney	0	M	3271
North Sydney	1	F	80579
North Sydney	1	M	74526
Page	0	F	4123
Page	0	M	4513
Page	1	F	76571
Page	1	M	73895
Parkes	0	F	4951
Parkes	0	M	5551
Parkes	1	F	72430
Parkes	1	M	70838
Parramatta	0	F	2302
Parramatta	0	M	2566
Parramatta	1	F	89614
Parramatta	1	M	91837
Paterson	0	F	3757
Paterson	0	M	4495
Paterson	1	F	75455
Paterson	1	M	71933
Reid	0	F	2843
Reid	0	M	3122
Reid	1	F	88880
Reid	1	M	86503
Richmond	0	F	3976
Richmond	0	M	4372
Richmond	1	F	75172
Richmond	1	M	69394
Riverina	0	F	4484
Riverina	0	M	5007
Riverina	1	F	74138
Riverina	1	M	72158
Robertson	0	F	3320
Robertson	0	M	3591
Robertson	1	F	70481
Robertson	1	M	65707
Shortland	0	F	3450
Shortland	0	M	4045
Shortland	1	F	70489
Shortland	1	M	66504
Sydney	0	F	4177
Sydney	0	M	4741
Sydney	1	F	92304
Sydney	1	M	98965
Warringah	0	F	3126
Warringah	0	M	3265
Warringah	1	F	73171
Warringah	1	M	67772
Watson	0	F	2222
Watson	0	M	2352
Watson	1	F	84975
Watson	1	M	85258
Wentworth	0	F	3243
Wentworth	0	M	3312
Wentworth	1	F	72854
Wentworth	1	M	66534
Werriwa	0	F	2013
Werriwa	0	M	2264
Werriwa	1	F	84582
Werriwa	1	M	82050
Whitlam	0	F	3215
Whitlam	0	M	3663
Whitlam	1	F	75132
Whitlam	1	M	70277
No usual address (NSW)	0	F	4939
No usual address (NSW)	0	M	7351
Migratory - Offshore - Shipping (NSW)	0	F	3
Migratory - Offshore - Shipping (NSW)	0	M	3
Migratory - Offshore - Shipping (NSW)	1	F	234
Migratory - Offshore - Shipping (NSW)	1	M	173
Aston	0	F	2413
Aston	0	M	2389
Aston	1	F	67238
Aston	1	M	63974
Ballarat	0	F	4253
Ballarat	0	M	4379
Ballarat	1	F	75322
Ballarat	1	M	70519
Batman	0	F	3192
Batman	0	M	3070
Batman	1	F	80342
Batman	1	M	75360
Bendigo	0	F	4004
Bendigo	0	M	4317
Bendigo	1	F	73040
Bendigo	1	M	69063
Bruce	0	F	2429
Bruce	0	M	2661
Bruce	1	F	75525
Bruce	1	M	76392
Calwell	0	F	2326
