CED_NAME16	Age	NeedsAssistance	Sex	persons
Banks	0-4		F	203
Banks	0-4		M	223
Banks	0-4	0	F	4353
Banks	0-4	0	M	4562
Banks	0-4	1	F	35
Banks	0-4	1	M	66
Banks	5-14		F	348
Banks	5-14		M	366
Banks	5-14	0	F	8261
Banks	5-14	0	M	8504
Banks	5-14	1	F	154
Banks	5-14	1	M	342
Banks	15-19		F	190
Banks	15-19		M	206
Banks	15-19	0	F	4326
Banks	15-19	0	M	4485
Banks	15-19	1	F	79
Banks	15-19	1	M	146
Banks	20-24		F	245
Banks	20-24		M	240
Banks	20-24	0	F	4848
Banks	20-24	0	M	5217
Banks	20-24	1	F	48
Banks	20-24	1	M	95
Banks	25-34		F	589
Banks	25-34		M	575
Banks	25-34	0	F	10972
Banks	25-34	0	M	10601
Banks	25-34	1	F	119
Banks	25-34	1	M	157
Banks	35-44		F	474
Banks	35-44		M	450
Banks	35-44	0	F	10146
Banks	35-44	0	M	9239
Banks	35-44	1	F	185
Banks	35-44	1	M	178
Banks	45-54		F	507
Banks	45-54		M	483
Banks	45-54	0	F	9930
Banks	45-54	0	M	9204
Banks	45-54	1	F	402
Banks	45-54	1	M	269
Banks	55-64		F	467
Banks	55-64		M	440
Banks	55-64	0	F	8666
Banks	55-64	0	M	8070
Banks	55-64	1	F	579
Banks	55-64	1	M	473
Banks	65-74		F	349
Banks	65-74		M	332
Banks	65-74	0	F	5558
Banks	65-74	0	M	5217
Banks	65-74	1	F	711
Banks	65-74	1	M	531
Banks	75-84		F	257
Banks	75-84		M	226
Banks	75-84	0	F	3101
Banks	75-84	0	M	2636
Banks	75-84	1	F	1200
Banks	75-84	1	M	727
Banks	85+		F	151
Banks	85+		M	91
Banks	85+	0	F	1094
Banks	85+	0	M	770
Banks	85+	1	F	1495
Banks	85+	1	M	649
Barton	0-4		F	289
Barton	0-4		M	338
Barton	0-4	0	F	4639
Barton	0-4	0	M	4948
Barton	0-4	1	F	31
Barton	0-4	1	M	58
Barton	5-14		F	443
Barton	5-14		M	504
Barton	5-14	0	F	7700
Barton	5-14	0	M	8236
Barton	5-14	1	F	113
Barton	5-14	1	M	261
Barton	15-19		F	193
Barton	15-19		M	231
Barton	15-19	0	F	4167
Barton	15-19	0	M	4276
Barton	15-19	1	F	72
Barton	15-19	1	M	96
Barton	20-24		F	412
Barton	20-24		M	451
Barton	20-24	0	F	6254
Barton	20-24	0	M	6385
Barton	20-24	1	F	59
Barton	20-24	1	M	96
Barton	25-34		F	1145
Barton	25-34		M	1163
Barton	25-34	0	F	16132
Barton	25-34	0	M	16232
Barton	25-34	1	F	134
Barton	25-34	1	M	163
Barton	35-44		F	768
Barton	35-44		M	828
Barton	35-44	0	F	11300
Barton	35-44	0	M	11385
Barton	35-44	1	F	192
Barton	35-44	1	M	210
Barton	45-54		F	648
Barton	45-54		M	627
Barton	45-54	0	F	9787
Barton	45-54	0	M	9295
Barton	45-54	1	F	380
Barton	45-54	1	M	314
Barton	55-64		F	516
Barton	55-64		M	543
Barton	55-64	0	F	7756
Barton	55-64	0	M	7268
