CED_NAME16	BornAust	Sex	persons
Banks	0	F	31830
Banks	0	M	28806
Banks	1	F	44409
Banks	1	M	43371
Barton	0	F	43663
Barton	0	M	41333
Barton	1	F	37902
Barton	1	M	38840
Bennelong	0	F	42090
Bennelong	0	M	38403
Bennelong	1	F	40972
Bennelong	1	M	40559
Berowra	0	F	24319
Berowra	0	M	22660
Berowra	1	F	46925
Berowra	1	M	46132
Blaxland	0	F	41762
Blaxland	0	M	44745
Blaxland	1	F	38182
Blaxland	1	M	38532
Bradfield	0	F	36369
Bradfield	0	M	32092
Bradfield	1	F	43635
Bradfield	1	M	41915
Calare	0	F	6703
Calare	0	M	6629
Calare	1	F	66563
Calare	1	M	66819
Chifley	0	F	36195
Chifley	0	M	34232
Chifley	1	F	44969
Chifley	1	M	44873
Cook	0	F	16243
Cook	0	M	14455
Cook	1	F	51486
Cook	1	M	49347
Cowper	0	F	9845
Cowper	0	M	8715
Cowper	1	F	65761
Cowper	1	M	62098
Cunningham	0	F	17701
Cunningham	0	M	17032
Cunningham	1	F	56204
Cunningham	1	M	55260
Dobell	0	F	10608
Dobell	0	M	9604
Dobell	1	F	63639
Dobell	1	M	59917
Eden-Monaro	0	F	10103
Eden-Monaro	0	M	9868
Eden-Monaro	1	F	57346
Eden-Monaro	1	M	57524
Farrer	0	F	8197
Farrer	0	M	8017
Farrer	1	F	66614
Farrer	1	M	65271
Fowler	0	F	45718
Fowler	0	M	41386
Fowler	1	F	31849
Fowler	1	M	33815
Gilmore	0	F	10179
Gilmore	0	M	9520
Gilmore	1	F	59984
Gilmore	1	M	58597
Grayndler	0	F	25426
Grayndler	0	M	24059
Grayndler	1	F	45447
Grayndler	1	M	42848
Greenway	0	F	34756
Greenway	0	M	34759
Greenway	1	F	45941
Greenway	1	M	46829
Hughes	0	F	15043
Hughes	0	M	13929
Hughes	1	F	55612
Hughes	1	M	54577
Hume	0	F	9489
Hume	0	M	9086
Hume	1	F	61708
Hume	1	M	61099
Hunter	0	F	7246
Hunter	0	M	6794
Hunter	1	F	66601
Hunter	1	M	65944
Kingsford Smith	0	F	38448
Kingsford Smith	0	M	36510
Kingsford Smith	1	F	43933
Kingsford Smith	1	M	44034
Lindsay	0	F	17973
Lindsay	0	M	17180
Lindsay	1	F	61359
Lindsay	1	M	59907
Lyne	0	F	6570
Lyne	0	M	6101
Lyne	1	F	61702
Lyne	1	M	59388
Macarthur	0	F	23141
Macarthur	0	M	21889
Macarthur	1	F	53881
Macarthur	1	M	52945
Mackellar	0	F	20559
Mackellar	0	M	18955
Mackellar	1	F	51631
Mackellar	1	M	49939
Macquarie	0	F	10964
Macquarie	0	M	9911
Macquarie	1	F	57369
Macquarie	1	M	55169
McMahon	0	F	36183
McMahon	0	M	35395
McMahon	1	F	42408
McMahon	1	M	42076
Mitchell	0	F	28554
Mitchell	0	M	26509
Mitchell	1	F	47469
Mitchell	1	M	46360
New England	0	F	6054
New England	0	M	5792
New England	1	F	65235
New England	1	M	62563
Newcastle	0	F	11015
Newcastle	0	M	10466
Newcastle	1	F	62935
Newcastle	1	M	61344
North Sydney	0	F	33353
North Sydney	0	M	29083
North Sydney	1	F	45456
North Sydney	1	M	44076
Page	0	F	7469
Page	0	M	6780
Page	1	F	66393
Page	1	M	64828
Parkes	0	F	4424
Parkes	0	M	4105
Parkes	1	F	64684
Parkes	1	M	63853
Parramatta	0	F	49172
Parramatta	0	M	50426
Parramatta	1	F	36615
Parramatta	1	M	37637
Paterson	0	F	7352
Paterson	0	M	6842
Paterson	1	F	66463
Paterson	1	M	64345
Reid	0	F	46232
Reid	0	M	43909
Reid	1	F	39591
Reid	1	M	39719
Richmond	0	F	11858
Richmond	0	M	10594
Richmond	1	F	59953
Richmond	1	M	56222
Riverina	0	F	5503
Riverina	0	M	5428
Riverina	1	F	66572
Riverina	1	M	65216
Robertson	0	F	12821
Robertson	0	M	11773
Robertson	1	F	56242
Robertson	1	M	53232
Shortland	0	F	7419
Shortland	0	M	6819
Shortland	1	F	62751
Shortland	1	M	60246
Sydney	0	F	48614
Sydney	0	M	47883
Sydney	1	F	36685
Sydney	1	M	41853
Warringah	0	F	25389
Warringah	0	M	22885
Warringah	1	F	46269
Warringah	1	M	43753
Watson	0	F	43041
Watson	0	M	43099
Watson	1	F	38604
Watson	1	M	39000
Wentworth	0	F	27174
Wentworth	0	M	24671
Wentworth	1	F	41220
