CED_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Banks	15-19		F	310
Banks	15-19		M	310
Banks	15-19	0	F	4020
Banks	15-19	0	M	4298
Banks	15-19	1	F	263
Banks	15-19	1	M	227
Banks	20-24		F	293
Banks	20-24		M	301
Banks	20-24	0	F	4475
Banks	20-24	0	M	4957
Banks	20-24	1	F	373
Banks	20-24	1	M	287
Banks	25-34		F	688
Banks	25-34		M	679
Banks	25-34	0	F	9906
Banks	25-34	0	M	9880
Banks	25-34	1	F	1084
Banks	25-34	1	M	767
Banks	35-44		F	537
Banks	35-44		M	540
Banks	35-44	0	F	8644
Banks	35-44	0	M	8378
Banks	35-44	1	F	1624
Banks	35-44	1	M	953
Banks	45-54		F	568
Banks	45-54		M	540
Banks	45-54	0	F	8058
Banks	45-54	0	M	8019
Banks	45-54	1	F	2222
Banks	45-54	1	M	1400
Banks	55-64		F	518
Banks	55-64		M	509
Banks	55-64	0	F	7095
Banks	55-64	0	M	7159
Banks	55-64	1	F	2096
Banks	55-64	1	M	1315
Banks	65-74		F	481
Banks	65-74		M	414
Banks	65-74	0	F	5054
Banks	65-74	0	M	4872
Banks	65-74	1	F	1077
Banks	65-74	1	M	787
Banks	75-84		F	472
Banks	75-84		M	349
Banks	75-84	0	F	3619
Banks	75-84	0	M	2843
Banks	75-84	1	F	465
Banks	75-84	1	M	402
Banks	85+		F	350
Banks	85+		M	209
Banks	85+	0	F	2274
Banks	85+	0	M	1156
Banks	85+	1	F	117
Banks	85+	1	M	155
Barton	15-19		F	299
Barton	15-19		M	363
Barton	15-19	0	F	3875
Barton	15-19	0	M	4035
Barton	15-19	1	F	255
Barton	15-19	1	M	213
Barton	20-24		F	503
Barton	20-24		M	544
Barton	20-24	0	F	5837
Barton	20-24	0	M	6075
Barton	20-24	1	F	379
Barton	20-24	1	M	321
Barton	25-34		F	1302
Barton	25-34		M	1365
Barton	25-34	0	F	14734
Barton	25-34	0	M	15187
Barton	25-34	1	F	1376
Barton	25-34	1	M	1009
Barton	35-44		F	849
Barton	35-44		M	929
Barton	35-44	0	F	9699
Barton	35-44	0	M	10284
Barton	35-44	1	F	1712
Barton	35-44	1	M	1212
Barton	45-54		F	684
Barton	45-54		M	690
Barton	45-54	0	F	7993
Barton	45-54	0	M	8204
Barton	45-54	1	F	2140
Barton	45-54	1	M	1345
