CED_NAME16	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
Banks		1	1	0	12
Banks		1	1	1800	3
Banks		1	1	3600	4
Banks		1	1	7200	3
Banks		1	1	9600	9
Banks		1	1	12000	3
Banks		1	1	14400	14
Banks		1	1	16800	5
Banks		1	1	19200	17
Banks		1	1	21600	12
Banks		1	1	24000	16
Banks		1	1	26400	4
Banks		1	1	28800	8
Banks		1	1	31200	15
Banks		1	1	36000	20
Banks		1	1	48000	10
Banks		1	1	60000	10
Banks	0	1	0	0	66
Banks	0	1	0	1800	12
Banks	0	1	0	3600	21
Banks	0	1	0	5400	18
Banks	0	1	0	7200	40
Banks	0	1	0	9600	51
Banks	0	1	0	12000	72
Banks	0	1	0	14400	82
Banks	0	1	0	16800	88
Banks	0	1	0	19200	74
Banks	0	1	0	21600	48
Banks	0	1	0	24000	111
Banks	0	1	0	26400	54
Banks	0	1	0	28800	23
Banks	0	1	0	31200	77
Banks	0	1	0	36000	99
Banks	0	1	0	48000	37
Banks	0	1	0	60000	27
Banks	0	1	1	0	27
Banks	0	1	1	1800	8
Banks	0	1	1	3600	12
Banks	0	1	1	5400	13
Banks	0	1	1	7200	20
Banks	0	1	1	9600	31
Banks	0	1	1	12000	30
Banks	0	1	1	14400	39
Banks	0	1	1	16800	33
Banks	0	1	1	19200	52
Banks	0	1	1	21600	28
Banks	0	1	1	24000	93
Banks	0	1	1	26400	34
Banks	0	1	1	28800	32
Banks	0	1	1	31200	64
Banks	0	1	1	36000	84
Banks	0	1	1	48000	33
Banks	0	1	1	60000	13
Banks	1	0	0	0	209
Banks	1	0	0	1800	36
Banks	1	0	0	3600	64
Banks	1	0	0	5400	42
Banks	1	0	0	7200	65
Banks	1	0	0	9600	104
Banks	1	0	0	12000	144
Banks	1	0	0	14400	150
Banks	1	0	0	16800	154
Banks	1	0	0	19200	190
Banks	1	0	0	21600	133
Banks	1	0	0	24000	358
Banks	1	0	0	26400	167
Banks	1	0	0	28800	159
Banks	1	0	0	31200	282
Banks	1	0	0	36000	556
Banks	1	0	0	48000	238
Banks	1	0	0	60000	138
Banks	1	1	0	0	191
Banks	1	1	0	1800	37
Banks	1	1	0	3600	71
Banks	1	1	0	5400	69
Banks	1	1	0	7200	89
Banks	1	1	0	9600	125
Banks	1	1	0	12000	193
Banks	1	1	0	14400	191
Banks	1	1	0	16800	160
Banks	1	1	0	19200	203
Banks	1	1	0	21600	132
Banks	1	1	0	24000	385
Banks	1	1	0	26400	108
Banks	1	1	0	28800	135
Banks	1	1	0	31200	244
Banks	1	1	0	36000	424
Banks	1	1	0	48000	182
Banks	1	1	0	60000	133
Banks	1	1	1	0	228
Banks	1	1	1	1800	46
Banks	1	1	1	3600	68
Banks	1	1	1	5400	69
Banks	1	1	1	7200	107
Banks	1	1	1	9600	157
Banks	1	1	1	12000	203
Banks	1	1	1	14400	267
Banks	1	1	1	16800	324
Banks	1	1	1	19200	362
Banks	1	1	1	21600	299
Banks	1	1	1	24000	861
Banks	1	1	1	26400	413
Banks	1	1	1	28800	410
Banks	1	1	1	31200	810
Banks	1	1	1	36000	1487
Banks	1	1	1	48000	645
Banks	1	1	1	60000	420
Barton		1	1	0	21
Barton		1	1	3600	3
Barton		1	1	7200	3
Barton		1	1	9600	8
Barton		1	1	12000	4
Barton		1	1	16800	9
Barton		1	1	19200	19
Barton		1	1	21600	13
Barton		1	1	24000	29
Barton		1	1	26400	10
Barton		1	1	28800	7
Barton		1	1	31200	18
Barton		1	1	36000	22
Barton		1	1	48000	21
Barton		1	1	60000	7
Barton	0	1	0	0	62
Barton	0	1	0	1800	22
Barton	0	1	0	3600	29
Barton	0	1	0	5400	21
Barton	0	1	0	7200	34
Barton	0	1	0	9600	73
Barton	0	1	0	12000	61
Barton	0	1	0	14400	71
Barton	0	1	0	16800	58
Barton	0	1	0	19200	75
