CED_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Banks					1901
Banks	0	0	0	1	6662
Banks	0	0	1	0	1992
Banks	0	0	1	1	1234
Banks	0	1	0	0	4988
Banks	0	1	0	1	695
Banks	0	1	1	0	1417
Banks	0	1	1	1	401
Banks	1	0	0	1	14676
Banks	1	0	1	0	7473
Banks	1	0	1	1	5674
Banks	1	1	0	0	40329
Banks	1	1	0	1	2066
Banks	1	1	1	0	8911
Banks	1	1	1	1	1657
Barton					2423
Barton	0	0	0	1	6876
Barton	0	0	1	0	1886
Barton	0	0	1	1	1054
Barton	0	1	0	0	5085
Barton	0	1	0	1	597
Barton	0	1	1	0	1203
Barton	0	1	1	1	344
Barton	1	0	0	1	14076
Barton	1	0	1	0	6190
Barton	1	0	1	1	5249
Barton	1	1	0	0	42175
Barton	1	1	0	1	2063
Barton	1	1	1	0	8100
Barton	1	1	1	1	1583
Bennelong					2025
Bennelong	0	0	0	1	5298
Bennelong	0	0	1	0	1973
Bennelong	0	0	1	1	857
Bennelong	0	1	0	0	4189
Bennelong	0	1	0	1	307
Bennelong	0	1	1	0	1030
Bennelong	0	1	1	1	131
Bennelong	1	0	0	1	13148
Bennelong	1	0	1	0	9002
Bennelong	1	0	1	1	5951
Bennelong	1	1	0	0	46857
Bennelong	1	1	0	1	1179
Bennelong	1	1	1	0	8871
Bennelong	1	1	1	1	963
Berowra					820
Berowra	0	0	0	1	3987
Berowra	0	0	1	0	1229
Berowra	0	0	1	1	1084
Berowra	0	1	0	0	2778
Berowra	0	1	0	1	295
Berowra	0	1	1	0	1158
Berowra	0	1	1	1	163
Berowra	1	0	0	1	14988
Berowra	1	0	1	0	10074
Berowra	1	0	1	1	7631
Berowra	1	1	0	0	41764
Berowra	1	1	0	1	1572
Berowra	1	1	1	0	11772
Berowra	1	1	1	1	1948
Blaxland					2176
Blaxland	0	0	0	1	7300
Blaxland	0	0	1	0	1907
Blaxland	0	0	1	1	1538
Blaxland	0	1	0	0	7345
Blaxland	0	1	0	1	1129
Blaxland	0	1	1	0	2226
Blaxland	0	1	1	1	914
Blaxland	1	0	0	1	15763
Blaxland	1	0	1	0	5930
Blaxland	1	0	1	1	6317
Blaxland	1	1	0	0	45885
Blaxland	1	1	0	1	3200
Blaxland	1	1	1	0	12623
Blaxland	1	1	1	1	3931
Bradfield					1267
Bradfield	0	0	0	1	3846
Bradfield	0	0	1	0	2174
Bradfield	0	0	1	1	874
Bradfield	0	1	0	0	3496
Bradfield	0	1	0	1	200
Bradfield	0	1	1	0	1297
Bradfield	0	1	1	1	120
Bradfield	1	0	0	1	10725
Bradfield	1	0	1	0	11500
Bradfield	1	0	1	1	6157
Bradfield	1	1	0	0	50095
Bradfield	1	1	0	1	975
Bradfield	1	1	1	0	12382
Bradfield	1	1	1	1	1193
Calare					1057
Calare	0	0	0	1	4758
Calare	0	0	1	0	1285
Calare	0	0	1	1	621
Calare	0	1	0	0	8617
Calare	0	1	0	1	960
Calare	0	1	1	0	1874
Calare	0	1	1	1	435
Calare	1	0	0	1	9024
Calare	1	0	1	0	3783
Calare	1	0	1	1	2671
Calare	1	1	0	0	37317
Calare	1	1	0	1	2337
Calare	1	1	1	0	8085
Calare	1	1	1	1	1618
Chifley					1808
Chifley	0	0	0	1	8000
Chifley	0	0	1	0	1577
Chifley	0	0	1	1	1624
Chifley	0	1	0	0	10760
Chifley	0	1	0	1	2170
Chifley	0	1	1	0	2749
Chifley	0	1	1	1	1245
Chifley	1	0	0	1	15913
Chifley	1	0	1	0	5913
Chifley	1	0	1	1	6725
Chifley	1	1	0	0	45597
Chifley	1	1	0	1	4160
Chifley	1	1	1	0	11738
